Theta,Radius,Area
0,6.73108e-16,0
0.0317333,0.0143874,0.000554387
0.0634665,0.0287173,0.00220022
0.0951998,0.0429284,0.00488693
0.126933,0.0569593,0.00853507
0.158666,0.0707492,0.0130442
0.1904,0.0842383,0.0183041
0.222133,0.097369,0.0242076
0.253866,0.110087,0.0306625
0.285599,0.122342,0.0375976
0.317333,0.134092,0.0449615
0.349066,0.1453,0.0527157
0.380799,0.155939,0.0608259
0.412532,0.165994,0.0692537
0.444266,0.175459,0.0779481
0.475999,0.184344,0.0868379
0.507732,0.192667,0.0958289
0.539465,0.200457,0.104809
0.571199,0.207749,0.113662
0.602932,0.214577,0.122277
0.634665,0.220975,0.13056
0.666398,0.226965,0.13844
0.698132,0.232559,0.145863
0.729865,0.237752,0.152796
0.761598,0.242527,0.159219
0.793331,0.246858,0.165132
0.825065,0.250711,0.170554
0.856798,0.254051,0.175524
0.888531,0.256849,0.180082
0.920265,0.259082,0.184242
0.951998,0.260739,0.187978
0.983731,0.261817,0.191224
1.01546,0.262319,0.193883
1.0472,0.262253,0.195856
1.07893,0.261631,0.19705
1.11066,0.26046,0.197388
1.1424,0.258747,0.196766
1.17413,0.256496,0.195058
1.20586,0.253711,0.192175
1.2376,0.2504,0.188092
1.26933,0.246579,0.182856
1.30106,0.242282,0.176589
1.3328,0.237562,0.169491
1.36453,0.232496,0.161834
1.39626,0.227187,0.153928
1.428,0.221756,0.146087
1.45973,0.216341,0.138586
1.49146,0.211078,0.131624
1.5232,0.206093,0.125316
1.55493,0.201491,0.119688
1.58666,0.197347,0.114702
1.6184,0.193704,0.110281
1.65013,0.190578,0.106579
1.68186,0.187963,0.10379
1.7136,0.18584,0.101365
1.74533,0.184185,0.099151
1.77706,0.182964,0.0970881
1.8088,0.182137,0.0951674
1.84053,0.181646,0.0933724
1.87226,0.181412,0.0916591
1.904,0.181341,0.0899655
1.93573,0.181333,0.0882279
1.96746,0.181294,0.0863989
1.9992,0.181157,0.0844619
2.03093,0.180882,0.0824381
2.06266,0.180467,0.0803847
2.0944,0.179942,0.0784033
2.12613,0.179353,0.0766176
2.15786,0.178759,0.0750508
2.18959,0.17821,0.0737436
2.22133,0.177743,0.0726963
2.25306,0.177372,0.0718584
2.28479,0.177091,0.0711574
2.31653,0.17687,0.0705313
2.34826,0.176662,0.0699455
2.37999,0.176407,0.0693971
2.41173,0.176032,0.0689095
2.44346,0.175456,0.0685221
2.47519,0.174596,0.0682908
2.50693,0.17337,0.0683435
2.53866,0.1717,0.0684312
2.57039,0.169514,0.0682544
2.60213,0.166745,0.0676286
2.63386,0.163335,0.0664074
2.66559,0.159233,0.0644818
2.69733,0.154392,0.0617873
2.72906,0.148771,0.0583094
2.76079,0.142334,0.0540852
2.79253,0.135048,0.0492007
2.82426,0.126887,0.0437828
2.85599,0.11783,0.0379878
2.88773,0.107862,0.0319895
2.91946,0.0969814,0.0259714
2.95119,0.0852029,0.0201249
2.98293,0.0725652,0.0146515
3.01466,0.0591362,0.00976296
3.04639,0.0450165,0.00567334
3.07813,0.0303404,0.00258251
3.10986,0.0152725,0.000655142
3.14159,4.69931e-16,7.50204e-17
