Theta,Radius,Area
0,8.3682e-16,0
0.0317333,0.0129862,0.000354479
0.0634665,0.0259779,0.00141099
0.0951998,0.0389742,0.00314951
0.126933,0.0519669,0.00553938
0.158666,0.0649381,0.00854384
0.1904,0.077858,0.0121274
0.222133,0.0906838,0.0162673
0.253866,0.10336,0.0209705
0.285599,0.115822,0.0262989
0.317333,0.127992,0.0323839
0.349066,0.139788,0.0393671
0.380799,0.151119,0.0472585
0.412532,0.161886,0.0558799
0.444266,0.171992,0.0649206
0.475999,0.181346,0.0740064
0.507732,0.189876,0.0827545
0.539465,0.197537,0.0908202
0.571199,0.204309,0.0979348
0.602932,0.210197,0.103934
0.634665,0.215229,0.108771
0.666398,0.219446,0.112517
0.698132,0.2229,0.115339
0.729865,0.225648,0.117477
0.761598,0.227747,0.119213
0.793331,0.229251,0.12086
0.825065,0.230204,0.122675
0.856798,0.230656,0.12459
0.888531,0.230668,0.126441
0.920265,0.230322,0.128259
0.951998,0.229718,0.12997
0.983731,0.228963,0.131542
1.01546,0.228159,0.133035
1.0472,0.227392,0.134553
1.07893,0.226712,0.13618
1.11066,0.22613,0.137987
1.1424,0.225609,0.139624
1.17413,0.225065,0.140974
1.20586,0.224377,0.141912
1.2376,0.223398,0.142293
1.26933,0.221968,0.141952
1.30106,0.219941,0.140716
1.3328,0.217194,0.138432
1.36453,0.213657,0.135006
1.39626,0.209318,0.130438
1.428,0.204239,0.124854
1.45973,0.198554,0.118504
1.49146,0.192462,0.111743
1.5232,0.186209,0.104975
1.55493,0.180061,0.0985701
1.58666,0.174269,0.0928007
1.6184,0.16904,0.0878186
1.65013,0.164513,0.0836703
1.68186,0.160753,0.0803135
1.7136,0.157753,0.0776346
1.74533,0.155451,0.0754766
1.77706,0.153746,0.0736713
1.8088,0.152519,0.0720664
1.84053,0.151647,0.070543
1.87226,0.151016,0.0690239
1.904,0.150526,0.0674672
1.93573,0.15009,0.0658548
1.96746,0.149642,0.0641831
1.9992,0.14914,0.0624598
2.03093,0.148569,0.0607067
2.06266,0.147946,0.0589667
2.0944,0.147321,0.0573097
2.12613,0.146762,0.0558329
2.15786,0.146348,0.0546405
2.18959,0.146146,0.0538079
2.22133,0.146199,0.0533634
2.25306,0.146518,0.0532892
2.28479,0.147084,0.0535318
2.31653,0.14786,0.0540242
2.34826,0.148797,0.0547066
2.37999,0.149836,0.0555333
2.41173,0.15091,0.0564686
2.44346,0.151933,0.0574906
2.47519,0.152804,0.0585695
2.50693,0.153409,0.059629
2.53866,0.153631,0.0605495
2.57039,0.153356,0.0612063
2.60213,0.152474,0.0614596
2.63386,0.150886,0.0611406
2.66559,0.148503,0.0600803
2.69733,0.145245,0.0581555
2.72906,0.141051,0.0553123
2.76079,0.13587,0.0515695
2.79253,0.129669,0.0470148
2.82426,0.122428,0.0417956
2.85599,0.114142,0.0361069
2.88773,0.104819,0.0301759
2.91946,0.0944802,0.0242445
2.95119,0.083164,0.0185531
2.98293,0.0709302,0.0133263
3.01466,0.0578637,0.00876373
3.04639,0.0440791,0.00503372
3.07813,0.0297213,0.00227065
3.10986,0.0149634,0.000572724
3.14159,6.60154e-16,8.51208e-17
