Theta,Radius,Area
0,7.62268e-16,0
0.0317333,0.0173302,0.000684421
0.0634665,0.0343214,0.0027035
0.0951998,0.0506612,0.00595548
0.126933,0.0660921,0.0102753
0.158666,0.0804316,0.0154466
0.1904,0.0935832,0.0212226
0.222133,0.105537,0.0273554
0.253866,0.116364,0.0336248
0.285599,0.12619,0.0398626
0.317333,0.135179,0.0459631
0.349066,0.143498,0.0518808
0.380799,0.151288,0.0576136
0.412532,0.15864,0.0631754
0.444266,0.165583,0.0685626
0.475999,0.172077,0.073723
0.507732,0.178024,0.0785372
0.539465,0.18329,0.0828217
0.571199,0.187728,0.0863547
0.602932,0.191209,0.0889184
0.634665,0.193652,0.0903456
0.666398,0.195036,0.0905612
0.698132,0.195424,0.0896094
0.729865,0.194956,0.0876642
0.761598,0.193841,0.0850291
0.793331,0.192339,0.0822453
0.825065,0.19073,0.0796488
0.856798,0.189281,0.0775472
0.888531,0.188215,0.0761988
0.920265,0.187679,0.0757305
0.951998,0.187731,0.0761375
0.983731,0.188332,0.0773375
1.01546,0.189364,0.0791639
1.0472,0.190645,0.0813895
1.07893,0.191968,0.0837622
1.11066,0.193125,0.0860529
1.1424,0.193945,0.0880964
1.17413,0.194311,0.0897241
1.20586,0.194178,0.0908657
1.2376,0.193576,0.091507
1.26933,0.192614,0.0917455
1.30106,0.191466,0.0919011
1.3328,0.190354,0.0930645
1.36453,0.18952,0.0954914
1.39626,0.189195,0.0982326
1.428,0.189581,0.101213
1.45973,0.190832,0.10449
1.49146,0.193045,0.108165
1.5232,0.196247,0.11234
1.55493,0.200397,0.117066
1.58666,0.20538,0.122328
1.6184,0.211015,0.128051
1.65013,0.217072,0.134107
1.68186,0.223291,0.140333
1.7136,0.229415,0.146549
1.74533,0.235211,0.152586
1.77706,0.240498,0.158326
1.8088,0.245158,0.163721
1.84053,0.249145,0.168641
1.87226,0.252483,0.172845
1.904,0.25525,0.176162
1.93573,0.257564,0.178549
1.96746,0.259557,0.180071
1.9992,0.261354,0.180864
2.03093,0.263054,0.181102
2.06266,0.264715,0.180971
2.0944,0.266344,0.180664
2.12613,0.267901,0.180365
2.15786,0.269298,0.180053
2.18959,0.270418,0.179439
2.22133,0.271122,0.178257
2.25306,0.27127,0.176332
2.28479,0.270735,0.173556
2.31653,0.269414,0.169883
2.34826,0.267238,0.165327
2.37999,0.264176,0.15995
2.41173,0.260232,0.15385
2.44346,0.255441,0.147149
2.47519,0.249863,0.13998
2.50693,0.243565,0.132477
2.53866,0.236616,0.124756
2.57039,0.229076,0.116903
2.60213,0.220986,0.108963
2.63386,0.212371,0.100946
2.66559,0.203239,0.0928391
2.69733,0.193582,0.0846272
2.72906,0.183386,0.0763125
2.76079,0.172637,0.0679269
2.79253,0.161317,0.0595346
2.82426,0.149415,0.0512269
2.85599,0.136919,0.0431142
2.88773,0.123825,0.0353184
2.91946,0.110129,0.027969
2.95119,0.095837,0.0211992
2.98293,0.0809648,0.0151435
3.01466,0.0655474,0.00993544
3.04639,0.0496433,0.00570542
3.07813,0.0333382,0.00257577
3.10986,0.0167454,0.00065029
3.14159,3.01488e-16,5.53178e-17
