Theta,Radius,Area
0,9.24957e-16,0
0.0317333,0.0153866,0.000586765
0.0634665,0.0305784,0.00230731
0.0951998,0.0453965,0.00505017
0.126933,0.0596866,0.00865215
0.158666,0.0733221,0.0129226
0.1904,0.0862018,0.0176631
0.222133,0.0982412,0.0226769
0.253866,0.109363,0.0277692
0.285599,0.119489,0.0327465
0.317333,0.128533,0.0374241
0.349066,0.136401,0.041642
0.380799,0.142997,0.045277
0.412532,0.148229,0.0482426
0.444266,0.152024,0.0504729
0.475999,0.154341,0.0519034
0.507732,0.155185,0.0524731
0.539465,0.154619,0.0521525
0.571199,0.152772,0.0509838
0.602932,0.149846,0.04911
0.634665,0.146105,0.0467731
0.666398,0.141872,0.0442416
0.698132,0.137506,0.0416928
0.729865,0.133381,0.0392481
0.761598,0.129856,0.0370403
0.793331,0.127249,0.0352019
0.825065,0.125806,0.0338434
0.856798,0.125678,0.0330448
0.888531,0.126906,0.0328716
0.920265,0.129416,0.0334027
0.951998,0.133023,0.0347404
0.983731,0.137452,0.0369769
1.01546,0.142352,0.0400726
1.0472,0.147325,0.0437944
1.07893,0.151978,0.0478874
1.11066,0.155972,0.0521781
1.1424,0.159058,0.0563299
1.17413,0.1611,0.0599413
1.20586,0.162087,0.0628393
1.2376,0.16213,0.0650511
1.26933,0.161442,0.0667021
1.30106,0.160309,0.0679455
1.3328,0.15905,0.0689685
1.36453,0.157985,0.0698615
1.39626,0.157402,0.0707351
1.428,0.157544,0.071766
1.45973,0.158593,0.073264
1.49146,0.160658,0.0752813
1.5232,0.163766,0.0778944
1.55493,0.167846,0.0811839
1.58666,0.172733,0.0851761
1.6184,0.178187,0.0898322
1.65013,0.183921,0.0950471
1.68186,0.18964,0.100646
1.7136,0.195073,0.106375
1.74533,0.200002,0.11191
1.77706,0.204278,0.116891
1.8088,0.207829,0.120998
1.84053,0.210658,0.124021
1.87226,0.212828,0.125903
1.904,0.214446,0.126747
1.93573,0.215643,0.126792
1.96746,0.216553,0.126367
1.9992,0.217291,0.125816
2.03093,0.217945,0.125465
2.06266,0.218563,0.125616
2.0944,0.21916,0.125981
2.12613,0.219718,0.126308
2.15786,0.2202,0.126417
2.18959,0.220562,0.126183
2.22133,0.220767,0.125534
2.25306,0.220789,0.124466
2.28479,0.22062,0.12304
2.31653,0.22027,0.121363
2.34826,0.219752,0.119567
2.37999,0.219078,0.117767
2.41173,0.218243,0.116023
2.44346,0.217215,0.114313
2.47519,0.21593,0.112522
2.50693,0.214289,0.110459
2.53866,0.212161,0.107892
2.57039,0.209395,0.104605
2.60213,0.205824,0.100428
2.63386,0.201288,0.0952684
2.66559,0.195641,0.0891166
2.69733,0.188771,0.0820465
2.72906,0.180608,0.0742052
2.76079,0.171136,0.0657997
2.79253,0.160396,0.0570801
2.82426,0.148483,0.0483199
2.85599,0.135539,0.0397931
2.88773,0.12174,0.0317525
2.91946,0.107278,0.0244102
2.95119,0.092344,0.0179257
2.98293,0.0771103,0.0124028
3.01466,0.0617182,0.00789436
3.04639,0.0462691,0.00441427
3.07813,0.0308228,0.00195171
3.10986,0.0154017,0.000486208
3.14159,1.46333e-15,7.47213e-17
