round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,29,48,10,12,0.7778,0.8276,0.7073,0.8136,0.7073,0.8276,0.725,0.8196
2,31,53,10,5,0.8485,0.8413,0.8611,0.876,0.8611,0.8413,0.8052,0.8867
3,26,40,21,12,0.6667,0.6557,0.6842,0.708,0.6842,0.6557,0.6118,0.7714
4,32,47,13,7,0.798,0.7833,0.8205,0.8246,0.8205,0.7833,0.7619,0.8534
5,23,52,15,9,0.7576,0.7761,0.7188,0.8125,0.7188,0.7761,0.6571,0.8092
6,39,44,7,9,0.8384,0.8627,0.8125,0.8462,0.8125,0.8627,0.8298,0.8893
7,20,48,20,11,0.6869,0.7059,0.6452,0.7559,0.6452,0.7059,0.5634,0.7481
8,23,56,10,10,0.798,0.8485,0.697,0.8485,0.697,0.8485,0.697,0.7769
9,24,59,7,9,0.8384,0.8939,0.7273,0.8806,0.7273,0.8939,0.75,0.8577
10,31,51,11,6,0.8283,0.8226,0.8378,0.8571,0.8378,0.8226,0.7848,0.8784
11,24,50,16,9,0.7475,0.7576,0.7273,0.8,0.7273,0.7576,0.6575,0.7975
12,24,53,17,5,0.7778,0.7571,0.8276,0.8281,0.8276,0.7571,0.6857,0.8232
13,23,50,14,12,0.7374,0.7812,0.6571,0.7937,0.6571,0.7812,0.6389,0.7701
14,26,59,7,7,0.8586,0.8939,0.7879,0.8939,0.7879,0.8939,0.7879,0.9063
15,32,43,16,8,0.7576,0.7288,0.8,0.7818,0.8,0.7288,0.7273,0.8581
16,32,44,14,9,0.7677,0.7586,0.7805,0.7928,0.7805,0.7586,0.7356,0.8053
17,26,56,9,8,0.8283,0.8615,0.7647,0.8682,0.7647,0.8615,0.7536,0.8538
18,25,50,17,7,0.7576,0.7463,0.7812,0.8065,0.7812,0.7463,0.6757,0.8424
19,17,63,8,11,0.8081,0.8873,0.6071,0.869,0.6071,0.8873,0.6415,0.7882
20,26,56,9,8,0.8283,0.8615,0.7647,0.8682,0.7647,0.8615,0.7536,0.8846
21,26,54,10,9,0.8081,0.8438,0.7429,0.8504,0.7429,0.8438,0.7324,0.8353
22,21,48,18,12,0.697,0.7273,0.6364,0.7619,0.6364,0.7273,0.5833,0.759
23,22,57,12,8,0.798,0.8261,0.7333,0.8507,0.7333,0.8261,0.6875,0.7961
24,27,51,13,8,0.7879,0.7969,0.7714,0.8293,0.7714,0.7969,0.72,0.8603
25,25,53,12,9,0.7879,0.8154,0.7353,0.8346,0.7353,0.8154,0.7042,0.8113
26,28,47,13,11,0.7576,0.7833,0.7179,0.7966,0.7179,0.7833,0.7,0.8521
27,28,52,9,10,0.8081,0.8525,0.7368,0.8455,0.7368,0.8525,0.7467,0.8236
28,25,52,15,7,0.7778,0.7761,0.7812,0.8254,0.7812,0.7761,0.6944,0.8535
29,32,52,11,4,0.8485,0.8254,0.8889,0.8739,0.8889,0.8254,0.8101,0.9202
30,25,54,11,9,0.798,0.8308,0.7353,0.8438,0.7353,0.8308,0.7143,0.833
31,24,52,16,7,0.7677,0.7647,0.7742,0.8189,0.7742,0.7647,0.6761,0.8387
32,26,55,12,6,0.8182,0.8209,0.8125,0.8594,0.8125,0.8209,0.7429,0.84
33,29,46,14,10,0.7576,0.7667,0.7436,0.7931,0.7436,0.7667,0.7073,0.7936
34,33,47,11,8,0.8081,0.8103,0.8049,0.8319,0.8049,0.8103,0.7765,0.8457
35,25,47,18,9,0.7273,0.7231,0.7353,0.7769,0.7353,0.7231,0.6494,0.8231
36,30,50,10,9,0.8081,0.8333,0.7692,0.8403,0.7692,0.8333,0.7595,0.8385
37,20,51,14,14,0.7172,0.7846,0.5882,0.7846,0.5882,0.7846,0.5882,0.7389
38,30,57,5,7,0.8788,0.9194,0.8108,0.9048,0.8108,0.9194,0.8333,0.8901
39,25,57,13,4,0.8283,0.8143,0.8621,0.8702,0.8621,0.8143,0.7463,0.8793
40,31,54,7,7,0.8586,0.8852,0.8158,0.8852,0.8158,0.8852,0.8158,0.909
41,31,49,11,8,0.8081,0.8167,0.7949,0.8376,0.7949,0.8167,0.7654,0.8756
42,22,53,12,12,0.7576,0.8154,0.6471,0.8154,0.6471,0.8154,0.6471,0.7932
43,31,52,6,10,0.8384,0.8966,0.7561,0.8667,0.7561,0.8966,0.7949,0.9058
44,20,63,7,9,0.8384,0.9,0.6897,0.8873,0.6897,0.9,0.7143,0.799
45,31,50,11,7,0.8182,0.8197,0.8158,0.8475,0.8158,0.8197,0.775,0.8896
46,32,50,9,8,0.8283,0.8475,0.8,0.8547,0.8,0.8475,0.7901,0.878
47,24,52,13,10,0.7677,0.8,0.7059,0.8189,0.7059,0.8,0.6761,0.7566
48,33,43,11,12,0.7677,0.7963,0.7333,0.789,0.7333,0.7963,0.7416,0.8181
49,23,54,13,9,0.7778,0.806,0.7188,0.8308,0.7188,0.806,0.6765,0.8116
50,16,63,10,10,0.798,0.863,0.6154,0.863,0.6154,0.863,0.6154,0.7771
51,30,47,12,10,0.7778,0.7966,0.75,0.8103,0.75,0.7966,0.7317,0.797
52,26,54,7,12,0.8081,0.8852,0.6842,0.8504,0.6842,0.8852,0.7324,0.8624
53,18,60,7,14,0.7879,0.8955,0.5625,0.8511,0.5625,0.8955,0.6316,0.8493
54,30,54,8,7,0.8485,0.871,0.8108,0.878,0.8108,0.871,0.8,0.8963
55,22,58,10,9,0.8081,0.8529,0.7097,0.8593,0.7097,0.8529,0.6984,0.8738
56,21,54,18,6,0.7576,0.75,0.7778,0.8182,0.7778,0.75,0.6364,0.8369
57,32,48,9,10,0.8081,0.8421,0.7619,0.8348,0.7619,0.8421,0.7711,0.8363
58,21,57,14,7,0.7879,0.8028,0.75,0.8444,0.75,0.8028,0.6667,0.8028
59,34,48,11,6,0.8283,0.8136,0.85,0.8496,0.85,0.8136,0.8,0.8949
60,21,55,12,11,0.7677,0.8209,0.6562,0.8271,0.6562,0.8209,0.6462,0.7943
61,29,46,15,9,0.7576,0.7541,0.7632,0.7931,0.7632,0.7541,0.7073,0.8007
62,30,46,9,14,0.7677,0.8364,0.6818,0.8,0.6818,0.8364,0.7229,0.8079
63,17,51,21,10,0.6869,0.7083,0.6296,0.7669,0.6296,0.7083,0.5231,0.7695
64,26,51,9,13,0.7778,0.85,0.6667,0.8226,0.6667,0.85,0.7027,0.8739
65,30,43,16,10,0.7374,0.7288,0.75,0.7679,0.75,0.7288,0.6977,0.8229
66,28,53,10,8,0.8182,0.8413,0.7778,0.8548,0.7778,0.8413,0.7568,0.8329
67,23,58,11,7,0.8182,0.8406,0.7667,0.8657,0.7667,0.8406,0.7188,0.8246
68,26,51,11,11,0.7778,0.8226,0.7027,0.8226,0.7027,0.8226,0.7027,0.8139
69,31,48,8,12,0.798,0.8571,0.7209,0.8276,0.7209,0.8571,0.7561,0.8198
