round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,29,52,6,12,0.8182,0.8966,0.7073,0.8525,0.7073,0.8966,0.7632,0.812
2,31,56,7,5,0.8788,0.8889,0.8611,0.9032,0.8611,0.8889,0.8378,0.886
3,26,46,15,12,0.7273,0.7541,0.6842,0.7731,0.6842,0.7541,0.6582,0.7593
4,32,52,8,7,0.8485,0.8667,0.8205,0.8739,0.8205,0.8667,0.8101,0.8466
5,23,56,11,9,0.798,0.8358,0.7188,0.8485,0.7188,0.8358,0.697,0.7833
6,39,45,6,9,0.8485,0.8824,0.8125,0.8571,0.8125,0.8824,0.8387,0.8948
7,20,53,15,11,0.7374,0.7794,0.6452,0.803,0.6452,0.7794,0.6061,0.7315
8,23,58,8,10,0.8182,0.8788,0.697,0.8657,0.697,0.8788,0.7188,0.7622
9,24,60,6,9,0.8485,0.9091,0.7273,0.8889,0.7273,0.9091,0.7619,0.8274
10,31,53,9,6,0.8485,0.8548,0.8378,0.876,0.8378,0.8548,0.8052,0.8633
11,24,56,10,9,0.8081,0.8485,0.7273,0.855,0.7273,0.8485,0.7164,0.7906
12,24,62,8,5,0.8687,0.8857,0.8276,0.9051,0.8276,0.8857,0.7869,0.8219
13,23,55,9,12,0.7879,0.8594,0.6571,0.8397,0.6571,0.8594,0.6866,0.7667
14,26,63,3,7,0.899,0.9545,0.7879,0.9265,0.7879,0.9545,0.8387,0.8958
15,32,49,10,8,0.8182,0.8305,0.8,0.8448,0.8,0.8305,0.7805,0.853
16,32,47,11,9,0.798,0.8103,0.7805,0.8246,0.7805,0.8103,0.7619,0.7839
17,26,59,6,8,0.8586,0.9077,0.7647,0.8939,0.7647,0.9077,0.7879,0.8457
18,25,60,7,7,0.8586,0.8955,0.7812,0.8955,0.7812,0.8955,0.7812,0.8279
19,17,63,8,11,0.8081,0.8873,0.6071,0.869,0.6071,0.8873,0.6415,0.7749
20,26,59,6,8,0.8586,0.9077,0.7647,0.8939,0.7647,0.9077,0.7879,0.8751
21,26,59,5,9,0.8586,0.9219,0.7429,0.8939,0.7429,0.9219,0.7879,0.8333
22,21,53,13,12,0.7475,0.803,0.6364,0.8092,0.6364,0.803,0.6269,0.7624
23,22,57,12,8,0.798,0.8261,0.7333,0.8507,0.7333,0.8261,0.6875,0.7915
24,27,53,11,8,0.8081,0.8281,0.7714,0.848,0.7714,0.8281,0.7397,0.8607
25,25,58,7,9,0.8384,0.8923,0.7353,0.8788,0.7353,0.8923,0.7576,0.8036
26,28,50,10,11,0.7879,0.8333,0.7179,0.8264,0.7179,0.8333,0.7273,0.8509
27,28,53,8,10,0.8182,0.8689,0.7368,0.8548,0.7368,0.8689,0.7568,0.8061
28,25,57,10,7,0.8283,0.8507,0.7812,0.8702,0.7812,0.8507,0.7463,0.834
29,32,54,9,4,0.8687,0.8571,0.8889,0.8926,0.8889,0.8571,0.8312,0.8995
30,25,57,8,9,0.8283,0.8769,0.7353,0.8702,0.7353,0.8769,0.7463,0.8136
31,24,55,13,7,0.798,0.8088,0.7742,0.8462,0.7742,0.8088,0.7059,0.8259
32,26,55,12,6,0.8182,0.8209,0.8125,0.8594,0.8125,0.8209,0.7429,0.8365
33,29,50,10,10,0.798,0.8333,0.7436,0.8333,0.7436,0.8333,0.7436,0.7923
34,33,52,6,8,0.8586,0.8966,0.8049,0.8814,0.8049,0.8966,0.825,0.8427
35,25,52,13,9,0.7778,0.8,0.7353,0.8254,0.7353,0.8,0.6944,0.8229
36,30,53,7,9,0.8384,0.8833,0.7692,0.8689,0.7692,0.8833,0.7895,0.8474
37,20,58,7,14,0.7879,0.8923,0.5882,0.8467,0.5882,0.8923,0.6557,0.7407
38,30,59,3,7,0.899,0.9516,0.8108,0.9219,0.8108,0.9516,0.8571,0.8871
39,25,58,12,4,0.8384,0.8286,0.8621,0.8788,0.8621,0.8286,0.7576,0.8463
40,31,56,5,7,0.8788,0.918,0.8158,0.9032,0.8158,0.918,0.8378,0.9047
41,31,52,8,8,0.8384,0.8667,0.7949,0.8667,0.7949,0.8667,0.7949,0.8641
42,22,58,7,12,0.8081,0.8923,0.6471,0.8593,0.6471,0.8923,0.6984,0.767
43,31,54,4,10,0.8586,0.931,0.7561,0.8852,0.7561,0.931,0.8158,0.8707
44,20,64,6,9,0.8485,0.9143,0.6897,0.8951,0.6897,0.9143,0.7273,0.7736
45,31,54,7,7,0.8586,0.8852,0.8158,0.8852,0.8158,0.8852,0.8158,0.8893
46,32,53,6,8,0.8586,0.8983,0.8,0.8833,0.8,0.8983,0.8205,0.8659
47,24,56,9,10,0.8081,0.8615,0.7059,0.855,0.7059,0.8615,0.7164,0.7597
48,33,44,10,12,0.7778,0.8148,0.7333,0.8,0.7333,0.8148,0.75,0.7973
49,23,59,8,9,0.8283,0.8806,0.7188,0.8741,0.7188,0.8806,0.7302,0.7997
50,16,67,6,10,0.8384,0.9178,0.6154,0.8933,0.6154,0.9178,0.6667,0.7537
51,30,53,6,10,0.8384,0.8983,0.75,0.8689,0.75,0.8983,0.7895,0.7843
52,26,57,4,12,0.8384,0.9344,0.6842,0.8769,0.6842,0.9344,0.7647,0.8516
53,18,63,4,14,0.8182,0.9403,0.5625,0.875,0.5625,0.9403,0.6667,0.8337
54,30,57,5,7,0.8788,0.9194,0.8108,0.9048,0.8108,0.9194,0.8333,0.8867
55,22,61,7,9,0.8384,0.8971,0.7097,0.8841,0.7097,0.8971,0.7333,0.8596
56,21,62,10,6,0.8384,0.8611,0.7778,0.8857,0.7778,0.8611,0.7241,0.8426
57,32,50,7,10,0.8283,0.8772,0.7619,0.8547,0.7619,0.8772,0.7901,0.8212
58,21,63,8,7,0.8485,0.8873,0.75,0.8936,0.75,0.8873,0.7368,0.7709
59,34,52,7,6,0.8687,0.8814,0.85,0.8889,0.85,0.8814,0.8395,0.9004
60,21,58,9,11,0.798,0.8657,0.6562,0.8529,0.6562,0.8657,0.6774,0.7565
61,29,49,12,9,0.7879,0.8033,0.7632,0.8235,0.7632,0.8033,0.7342,0.7925
62,30,52,3,14,0.8283,0.9455,0.6818,0.8595,0.6818,0.9455,0.7792,0.8008
63,17,54,18,10,0.7172,0.75,0.6296,0.7941,0.6296,0.75,0.5484,0.7739
64,26,56,4,13,0.8283,0.9333,0.6667,0.8682,0.6667,0.9333,0.7536,0.8551
65,30,46,13,10,0.7677,0.7797,0.75,0.8,0.75,0.7797,0.7229,0.8197
66,28,55,8,8,0.8384,0.873,0.7778,0.873,0.7778,0.873,0.7778,0.8302
67,23,59,10,7,0.8283,0.8551,0.7667,0.8741,0.7667,0.8551,0.7302,0.7961
