round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,28,48,10,13,0.7677,0.8276,0.6829,0.8067,0.6829,0.8276,0.7089,0.8141
2,30,53,10,6,0.8384,0.8413,0.8333,0.8689,0.8333,0.8413,0.7895,0.8774
3,22,43,18,16,0.6566,0.7049,0.5789,0.7167,0.5789,0.7049,0.5641,0.7364
4,30,50,10,9,0.8081,0.8333,0.7692,0.8403,0.7692,0.8333,0.7595,0.8521
5,21,52,15,11,0.7374,0.7761,0.6562,0.8,0.6562,0.7761,0.6176,0.7929
6,36,42,9,12,0.7879,0.8235,0.75,0.8,0.75,0.8235,0.7742,0.8607
7,20,48,20,11,0.6869,0.7059,0.6452,0.7559,0.6452,0.7059,0.5634,0.7282
8,21,56,10,12,0.7778,0.8485,0.6364,0.8358,0.6364,0.8485,0.6562,0.7736
9,22,59,7,11,0.8182,0.8939,0.6667,0.8676,0.6667,0.8939,0.7097,0.8384
10,27,51,11,10,0.7879,0.8226,0.7297,0.8293,0.7297,0.8226,0.72,0.8483
11,21,51,15,12,0.7273,0.7727,0.6364,0.7907,0.6364,0.7727,0.6087,0.7984
12,22,58,12,7,0.8081,0.8286,0.7586,0.8593,0.7586,0.8286,0.6984,0.8128
13,21,48,16,14,0.697,0.75,0.6,0.7619,0.6,0.75,0.5833,0.7625
14,21,61,5,12,0.8283,0.9242,0.6364,0.8777,0.6364,0.9242,0.7119,0.8962
15,29,43,16,11,0.7273,0.7288,0.725,0.7611,0.725,0.7288,0.6824,0.8263
16,27,43,15,14,0.7071,0.7414,0.6585,0.7478,0.6585,0.7414,0.6506,0.7653
17,25,54,11,9,0.798,0.8308,0.7353,0.8438,0.7353,0.8308,0.7143,0.8317
18,24,51,16,8,0.7576,0.7612,0.75,0.8095,0.75,0.7612,0.6667,0.8195
19,14,63,8,14,0.7778,0.8873,0.5,0.8514,0.5,0.8873,0.56,0.7631
20,24,56,9,10,0.8081,0.8615,0.7059,0.855,0.7059,0.8615,0.7164,0.8724
21,20,56,8,15,0.7677,0.875,0.5714,0.8296,0.5714,0.875,0.6349,0.8451
22,20,49,17,13,0.697,0.7424,0.6061,0.7656,0.6061,0.7424,0.5714,0.742
23,20,54,15,10,0.7475,0.7826,0.6667,0.812,0.6667,0.7826,0.6154,0.7826
24,25,49,15,10,0.7475,0.7656,0.7143,0.7967,0.7143,0.7656,0.6667,0.8299
25,22,54,11,12,0.7677,0.8308,0.6471,0.8244,0.6471,0.8308,0.6567,0.7778
26,25,50,10,14,0.7576,0.8333,0.641,0.8065,0.641,0.8333,0.6757,0.8321
27,25,50,11,13,0.7576,0.8197,0.6579,0.8065,0.6579,0.8197,0.6757,0.8231
28,23,54,13,9,0.7778,0.806,0.7188,0.8308,0.7188,0.806,0.6765,0.8349
29,28,51,12,8,0.798,0.8095,0.7778,0.8361,0.7778,0.8095,0.7368,0.8893
30,23,54,11,11,0.7778,0.8308,0.6765,0.8308,0.6765,0.8308,0.6765,0.7919
31,22,53,15,9,0.7576,0.7794,0.7097,0.8154,0.7097,0.7794,0.6471,0.7974
32,24,55,12,8,0.798,0.8209,0.75,0.8462,0.75,0.8209,0.7059,0.8102
33,26,45,15,13,0.7172,0.75,0.6667,0.7627,0.6667,0.75,0.65,0.7641
34,30,48,10,11,0.7879,0.8276,0.7317,0.8205,0.7317,0.8276,0.7407,0.8318
35,24,48,17,10,0.7273,0.7385,0.7059,0.7805,0.7059,0.7385,0.64,0.8131
