round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,28,47,11,13,0.7576,0.8103,0.6829,0.7966,0.6829,0.8103,0.7,0.8377
2,30,55,8,6,0.8586,0.873,0.8333,0.8871,0.8333,0.873,0.8108,0.9114
3,22,44,17,16,0.6667,0.7213,0.5789,0.7273,0.5789,0.7213,0.5714,0.7839
4,30,51,9,9,0.8182,0.85,0.7692,0.85,0.7692,0.85,0.7692,0.8808
5,21,52,15,11,0.7374,0.7761,0.6562,0.8,0.6562,0.7761,0.6176,0.8302
6,36,44,7,12,0.8081,0.8627,0.75,0.8224,0.75,0.8627,0.7912,0.9187
7,20,52,16,11,0.7273,0.7647,0.6452,0.7939,0.6452,0.7647,0.597,0.7633
8,21,57,9,12,0.7879,0.8636,0.6364,0.8444,0.6364,0.8636,0.6667,0.8407
9,22,60,6,11,0.8283,0.9091,0.6667,0.8759,0.6667,0.9091,0.7213,0.8659
10,27,53,9,10,0.8081,0.8548,0.7297,0.848,0.7297,0.8548,0.7397,0.8945
11,21,53,13,12,0.7475,0.803,0.6364,0.8092,0.6364,0.803,0.6269,0.8448
12,22,57,13,7,0.798,0.8143,0.7586,0.8507,0.7586,0.8143,0.6875,0.8468
13,21,52,12,14,0.7374,0.8125,0.6,0.8,0.6,0.8125,0.6176,0.8027
14,21,62,4,12,0.8384,0.9394,0.6364,0.8857,0.6364,0.9394,0.7241,0.9238
15,29,45,14,11,0.7475,0.7627,0.725,0.7826,0.725,0.7627,0.6988,0.8814
16,27,46,12,14,0.7374,0.7931,0.6585,0.7797,0.6585,0.7931,0.675,0.8154
17,25,57,8,9,0.8283,0.8769,0.7353,0.8702,0.7353,0.8769,0.7463,0.8489
18,24,54,13,8,0.7879,0.806,0.75,0.8372,0.75,0.806,0.6957,0.8717
19,14,60,11,14,0.7475,0.8451,0.5,0.8276,0.5,0.8451,0.5283,0.7948
20,24,56,9,10,0.8081,0.8615,0.7059,0.855,0.7059,0.8615,0.7164,0.8946
21,20,57,7,15,0.7778,0.8906,0.5714,0.8382,0.5714,0.8906,0.6452,0.8661
22,20,49,17,13,0.697,0.7424,0.6061,0.7656,0.6061,0.7424,0.5714,0.8053
23,20,57,12,10,0.7778,0.8261,0.6667,0.8382,0.6667,0.8261,0.6452,0.8469
24,25,52,12,10,0.7778,0.8125,0.7143,0.8254,0.7143,0.8125,0.6944,0.8683
25,22,56,9,12,0.7879,0.8615,0.6471,0.8421,0.6471,0.8615,0.6769,0.8226
26,25,48,12,14,0.7374,0.8,0.641,0.7869,0.641,0.8,0.6579,0.8748
27,25,49,12,13,0.7475,0.8033,0.6579,0.7967,0.6579,0.8033,0.6667,0.8451
28,23,53,14,9,0.7677,0.791,0.7188,0.8217,0.7188,0.791,0.6667,0.8601
29,28,52,11,8,0.8081,0.8254,0.7778,0.8455,0.7778,0.8254,0.7467,0.925
30,23,57,8,11,0.8081,0.8769,0.6765,0.8571,0.6765,0.8769,0.7077,0.8339
31,22,52,16,9,0.7475,0.7647,0.7097,0.8062,0.7097,0.7647,0.6377,0.8491
32,24,53,14,8,0.7778,0.791,0.75,0.8281,0.75,0.791,0.6857,0.8382
33,26,46,14,13,0.7273,0.7667,0.6667,0.7731,0.6667,0.7667,0.6582,0.8141
34,30,49,9,11,0.798,0.8448,0.7317,0.8305,0.7317,0.8448,0.75,0.8789
35,24,50,15,10,0.7475,0.7692,0.7059,0.8,0.7059,0.7692,0.6575,0.8525
36,29,51,9,10,0.8081,0.85,0.7436,0.843,0.7436,0.85,0.7532,0.8876
37,20,55,10,14,0.7576,0.8462,0.5882,0.8209,0.5882,0.8462,0.625,0.7665
38,27,57,5,10,0.8485,0.9194,0.7297,0.8837,0.7297,0.9194,0.7826,0.9037
39,23,58,12,6,0.8182,0.8286,0.7931,0.8657,0.7931,0.8286,0.7188,0.8995
40,30,54,7,8,0.8485,0.8852,0.7895,0.878,0.7895,0.8852,0.8,0.9258
41,28,50,10,11,0.7879,0.8333,0.7179,0.8264,0.7179,0.8333,0.7273,0.8838
42,22,57,8,12,0.798,0.8769,0.6471,0.8507,0.6471,0.8769,0.6875,0.8054
43,28,53,5,13,0.8182,0.9138,0.6829,0.8548,0.6829,0.9138,0.7568,0.91
44,18,63,7,11,0.8182,0.9,0.6207,0.875,0.6207,0.9,0.6667,0.8488
45,27,52,9,11,0.798,0.8525,0.7105,0.8387,0.7105,0.8525,0.7297,0.8991
46,31,50,9,9,0.8182,0.8475,0.775,0.8475,0.775,0.8475,0.775,0.8924
47,23,55,10,11,0.7879,0.8462,0.6765,0.8397,0.6765,0.8462,0.6866,0.8149
48,32,44,10,13,0.7677,0.8148,0.7111,0.7928,0.7111,0.8148,0.7356,0.8416
49,19,57,10,13,0.7677,0.8507,0.5938,0.8321,0.5938,0.8507,0.623,0.8424
50,15,63,10,11,0.7879,0.863,0.5769,0.8571,0.5769,0.863,0.5882,0.7829
51,26,52,7,14,0.7879,0.8814,0.65,0.832,0.65,0.8814,0.7123,0.8403
52,24,55,6,14,0.798,0.9016,0.6316,0.8462,0.6316,0.9016,0.7059,0.8693
53,18,61,6,14,0.798,0.9104,0.5625,0.8592,0.5625,0.9104,0.6429,0.8675
54,28,57,5,9,0.8586,0.9194,0.7568,0.8906,0.7568,0.9194,0.8,0.9111
55,21,58,10,10,0.798,0.8529,0.6774,0.8529,0.6774,0.8529,0.6774,0.8714
56,18,55,17,9,0.7374,0.7639,0.6667,0.8088,0.6667,0.7639,0.5806,0.838
57,30,48,9,12,0.7879,0.8421,0.7143,0.8205,0.7143,0.8421,0.7407,0.8496
58,19,61,10,9,0.8081,0.8592,0.6786,0.8652,0.6786,0.8592,0.6667,0.8194
59,31,50,9,9,0.8182,0.8475,0.775,0.8475,0.775,0.8475,0.775,0.9195
60,21,55,12,11,0.7677,0.8209,0.6562,0.8271,0.6562,0.8209,0.6462,0.8064
61,26,46,15,12,0.7273,0.7541,0.6842,0.7731,0.6842,0.7541,0.6582,0.8309
62,28,49,6,16,0.7778,0.8909,0.6364,0.8167,0.6364,0.8909,0.7179,0.8409
63,16,54,18,11,0.7071,0.75,0.5926,0.7883,0.5926,0.75,0.5246,0.8004
64,22,50,10,17,0.7273,0.8333,0.5641,0.7874,0.5641,0.8333,0.6197,0.8675
65,28,45,14,12,0.7374,0.7627,0.7,0.7759,0.7,0.7627,0.6829,0.8445
66,26,52,11,10,0.7879,0.8254,0.7222,0.832,0.7222,0.8254,0.7123,0.825
67,21,58,11,9,0.798,0.8406,0.7,0.8529,0.7,0.8406,0.6774,0.8353
68,25,56,6,12,0.8182,0.9032,0.6757,0.8615,0.6757,0.9032,0.7353,0.8418
69,29,49,7,14,0.7879,0.875,0.6744,0.8235,0.6744,0.875,0.7342,0.8472
70,19,58,10,12,0.7778,0.8529,0.6129,0.8406,0.6129,0.8529,0.6333,0.8748
71,23,54,12,10,0.7778,0.8182,0.697,0.8308,0.697,0.8182,0.6765,0.8012
72,22,55,14,8,0.7778,0.7971,0.7333,0.8333,0.7333,0.7971,0.6667,0.8865
73,29,57,5,8,0.8687,0.9194,0.7838,0.8976,0.7838,0.9194,0.8169,0.9194
74,23,53,8,15,0.7677,0.8689,0.6053,0.8217,0.6053,0.8689,0.6667,0.8494
75,17,59,11,12,0.7677,0.8429,0.5862,0.8369,0.5862,0.8429,0.5965,0.7655
76,21,51,9,18,0.7273,0.85,0.5385,0.7907,0.5385,0.85,0.6087,0.8329
77,18,60,12,9,0.7879,0.8333,0.6667,0.8511,0.6667,0.8333,0.6316,0.8981
78,20,49,11,19,0.697,0.8167,0.5128,0.7656,0.5128,0.8167,0.5714,0.8453
79,36,43,12,8,0.798,0.7818,0.8182,0.8113,0.8182,0.7818,0.7826,0.9165
80,21,57,7,14,0.7879,0.8906,0.6,0.8444,0.6,0.8906,0.6667,0.8344
81,17,55,12,15,0.7273,0.8209,0.5312,0.8029,0.5312,0.8209,0.5574,0.847
82,27,59,3,10,0.8687,0.9516,0.7297,0.9008,0.7297,0.9516,0.806,0.8862
83,27,57,10,5,0.8485,0.8507,0.8438,0.8837,0.8438,0.8507,0.7826,0.9492
84,22,51,16,10,0.7374,0.7612,0.6875,0.7969,0.6875,0.7612,0.6286,0.8046
85,23,57,8,11,0.8081,0.8769,0.6765,0.8571,0.6765,0.8769,0.7077,0.8575
86,35,41,14,9,0.7677,0.7455,0.7955,0.781,0.7955,0.7455,0.7527,0.8579
87,25,53,9,12,0.7879,0.8548,0.6757,0.8346,0.6757,0.8548,0.7042,0.8867
88,22,58,6,13,0.8081,0.9062,0.6286,0.8593,0.6286,0.9062,0.6984,0.8558
89,23,61,8,7,0.8485,0.8841,0.7667,0.8905,0.7667,0.8841,0.7541,0.9198
90,21,50,9,19,0.7172,0.8475,0.525,0.7812,0.525,0.8475,0.6,0.8114
91,24,58,7,10,0.8283,0.8923,0.7059,0.8722,0.7059,0.8923,0.7385,0.9081
