round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,21,36,2,8,0.8507,0.7241,0.9474,0.8077,0.9474
2,17,45,3,2,0.9254,0.8947,0.9375,0.8718,0.9715
3,16,43,3,5,0.8806,0.7619,0.9348,0.8,0.9596
4,14,42,1,10,0.8358,0.5833,0.9767,0.7179,0.9012
5,21,35,2,9,0.8358,0.7,0.9459,0.7925,0.9477
6,16,43,3,5,0.8806,0.7619,0.9348,0.8,0.9017
7,12,40,7,8,0.7761,0.6,0.8511,0.6154,0.8649
8,16,40,3,8,0.8358,0.6667,0.9302,0.7442,0.8421
9,18,37,1,11,0.8209,0.6207,0.9737,0.75,0.9592
10,17,40,2,8,0.8507,0.68,0.9524,0.7727,0.9029
11,15,43,3,6,0.8657,0.7143,0.9348,0.7692,0.9213
12,16,43,4,4,0.8806,0.8,0.9149,0.8,0.966
13,11,41,6,9,0.7761,0.55,0.8723,0.5946,0.8638
14,20,39,2,6,0.8806,0.7692,0.9512,0.8333,0.9296
15,11,44,3,9,0.8209,0.55,0.9362,0.6471,0.9234
16,13,38,4,12,0.7612,0.52,0.9048,0.619,0.8467
17,12,47,3,5,0.8806,0.7059,0.94,0.75,0.9224
18,20,36,3,8,0.8358,0.7143,0.9231,0.7843,0.8791
19,21,40,2,4,0.9104,0.84,0.9524,0.875,0.9629
20,15,42,1,9,0.8507,0.625,0.9767,0.75,0.8789
21,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.8979
22,14,43,2,8,0.8507,0.6364,0.9556,0.7368,0.9152
23,14,42,3,8,0.8358,0.6364,0.9333,0.7179,0.9152
24,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.9506
25,13,43,7,4,0.8358,0.7647,0.86,0.7027,0.9094
26,12,46,4,5,0.8657,0.7059,0.92,0.7273,0.9224
27,12,46,3,6,0.8657,0.6667,0.9388,0.7273,0.9683
28,16,43,4,4,0.8806,0.8,0.9149,0.8,0.9649
29,21,41,4,1,0.9254,0.9545,0.9111,0.8936,0.9949
30,9,46,4,8,0.8209,0.5294,0.92,0.6,0.8588
31,13,42,4,8,0.8209,0.619,0.913,0.6842,0.9027
32,16,35,4,12,0.7612,0.5714,0.8974,0.6667,0.8416
33,15,42,1,9,0.8507,0.625,0.9767,0.75,0.8178
34,9,50,3,5,0.8806,0.6429,0.9434,0.6923,0.8908
35,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.9099
36,19,37,3,8,0.8358,0.7037,0.925,0.7755,0.9046
37,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.8663
38,16,41,3,7,0.8507,0.6957,0.9318,0.7619,0.9348
39,21,41,0,5,0.9254,0.8077,1.0,0.8936,0.955
40,21,40,1,5,0.9104,0.8077,0.9756,0.875,0.9728
41,13,40,4,10,0.791,0.5652,0.9091,0.65,0.8468
42,12,42,2,11,0.806,0.5217,0.9545,0.6486,0.9081
43,12,41,5,9,0.791,0.5714,0.8913,0.6316,0.9027
44,14,43,3,7,0.8507,0.6667,0.9348,0.7368,0.9172
45,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.913
46,14,44,4,5,0.8657,0.7368,0.9167,0.7568,0.9594
47,18,31,6,12,0.7313,0.6,0.8378,0.6667,0.782
48,18,42,0,7,0.8955,0.72,1.0,0.8372,0.9238
49,15,39,3,10,0.806,0.6,0.9286,0.6977,0.9238
50,16,38,6,7,0.806,0.6957,0.8636,0.7111,0.8864
51,15,37,4,11,0.7761,0.5769,0.9024,0.6667,0.8171
52,18,40,3,6,0.8657,0.75,0.9302,0.8,0.8992
53,23,29,3,12,0.7761,0.6571,0.9062,0.7541,0.8705
54,14,42,3,8,0.8358,0.6364,0.9333,0.7179,0.8657
55,12,43,1,11,0.8209,0.5217,0.9773,0.6667,0.8132
56,14,38,1,14,0.7761,0.5,0.9744,0.6512,0.9167
57,17,38,6,6,0.8209,0.7391,0.8636,0.7391,0.9091
58,19,39,3,6,0.8657,0.76,0.9286,0.8085,0.9295
59,14,41,2,10,0.8209,0.5833,0.9535,0.7,0.9176
60,21,38,3,5,0.8806,0.8077,0.9268,0.84,0.9672
61,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.9161
62,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.9287
63,19,43,2,3,0.9254,0.8636,0.9556,0.8837,0.9535
64,13,43,6,5,0.8358,0.7222,0.8776,0.7027,0.9161
65,10,41,2,14,0.7612,0.4167,0.9535,0.5556,0.8459
66,11,42,6,8,0.791,0.5789,0.875,0.6111,0.8355
67,12,44,1,10,0.8358,0.5455,0.9778,0.6857,0.9212
68,15,36,2,14,0.7612,0.5172,0.9474,0.6522,0.8358
69,9,49,3,6,0.8657,0.6,0.9423,0.6667,0.9308
70,15,43,5,4,0.8657,0.7895,0.8958,0.7692,0.9452
71,23,34,1,9,0.8507,0.7188,0.9714,0.8214,0.9589
72,14,45,1,7,0.8806,0.6667,0.9783,0.7778,0.9317
73,17,40,5,5,0.8507,0.7727,0.8889,0.7727,0.9364
74,19,39,3,6,0.8657,0.76,0.9286,0.8085,0.9
75,13,42,2,10,0.8209,0.5652,0.9545,0.6842,0.8844
76,23,36,1,7,0.8806,0.7667,0.973,0.8519,0.9261
77,9,44,2,12,0.791,0.4286,0.9565,0.5625,0.8478
78,20,39,4,4,0.8806,0.8333,0.907,0.8333,0.9438
79,16,39,1,11,0.8209,0.5926,0.975,0.7273,0.9269
80,11,49,3,4,0.8955,0.7333,0.9423,0.7586,0.9551
81,15,38,6,8,0.791,0.6522,0.8636,0.6818,0.8656
82,6,49,1,11,0.8209,0.3529,0.98,0.5,0.8553
83,17,37,5,8,0.806,0.68,0.881,0.7234,0.8914
84,19,33,7,8,0.7761,0.7037,0.825,0.717,0.8963
85,13,46,2,6,0.8806,0.6842,0.9583,0.7647,0.9276
86,18,38,3,8,0.8358,0.6923,0.9268,0.766,0.9306
87,13,39,4,11,0.7761,0.5417,0.907,0.6341,0.8527
88,17,39,3,8,0.8358,0.68,0.9286,0.7556,0.9295
89,16,38,6,7,0.806,0.6957,0.8636,0.7111,0.8735
90,17,39,2,9,0.8358,0.6538,0.9512,0.7556,0.9278
91,17,36,6,8,0.791,0.68,0.8571,0.7083,0.9162
92,16,40,3,8,0.8358,0.6667,0.9302,0.7442,0.8421
93,10,49,0,8,0.8806,0.5556,1.0,0.7143,0.9104
94,20,41,2,4,0.9104,0.8333,0.9535,0.8696,0.9632
95,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.8567
96,9,45,2,11,0.806,0.45,0.9574,0.5806,0.8574
97,10,42,3,12,0.7761,0.4545,0.9333,0.5714,0.8889
98,10,49,3,5,0.8806,0.6667,0.9423,0.7143,0.941
99,12,44,3,8,0.8358,0.6,0.9362,0.6857,0.883
100,20,34,5,8,0.806,0.7143,0.8718,0.7547,0.8819
101,10,51,1,5,0.9104,0.6667,0.9808,0.7692,0.9782
102,22,33,4,8,0.8209,0.7333,0.8919,0.7857,0.9225
103,9,43,4,11,0.7761,0.45,0.9149,0.5455,0.8032
104,14,42,2,9,0.8358,0.6087,0.9545,0.7179,0.8943
105,12,44,4,7,0.8358,0.6316,0.9167,0.6857,0.8893
106,14,44,4,5,0.8657,0.7368,0.9167,0.7568,0.9331
107,18,36,8,5,0.806,0.7826,0.8182,0.7347,0.8547
108,7,47,2,11,0.806,0.3889,0.9592,0.5185,0.7914
109,15,42,2,8,0.8507,0.6522,0.9545,0.75,0.9694
110,22,33,1,11,0.8209,0.6667,0.9706,0.7857,0.9082
111,15,40,6,6,0.8209,0.7143,0.8696,0.7143,0.882
112,17,39,6,5,0.8358,0.7727,0.8667,0.7556,0.9646
113,17,42,2,6,0.8806,0.7391,0.9545,0.8095,0.8794
114,16,42,4,5,0.8657,0.7619,0.913,0.7805,0.8996
115,22,35,2,8,0.8507,0.7333,0.9459,0.8148,0.8964
116,10,41,3,13,0.7612,0.4348,0.9318,0.5556,0.7381
117,18,35,2,12,0.791,0.6,0.9459,0.72,0.9108
118,16,41,1,9,0.8507,0.64,0.9762,0.7619,0.8333
119,17,45,3,2,0.9254,0.8947,0.9375,0.8718,0.9693
120,13,40,3,11,0.791,0.5417,0.9302,0.65,0.874
121,11,40,7,9,0.7612,0.55,0.8511,0.5789,0.884
122,13,32,4,18,0.6716,0.4194,0.8889,0.5417,0.7832
123,14,43,1,9,0.8507,0.6087,0.9773,0.7368,0.8518
124,14,45,2,6,0.8806,0.7,0.9574,0.7778,0.9606
125,12,45,3,7,0.8507,0.6316,0.9375,0.7059,0.9419
126,9,47,3,8,0.8358,0.5294,0.94,0.6207,0.8506
127,23,32,5,7,0.8209,0.7667,0.8649,0.7931,0.9198
128,22,31,5,9,0.791,0.7097,0.8611,0.7586,0.9014
129,15,41,3,8,0.8358,0.6522,0.9318,0.7317,0.8992
130,16,40,4,7,0.8358,0.6957,0.9091,0.7442,0.9081
131,16,41,2,8,0.8507,0.6667,0.9535,0.7619,0.9128
132,16,43,2,6,0.8806,0.7273,0.9556,0.8,0.9525
133,17,39,3,8,0.8358,0.68,0.9286,0.7556,0.8971
134,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.8838
135,16,41,3,7,0.8507,0.6957,0.9318,0.7619,0.9279
136,13,42,4,8,0.8209,0.619,0.913,0.6842,0.8996
