round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,21,70,6,5,0.8922,0.9211,0.8077,0.9272,0.8077,0.9211,0.7925,0.9074
2,16,71,7,8,0.8529,0.9103,0.6667,0.9045,0.6667,0.9103,0.6809,0.7933
3,21,72,2,7,0.9118,0.973,0.75,0.9412,0.75,0.973,0.8235,0.8822
4,22,69,7,4,0.8922,0.9079,0.8462,0.9262,0.8462,0.9079,0.8,0.9109
5,19,67,6,10,0.8431,0.9178,0.6552,0.8933,0.6552,0.9178,0.7037,0.7383
6,19,71,3,9,0.8824,0.9595,0.6786,0.9221,0.6786,0.9595,0.76,0.8074
7,18,73,5,6,0.8922,0.9359,0.75,0.9299,0.75,0.9359,0.766,0.9407
8,16,71,5,10,0.8529,0.9342,0.6154,0.9045,0.6154,0.9342,0.6809,0.7854
9,12,76,3,11,0.8627,0.962,0.5217,0.9157,0.5217,0.962,0.6316,0.7276
10,20,65,7,10,0.8333,0.9028,0.6667,0.8844,0.6667,0.9028,0.7018,0.8435
11,15,73,0,14,0.8627,1.0,0.5172,0.9125,0.5172,1.0,0.6818,0.7676
12,18,69,7,8,0.8529,0.9079,0.6923,0.902,0.6923,0.9079,0.7059,0.8117
13,19,71,6,6,0.8824,0.9221,0.76,0.9221,0.76,0.9221,0.76,0.8462
14,22,67,6,7,0.8725,0.9178,0.7586,0.9116,0.7586,0.9178,0.7719,0.8082
15,16,77,5,4,0.9118,0.939,0.8,0.9448,0.8,0.939,0.7805,0.8878
16,21,65,2,14,0.8431,0.9701,0.6,0.8904,0.6,0.9701,0.7241,0.8072
17,18,66,4,14,0.8235,0.9429,0.5625,0.88,0.5625,0.9429,0.6667,0.775
18,14,76,5,7,0.8824,0.9383,0.6667,0.9268,0.6667,0.9383,0.7,0.8013
19,26,65,4,7,0.8922,0.942,0.7879,0.922,0.7879,0.942,0.8254,0.917
20,21,63,8,10,0.8235,0.8873,0.6774,0.875,0.6774,0.8873,0.7,0.8364
21,20,71,4,7,0.8922,0.9467,0.7407,0.9281,0.7407,0.9467,0.7843,0.8993
22,21,68,4,9,0.8725,0.9444,0.7,0.9128,0.7,0.9444,0.7636,0.8542
23,21,71,2,8,0.902,0.9726,0.7241,0.9342,0.7241,0.9726,0.8077,0.9117
24,24,69,5,4,0.9118,0.9324,0.8571,0.9388,0.8571,0.9324,0.8421,0.8991
25,19,69,6,8,0.8627,0.92,0.7037,0.9079,0.7037,0.92,0.7308,0.9037
26,23,67,6,6,0.8824,0.9178,0.7931,0.9178,0.7931,0.9178,0.7931,0.9391
27,21,64,7,10,0.8333,0.9014,0.6774,0.8828,0.6774,0.9014,0.7119,0.8269
28,22,61,9,10,0.8137,0.8714,0.6875,0.8652,0.6875,0.8714,0.6984,0.7652
29,27,62,3,10,0.8725,0.9538,0.7297,0.9051,0.7297,0.9538,0.806,0.8736
30,18,71,5,8,0.8725,0.9342,0.6923,0.9161,0.6923,0.9342,0.7347,0.837
31,17,73,6,6,0.8824,0.9241,0.7391,0.9241,0.7391,0.9241,0.7391,0.8206
32,22,67,8,5,0.8725,0.8933,0.8148,0.9116,0.8148,0.8933,0.7719,0.9506
33,15,70,8,9,0.8333,0.8974,0.625,0.8917,0.625,0.8974,0.6383,0.7821
34,15,72,4,11,0.8529,0.9474,0.5769,0.9057,0.5769,0.9474,0.6667,0.7773
35,13,75,3,11,0.8627,0.9615,0.5417,0.9146,0.5417,0.9615,0.65,0.8296
36,21,69,7,5,0.8824,0.9079,0.8077,0.92,0.8077,0.9079,0.7778,0.9266
37,13,71,4,14,0.8235,0.9467,0.4815,0.8875,0.4815,0.9467,0.5909,0.8202
38,20,67,7,8,0.8529,0.9054,0.7143,0.8993,0.7143,0.9054,0.7273,0.8181
39,20,73,6,3,0.9118,0.9241,0.8696,0.9419,0.8696,0.9241,0.8163,0.9163
40,16,77,3,6,0.9118,0.9625,0.7273,0.9448,0.7273,0.9625,0.7805,0.8534
41,27,63,6,6,0.8824,0.913,0.8182,0.913,0.8182,0.913,0.8182,0.9029
42,18,71,5,8,0.8725,0.9342,0.6923,0.9161,0.6923,0.9342,0.7347,0.8234
43,25,64,4,9,0.8725,0.9412,0.7353,0.9078,0.7353,0.9412,0.7937,0.8824
44,22,71,4,5,0.9118,0.9467,0.8148,0.9404,0.8148,0.9467,0.8302,0.8904
45,16,70,8,8,0.8431,0.8974,0.6667,0.8974,0.6667,0.8974,0.6667,0.8333
46,20,68,7,7,0.8627,0.9067,0.7407,0.9067,0.7407,0.9067,0.7407,0.8691
47,19,71,3,9,0.8824,0.9595,0.6786,0.9221,0.6786,0.9595,0.76,0.8523
48,18,69,7,8,0.8529,0.9079,0.6923,0.902,0.6923,0.9079,0.7059,0.8877
49,15,72,4,11,0.8529,0.9474,0.5769,0.9057,0.5769,0.9474,0.6667,0.8345
50,16,68,7,11,0.8235,0.9067,0.5926,0.8831,0.5926,0.9067,0.64,0.8123
51,16,74,4,8,0.8824,0.9487,0.6667,0.925,0.6667,0.9487,0.7273,0.8707
52,16,70,5,11,0.8431,0.9333,0.5926,0.8974,0.5926,0.9333,0.6667,0.8035
53,12,74,3,13,0.8431,0.961,0.48,0.9024,0.48,0.961,0.6,0.734
54,16,74,6,6,0.8824,0.925,0.7273,0.925,0.7273,0.925,0.7273,0.8625
55,18,71,4,9,0.8725,0.9467,0.6667,0.9161,0.6667,0.9467,0.7347,0.8612
56,25,64,5,8,0.8725,0.9275,0.7576,0.9078,0.7576,0.9275,0.7937,0.8718
57,19,69,5,9,0.8627,0.9324,0.6786,0.9079,0.6786,0.9324,0.7308,0.8345
58,23,68,5,6,0.8922,0.9315,0.7931,0.9252,0.7931,0.9315,0.807,0.8767
59,24,64,7,7,0.8627,0.9014,0.7742,0.9014,0.7742,0.9014,0.7742,0.9014
60,18,70,6,8,0.8627,0.9211,0.6923,0.9091,0.6923,0.9211,0.72,0.8325
61,25,68,1,8,0.9118,0.9855,0.7576,0.9379,0.7576,0.9855,0.8475,0.9065
62,13,72,6,11,0.8333,0.9231,0.5417,0.8944,0.5417,0.9231,0.6047,0.7399
63,24,70,1,7,0.9216,0.9859,0.7742,0.9459,0.7742,0.9859,0.8571,0.8669
64,9,79,7,7,0.8627,0.9186,0.5625,0.9186,0.5625,0.9186,0.5625,0.8968
65,21,72,2,7,0.9118,0.973,0.75,0.9412,0.75,0.973,0.8235,0.9044
66,14,72,8,8,0.8431,0.9,0.6364,0.9,0.6364,0.9,0.6364,0.925
67,26,67,4,5,0.9118,0.9437,0.8387,0.9371,0.8387,0.9437,0.8525,0.9178
68,20,69,3,10,0.8725,0.9583,0.6667,0.9139,0.6667,0.9583,0.7547,0.8218
69,21,70,4,7,0.8922,0.9459,0.75,0.9272,0.75,0.9459,0.7925,0.8827
70,15,76,6,5,0.8922,0.9268,0.75,0.9325,0.75,0.9268,0.7317,0.8396
71,13,75,5,9,0.8627,0.9375,0.5909,0.9146,0.5909,0.9375,0.65,0.8148
72,19,70,5,8,0.8725,0.9333,0.7037,0.915,0.7037,0.9333,0.7451,0.8242
73,18,70,5,9,0.8627,0.9333,0.6667,0.9091,0.6667,0.9333,0.72,0.8114
74,19,68,5,10,0.8529,0.9315,0.6552,0.9007,0.6552,0.9315,0.717,0.8337
75,20,70,6,6,0.8824,0.9211,0.7692,0.9211,0.7692,0.9211,0.7692,0.8775
76,16,78,2,6,0.9216,0.975,0.7273,0.9512,0.7273,0.975,0.8,0.8807
77,21,65,5,11,0.8431,0.9286,0.6562,0.8904,0.6562,0.9286,0.7241,0.7821
