round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,23,68,8,3,0.8922,0.8947,0.8846,0.9252,0.8846,0.8947,0.807,0.9079
2,18,74,4,6,0.902,0.9487,0.75,0.9367,0.75,0.9487,0.7826,0.8403
3,22,72,2,6,0.9216,0.973,0.7857,0.9474,0.7857,0.973,0.8462,0.903
4,23,74,2,3,0.951,0.9737,0.8846,0.9673,0.8846,0.9737,0.902,0.9099
5,19,67,6,10,0.8431,0.9178,0.6552,0.8933,0.6552,0.9178,0.7037,0.7709
6,21,71,3,7,0.902,0.9595,0.75,0.9342,0.75,0.9595,0.8077,0.8634
7,19,74,4,5,0.9118,0.9487,0.7917,0.9427,0.7917,0.9487,0.8085,0.9327
8,18,72,4,8,0.8824,0.9474,0.6923,0.9231,0.6923,0.9474,0.75,0.7955
9,14,76,3,9,0.8824,0.962,0.6087,0.9268,0.6087,0.962,0.7,0.792
10,22,68,4,8,0.8824,0.9444,0.7333,0.9189,0.7333,0.9444,0.7857,0.8574
11,19,70,3,10,0.8725,0.9589,0.6552,0.915,0.6552,0.9589,0.7451,0.8181
12,18,71,5,8,0.8725,0.9342,0.6923,0.9161,0.6923,0.9342,0.7347,0.8613
13,20,71,6,5,0.8922,0.9221,0.8,0.9281,0.8,0.9221,0.7843,0.8639
14,23,65,8,6,0.8627,0.8904,0.7931,0.9028,0.7931,0.8904,0.7667,0.8521
15,17,76,6,3,0.9118,0.9268,0.85,0.9441,0.85,0.9268,0.7907,0.9226
16,24,61,6,11,0.8333,0.9104,0.6857,0.8777,0.6857,0.9104,0.7385,0.8273
17,20,66,4,12,0.8431,0.9429,0.625,0.8919,0.625,0.9429,0.7143,0.7897
18,15,77,4,6,0.902,0.9506,0.7143,0.939,0.7143,0.9506,0.75,0.7989
19,26,64,5,7,0.8824,0.9275,0.7879,0.9143,0.7879,0.9275,0.8125,0.91
20,24,66,5,7,0.8824,0.9296,0.7742,0.9167,0.7742,0.9296,0.8,0.8601
21,23,70,5,4,0.9118,0.9333,0.8519,0.9396,0.8519,0.9333,0.8364,0.8815
22,23,67,5,7,0.8824,0.9306,0.7667,0.9178,0.7667,0.9306,0.7931,0.8958
23,25,70,3,4,0.9314,0.9589,0.8621,0.9524,0.8621,0.9589,0.8772,0.9131
24,24,67,7,4,0.8922,0.9054,0.8571,0.9241,0.8571,0.9054,0.8136,0.9117
25,21,66,9,6,0.8529,0.88,0.7778,0.898,0.7778,0.88,0.7368,0.8815
26,28,68,5,1,0.9412,0.9315,0.9655,0.9577,0.9655,0.9315,0.9032,0.9565
27,23,65,6,8,0.8627,0.9155,0.7419,0.9028,0.7419,0.9155,0.7667,0.8155
28,23,63,7,9,0.8431,0.9,0.7188,0.8873,0.7188,0.9,0.7419,0.7848
29,30,62,3,7,0.902,0.9538,0.8108,0.9254,0.8108,0.9538,0.8571,0.8936
30,18,74,2,8,0.902,0.9737,0.6923,0.9367,0.6923,0.9737,0.7826,0.8148
31,18,71,8,5,0.8725,0.8987,0.7826,0.9161,0.7826,0.8987,0.7347,0.8668
32,25,67,8,2,0.902,0.8933,0.9259,0.9306,0.9259,0.8933,0.8333,0.9427
