round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,17,72,4,9,0.8725,0.9474,0.6538,0.9172,0.6538,0.9474,0.7234,0.9018
2,13,75,3,11,0.8627,0.9615,0.5417,0.9146,0.5417,0.9615,0.65,0.7986
3,19,73,1,9,0.902,0.9865,0.6786,0.9359,0.6786,0.9865,0.7917,0.8929
4,18,75,1,8,0.9118,0.9868,0.6923,0.9434,0.6923,0.9868,0.8,0.8993
5,16,70,3,13,0.8431,0.9589,0.5517,0.8974,0.5517,0.9589,0.6667,0.7553
6,17,71,3,11,0.8627,0.9595,0.6071,0.9103,0.6071,0.9595,0.7083,0.8359
7,14,74,4,10,0.8627,0.9487,0.5833,0.9136,0.5833,0.9487,0.6667,0.9257
8,15,73,3,11,0.8627,0.9605,0.5769,0.9125,0.5769,0.9605,0.6818,0.7915
9,12,76,3,11,0.8627,0.962,0.5217,0.9157,0.5217,0.962,0.6316,0.7501
10,18,68,4,12,0.8431,0.9444,0.6,0.8947,0.6,0.9444,0.6923,0.8412
11,15,70,3,14,0.8333,0.9589,0.5172,0.8917,0.5172,0.9589,0.6383,0.7898
12,15,74,2,11,0.8725,0.9737,0.5769,0.9193,0.5769,0.9737,0.6977,0.835
13,18,72,5,7,0.8824,0.9351,0.72,0.9231,0.72,0.9351,0.75,0.8478
14,20,65,8,9,0.8333,0.8904,0.6897,0.8844,0.6897,0.8904,0.7018,0.837
15,16,77,5,4,0.9118,0.939,0.8,0.9448,0.8,0.939,0.7805,0.9134
16,18,61,6,17,0.7745,0.9104,0.5143,0.8414,0.5143,0.9104,0.6102,0.8166
17,15,67,3,17,0.8039,0.9571,0.4688,0.8701,0.4688,0.9571,0.6,0.7781
18,11,79,2,10,0.8824,0.9753,0.5238,0.9294,0.5238,0.9753,0.6471,0.7784
19,24,66,3,9,0.8824,0.9565,0.7273,0.9167,0.7273,0.9565,0.8,0.9196
20,16,69,2,15,0.8333,0.9718,0.5161,0.8903,0.5161,0.9718,0.6531,0.8551
21,18,71,4,9,0.8725,0.9467,0.6667,0.9161,0.6667,0.9467,0.7347,0.8869
22,18,69,3,12,0.8529,0.9583,0.6,0.902,0.6,0.9583,0.7059,0.8838
23,18,70,3,11,0.8627,0.9589,0.6207,0.9091,0.6207,0.9589,0.72,0.906
24,19,68,6,9,0.8529,0.9189,0.6786,0.9007,0.6786,0.9189,0.717,0.8904
25,18,68,7,9,0.8431,0.9067,0.6667,0.8947,0.6667,0.9067,0.6923,0.8988
26,22,70,3,7,0.902,0.9589,0.7586,0.9333,0.7586,0.9589,0.8148,0.9457
27,18,69,2,13,0.8529,0.9718,0.5806,0.902,0.5806,0.9718,0.7059,0.8214
28,20,66,4,12,0.8431,0.9429,0.625,0.8919,0.625,0.9429,0.7143,0.7585
29,25,63,2,12,0.8627,0.9692,0.6757,0.9,0.6757,0.9692,0.7813,0.8861
30,16,74,2,10,0.8824,0.9737,0.6154,0.925,0.6154,0.9737,0.7273,0.8269
31,15,74,5,8,0.8725,0.9367,0.6522,0.9193,0.6522,0.9367,0.6977,0.8597
32,19,69,6,8,0.8627,0.92,0.7037,0.9079,0.7037,0.92,0.7308,0.9378
33,14,75,3,10,0.8725,0.9615,0.5833,0.9202,0.5833,0.9615,0.6829,0.7703
34,14,74,2,12,0.8627,0.9737,0.5385,0.9136,0.5385,0.9737,0.6667,0.8138
35,11,74,4,13,0.8333,0.9487,0.4583,0.897,0.4583,0.9487,0.5641,0.844
36,19,70,6,7,0.8725,0.9211,0.7308,0.915,0.7308,0.9211,0.7451,0.916
37,12,72,3,15,0.8235,0.96,0.4444,0.8889,0.4444,0.96,0.5714,0.8474
38,20,69,5,8,0.8725,0.9324,0.7143,0.9139,0.7143,0.9324,0.7547,0.8084
39,20,75,4,3,0.9314,0.9494,0.8696,0.9554,0.8696,0.9494,0.8511,0.9191
40,15,78,2,7,0.9118,0.975,0.6818,0.9455,0.6818,0.975,0.7692,0.8852
41,25,67,2,8,0.902,0.971,0.7576,0.9306,0.7576,0.971,0.8333,0.8937
42,17,72,4,9,0.8725,0.9474,0.6538,0.9172,0.6538,0.9474,0.7234,0.8462
43,24,66,2,10,0.8824,0.9706,0.7059,0.9167,0.7059,0.9706,0.8,0.8815
44,20,72,3,7,0.902,0.96,0.7407,0.9351,0.7407,0.96,0.8,0.9289
45,10,69,9,14,0.7745,0.8846,0.4167,0.8571,0.4167,0.8846,0.4651,0.8243
46,18,73,2,9,0.8922,0.9733,0.6667,0.9299,0.6667,0.9733,0.766,0.8657
47,16,72,2,12,0.8627,0.973,0.5714,0.9114,0.5714,0.973,0.6957,0.8542
48,16,69,7,10,0.8333,0.9079,0.6154,0.8903,0.6154,0.9079,0.6531,0.8806
49,13,73,3,13,0.8431,0.9605,0.5,0.9012,0.5,0.9605,0.619,0.8386
50,15,72,3,12,0.8529,0.96,0.5556,0.9057,0.5556,0.96,0.6667,0.8049
51,15,72,6,9,0.8529,0.9231,0.625,0.9057,0.625,0.9231,0.6667,0.8841
52,13,70,5,14,0.8137,0.9333,0.4815,0.8805,0.4815,0.9333,0.5778,0.763
53,11,76,1,14,0.8529,0.987,0.44,0.9102,0.44,0.987,0.5946,0.7751
54,16,76,4,6,0.902,0.95,0.7273,0.9383,0.7273,0.95,0.7619,0.8523
55,16,71,4,11,0.8529,0.9467,0.5926,0.9045,0.5926,0.9467,0.6809,0.9126
56,23,65,4,10,0.8627,0.942,0.697,0.9028,0.697,0.942,0.7667,0.8814
57,16,70,4,12,0.8431,0.9459,0.5714,0.8974,0.5714,0.9459,0.6667,0.8591
58,20,71,2,9,0.8922,0.9726,0.6897,0.9281,0.6897,0.9726,0.7843,0.9008
59,22,66,5,9,0.8627,0.9296,0.7097,0.9041,0.7097,0.9296,0.7586,0.89
60,14,75,1,12,0.8725,0.9868,0.5385,0.9202,0.5385,0.9868,0.6829,0.8502
61,23,66,3,10,0.8725,0.9565,0.697,0.9103,0.697,0.9565,0.7797,0.9117
62,13,78,0,11,0.8922,1.0,0.5417,0.9341,0.5417,1.0,0.7027,0.7714
63,21,70,1,10,0.8922,0.9859,0.6774,0.9272,0.6774,0.9859,0.7925,0.8841
64,8,81,5,8,0.8725,0.9419,0.5,0.9257,0.5,0.9419,0.5517,0.8975
65,20,73,1,8,0.9118,0.9865,0.7143,0.9419,0.7143,0.9865,0.8163,0.8982
66,13,75,5,9,0.8627,0.9375,0.5909,0.9146,0.5909,0.9375,0.65,0.9205
67,22,66,5,9,0.8627,0.9296,0.7097,0.9041,0.7097,0.9296,0.7586,0.9046
68,19,70,2,11,0.8725,0.9722,0.6333,0.915,0.6333,0.9722,0.7451,0.8338
69,18,70,4,10,0.8627,0.9459,0.6429,0.9091,0.6429,0.9459,0.72,0.8721
70,15,76,6,5,0.8922,0.9268,0.75,0.9325,0.75,0.9268,0.7317,0.8585
71,10,75,5,12,0.8333,0.9375,0.4545,0.8982,0.4545,0.9375,0.5405,0.8045
72,15,72,3,12,0.8529,0.96,0.5556,0.9057,0.5556,0.96,0.6667,0.838
73,18,71,4,9,0.8725,0.9467,0.6667,0.9161,0.6667,0.9467,0.7347,0.8138
74,14,70,3,15,0.8235,0.9589,0.4828,0.8861,0.4828,0.9589,0.6087,0.8446
75,17,72,4,9,0.8725,0.9474,0.6538,0.9172,0.6538,0.9474,0.7234,0.8537
76,16,71,9,6,0.8529,0.8875,0.7273,0.9045,0.7273,0.8875,0.6809,0.8352
77,19,65,5,13,0.8235,0.9286,0.5938,0.8784,0.5938,0.9286,0.6786,0.7804
78,12,71,12,7,0.8137,0.8554,0.6316,0.882,0.6316,0.8554,0.5581,0.8167
79,15,77,2,8,0.902,0.9747,0.6522,0.939,0.6522,0.9747,0.75,0.907
80,18,70,4,10,0.8627,0.9459,0.6429,0.9091,0.6429,0.9459,0.72,0.8682
81,20,70,4,8,0.8824,0.9459,0.7143,0.9211,0.7143,0.9459,0.7692,0.8171
82,15,70,7,10,0.8333,0.9091,0.6,0.8917,0.6,0.9091,0.6383,0.8187
83,17,74,4,7,0.8922,0.9487,0.7083,0.9308,0.7083,0.9487,0.7556,0.8868
84,22,65,3,12,0.8529,0.9559,0.6471,0.8966,0.6471,0.9559,0.7458,0.8694
85,18,69,4,11,0.8529,0.9452,0.6207,0.902,0.6207,0.9452,0.7059,0.8663
86,19,75,2,6,0.9216,0.974,0.76,0.9494,0.76,0.974,0.8261,0.9101
87,12,70,7,13,0.8039,0.9091,0.48,0.875,0.48,0.9091,0.5455,0.8166
88,18,72,5,7,0.8824,0.9351,0.72,0.9231,0.72,0.9351,0.75,0.8722
89,16,70,5,11,0.8431,0.9333,0.5926,0.8974,0.5926,0.9333,0.6667,0.9002
90,17,69,5,11,0.8431,0.9324,0.6071,0.8961,0.6071,0.9324,0.68,0.8045
91,25,68,3,6,0.9118,0.9577,0.8065,0.9379,0.8065,0.9577,0.8475,0.9091
92,13,73,7,9,0.8431,0.9125,0.5909,0.9012,0.5909,0.9125,0.619,0.7722
93,12,77,5,8,0.8725,0.939,0.6,0.9222,0.6,0.939,0.6486,0.878
94,17,73,4,8,0.8824,0.9481,0.68,0.9241,0.68,0.9481,0.7391,0.8504
95,17,70,3,12,0.8529,0.9589,0.5862,0.9032,0.5862,0.9589,0.6939,0.8592
96,16,67,7,12,0.8137,0.9054,0.5714,0.8758,0.5714,0.9054,0.6275,0.7732
97,15,78,0,9,0.9118,1.0,0.625,0.9455,0.625,1.0,0.7692,0.7858
98,19,68,5,10,0.8529,0.9315,0.6552,0.9007,0.6552,0.9315,0.717,0.7889
99,10,71,5,16,0.7941,0.9342,0.3846,0.8712,0.3846,0.9342,0.4878,0.8092
100,24,62,3,13,0.8431,0.9538,0.6486,0.8857,0.6486,0.9538,0.75,0.8865
101,20,66,3,13,0.8431,0.9565,0.6061,0.8919,0.6061,0.9565,0.7143,0.9047
102,16,65,9,12,0.7941,0.8784,0.5714,0.8609,0.5714,0.8784,0.6038,0.8069
103,14,66,5,17,0.7843,0.9296,0.4516,0.8571,0.4516,0.9296,0.56,0.7533
104,17,71,5,9,0.8627,0.9342,0.6538,0.9103,0.6538,0.9342,0.7083,0.9054
105,18,73,5,6,0.8922,0.9359,0.75,0.9299,0.75,0.9359,0.766,0.9599
106,17,72,4,9,0.8725,0.9474,0.6538,0.9172,0.6538,0.9474,0.7234,0.8446
107,15,79,1,7,0.9216,0.9875,0.6818,0.9518,0.6818,0.9875,0.7895,0.9386
108,15,75,4,8,0.8824,0.9494,0.6522,0.9259,0.6522,0.9494,0.7143,0.8663
109,20,67,4,11,0.8529,0.9437,0.6452,0.8993,0.6452,0.9437,0.7273,0.9296
110,17,69,5,11,0.8431,0.9324,0.6071,0.8961,0.6071,0.9324,0.68,0.8711
111,12,71,1,18,0.8137,0.9861,0.4,0.882,0.4,0.9861,0.5581,0.7769
112,21,67,2,12,0.8627,0.971,0.6364,0.9054,0.6364,0.971,0.75,0.8002
113,18,68,9,7,0.8431,0.8831,0.72,0.8947,0.72,0.8831,0.6923,0.9143
114,13,71,7,11,0.8235,0.9103,0.5417,0.8875,0.5417,0.9103,0.5909,0.8082
115,24,64,5,9,0.8627,0.9275,0.7273,0.9014,0.7273,0.9275,0.7742,0.9328
116,12,84,3,3,0.9412,0.9655,0.8,0.9655,0.8,0.9655,0.8,0.9379
117,20,72,3,7,0.902,0.96,0.7407,0.9351,0.7407,0.96,0.8,0.9072
118,14,76,4,8,0.8824,0.95,0.6364,0.9268,0.6364,0.95,0.7,0.8994
119,19,70,4,9,0.8725,0.9459,0.6786,0.915,0.6786,0.9459,0.7451,0.9155
120,19,70,3,10,0.8725,0.9589,0.6552,0.915,0.6552,0.9589,0.7451,0.8696
121,13,79,3,7,0.902,0.9634,0.65,0.9405,0.65,0.9634,0.7222,0.8945
122,15,80,2,5,0.9314,0.9756,0.75,0.9581,0.75,0.9756,0.8108,0.8732
123,19,68,3,12,0.8529,0.9577,0.6129,0.9007,0.6129,0.9577,0.717,0.7987
124,26,64,3,9,0.8824,0.9552,0.7429,0.9143,0.7429,0.9552,0.8125,0.9053
125,18,60,10,14,0.7647,0.8571,0.5625,0.8333,0.5625,0.8571,0.6,0.8272
126,23,64,3,12,0.8529,0.9552,0.6571,0.8951,0.6571,0.9552,0.7541,0.8708
127,19,64,4,15,0.8137,0.9412,0.5588,0.8707,0.5588,0.9412,0.6667,0.8183
128,11,77,1,13,0.8627,0.9872,0.4583,0.9167,0.4583,0.9872,0.6111,0.8221
129,18,70,3,11,0.8627,0.9589,0.6207,0.9091,0.6207,0.9589,0.72,0.8356
130,18,73,3,8,0.8922,0.9605,0.6923,0.9299,0.6923,0.9605,0.766,0.8477
131,15,73,6,8,0.8627,0.9241,0.6522,0.9125,0.6522,0.9241,0.6818,0.9362
132,21,70,3,8,0.8922,0.9589,0.7241,0.9272,0.7241,0.9589,0.7925,0.8814
