round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,18,66,10,8,0.8235,0.8684,0.6923,0.88,0.6923,0.8684,0.6667,0.8816
2,14,70,8,10,0.8235,0.8974,0.5833,0.8861,0.5833,0.8974,0.6087,0.7863
3,19,71,3,9,0.8824,0.9595,0.6786,0.9221,0.6786,0.9595,0.76,0.8769
4,19,72,4,7,0.8922,0.9474,0.7308,0.929,0.7308,0.9474,0.7755,0.8871
5,16,68,5,13,0.8235,0.9315,0.5517,0.8831,0.5517,0.9315,0.64,0.7298
6,18,72,2,10,0.8824,0.973,0.6429,0.9231,0.6429,0.973,0.75,0.8325
7,15,71,7,9,0.8431,0.9103,0.625,0.8987,0.625,0.9103,0.6522,0.8937
8,16,71,5,10,0.8529,0.9342,0.6154,0.9045,0.6154,0.9342,0.6809,0.7642
9,13,74,5,10,0.8529,0.9367,0.5652,0.908,0.5652,0.9367,0.6341,0.7287
10,19,69,3,11,0.8627,0.9583,0.6333,0.9079,0.6333,0.9583,0.7308,0.8296
11,18,72,1,11,0.8824,0.9863,0.6207,0.9231,0.6207,0.9863,0.75,0.8002
12,15,71,5,11,0.8431,0.9342,0.5769,0.8987,0.5769,0.9342,0.6522,0.8133
13,18,72,5,7,0.8824,0.9351,0.72,0.9231,0.72,0.9351,0.75,0.8369
14,21,65,8,8,0.8431,0.8904,0.7241,0.8904,0.7241,0.8904,0.7241,0.8229
15,16,76,6,4,0.902,0.9268,0.8,0.9383,0.8,0.9268,0.7619,0.8939
16,18,65,2,17,0.8137,0.9701,0.5143,0.8725,0.5143,0.9701,0.6545,0.8077
17,16,65,5,16,0.7941,0.9286,0.5,0.8609,0.5,0.9286,0.6038,0.7576
18,11,75,6,10,0.8431,0.9259,0.5238,0.9036,0.5238,0.9259,0.5789,0.7837
19,24,63,6,9,0.8529,0.913,0.7273,0.8936,0.7273,0.913,0.7619,0.888
20,19,64,7,12,0.8137,0.9014,0.6129,0.8707,0.6129,0.9014,0.6667,0.831
21,20,70,5,7,0.8824,0.9333,0.7407,0.9211,0.7407,0.9333,0.7692,0.8805
22,20,66,6,10,0.8431,0.9167,0.6667,0.8919,0.6667,0.9167,0.7143,0.8694
23,19,69,4,10,0.8627,0.9452,0.6552,0.9079,0.6552,0.9452,0.7308,0.8748
24,19,67,7,9,0.8431,0.9054,0.6786,0.8933,0.6786,0.9054,0.7037,0.8861
25,19,68,7,8,0.8529,0.9067,0.7037,0.9007,0.7037,0.9067,0.717,0.8499
26,25,69,4,4,0.9216,0.9452,0.8621,0.9452,0.8621,0.9452,0.8621,0.9485
27,18,65,6,13,0.8137,0.9155,0.5806,0.8725,0.5806,0.9155,0.6545,0.8101
28,20,61,9,12,0.7941,0.8714,0.625,0.8531,0.625,0.8714,0.6557,0.7478
29,26,60,5,11,0.8431,0.9231,0.7027,0.8824,0.7027,0.9231,0.7647,0.869
30,16,74,2,10,0.8824,0.9737,0.6154,0.925,0.6154,0.9737,0.7273,0.8077
31,16,72,7,7,0.8627,0.9114,0.6957,0.9114,0.6957,0.9114,0.6957,0.836
32,21,67,8,6,0.8627,0.8933,0.7778,0.9054,0.7778,0.8933,0.75,0.924
33,15,74,4,9,0.8725,0.9487,0.625,0.9193,0.625,0.9487,0.6977,0.758
34,15,71,5,11,0.8431,0.9342,0.5769,0.8987,0.5769,0.9342,0.6522,0.7834
35,13,71,7,11,0.8235,0.9103,0.5417,0.8875,0.5417,0.9103,0.5909,0.8248
36,20,70,6,6,0.8824,0.9211,0.7692,0.9211,0.7692,0.9211,0.7692,0.9079
37,15,70,5,12,0.8333,0.9333,0.5556,0.8917,0.5556,0.9333,0.6383,0.801
38,20,64,10,8,0.8235,0.8649,0.7143,0.8767,0.7143,0.8649,0.6897,0.791
39,20,73,6,3,0.9118,0.9241,0.8696,0.9419,0.8696,0.9241,0.8163,0.8932
40,15,77,3,7,0.902,0.9625,0.6818,0.939,0.6818,0.9625,0.75,0.846
