round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,18,65,11,8,0.8137,0.8553,0.6923,0.8725,0.6923,0.8553,0.6545,0.8887
2,14,69,9,10,0.8137,0.8846,0.5833,0.879,0.5833,0.8846,0.5957,0.8168
3,19,71,3,9,0.8824,0.9595,0.6786,0.9221,0.6786,0.9595,0.76,0.9025
4,19,70,6,7,0.8725,0.9211,0.7308,0.915,0.7308,0.9211,0.7451,0.8836
5,16,65,8,13,0.7941,0.8904,0.5517,0.8609,0.5517,0.8904,0.6038,0.7473
6,18,71,3,10,0.8725,0.9595,0.6429,0.9161,0.6429,0.9595,0.7347,0.8736
7,15,70,8,9,0.8333,0.8974,0.625,0.8917,0.625,0.8974,0.6383,0.898
8,16,69,7,10,0.8333,0.9079,0.6154,0.8903,0.6154,0.9079,0.6531,0.7713
9,13,71,8,10,0.8235,0.8987,0.5652,0.8875,0.5652,0.8987,0.5909,0.7727
10,19,66,6,11,0.8333,0.9167,0.6333,0.8859,0.6333,0.9167,0.6909,0.8278
11,18,67,6,11,0.8333,0.9178,0.6207,0.8874,0.6207,0.9178,0.6792,0.8248
12,15,68,8,11,0.8137,0.8947,0.5769,0.8774,0.5769,0.8947,0.6122,0.836
13,18,70,7,7,0.8627,0.9091,0.72,0.9091,0.72,0.9091,0.72,0.8364
14,21,63,10,8,0.8235,0.863,0.7241,0.875,0.7241,0.863,0.7,0.8455
15,16,72,10,4,0.8627,0.878,0.8,0.9114,0.8,0.878,0.6957,0.9
16,18,60,7,17,0.7647,0.8955,0.5143,0.8333,0.5143,0.8955,0.6,0.8392
17,16,64,6,16,0.7843,0.9143,0.5,0.8533,0.5,0.9143,0.5926,0.7741
18,11,75,6,10,0.8431,0.9259,0.5238,0.9036,0.5238,0.9259,0.5789,0.7854
19,24,61,8,9,0.8333,0.8841,0.7273,0.8777,0.7273,0.8841,0.7385,0.9043
20,19,64,7,12,0.8137,0.9014,0.6129,0.8707,0.6129,0.9014,0.6667,0.8428
21,20,67,8,7,0.8529,0.8933,0.7407,0.8993,0.7407,0.8933,0.7273,0.8746
22,20,63,9,10,0.8137,0.875,0.6667,0.869,0.6667,0.875,0.678,0.8843
23,19,66,7,10,0.8333,0.9041,0.6552,0.8859,0.6552,0.9041,0.6909,0.8885
24,19,63,11,9,0.8039,0.8514,0.6786,0.863,0.6786,0.8514,0.6552,0.8837
25,19,66,9,8,0.8333,0.88,0.7037,0.8859,0.7037,0.88,0.6909,0.8612
26,25,67,6,4,0.902,0.9178,0.8621,0.9306,0.8621,0.9178,0.8333,0.9669
27,18,63,8,13,0.7941,0.8873,0.5806,0.8571,0.5806,0.8873,0.6316,0.8155
28,20,60,10,12,0.7843,0.8571,0.625,0.8451,0.625,0.8571,0.6452,0.7924
29,26,59,6,11,0.8333,0.9077,0.7027,0.8741,0.7027,0.9077,0.7536,0.889
30,16,72,4,10,0.8627,0.9474,0.6154,0.9114,0.6154,0.9474,0.6957,0.8229
31,16,71,8,7,0.8529,0.8987,0.6957,0.9045,0.6957,0.8987,0.6809,0.8492
32,21,66,9,6,0.8529,0.88,0.7778,0.898,0.7778,0.88,0.7368,0.9294
33,15,70,8,9,0.8333,0.8974,0.625,0.8917,0.625,0.8974,0.6383,0.7698
34,15,68,8,11,0.8137,0.8947,0.5769,0.8774,0.5769,0.8947,0.6122,0.8036
35,13,70,8,11,0.8137,0.8974,0.5417,0.8805,0.5417,0.8974,0.5778,0.8237
36,20,68,8,6,0.8627,0.8947,0.7692,0.9067,0.7692,0.8947,0.7407,0.918
37,15,68,7,12,0.8137,0.9067,0.5556,0.8774,0.5556,0.9067,0.6122,0.8306
38,20,63,11,8,0.8137,0.8514,0.7143,0.869,0.7143,0.8514,0.678,0.8031
39,20,72,7,3,0.902,0.9114,0.8696,0.9351,0.8696,0.9114,0.8,0.9119
40,15,73,7,7,0.8627,0.9125,0.6818,0.9125,0.6818,0.9125,0.6818,0.8568
41,25,58,11,8,0.8137,0.8406,0.7576,0.8593,0.7576,0.8406,0.7246,0.8748
42,18,66,10,8,0.8235,0.8684,0.6923,0.88,0.6923,0.8684,0.6667,0.835
43,26,61,7,8,0.8529,0.8971,0.7647,0.8905,0.7647,0.8971,0.7761,0.8728
44,21,67,8,6,0.8627,0.8933,0.7778,0.9054,0.7778,0.8933,0.75,0.9427
45,13,65,13,11,0.7647,0.8333,0.5417,0.8442,0.5417,0.8333,0.52,0.8419
46,20,69,6,7,0.8725,0.92,0.7407,0.9139,0.7407,0.92,0.7547,0.8647
47,17,71,3,11,0.8627,0.9595,0.6071,0.9103,0.6071,0.9595,0.7083,0.8514
48,19,62,14,7,0.7941,0.8158,0.7308,0.8552,0.7308,0.8158,0.6441,0.8623
49,14,70,6,12,0.8235,0.9211,0.5385,0.8861,0.5385,0.9211,0.6087,0.835
