round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,12,43,1,12,0.8088,0.5,0.9773,0.6486,0.7628
2,4,51,2,11,0.8088,0.2667,0.9623,0.381,0.7849
3,9,47,1,11,0.8235,0.45,0.9792,0.6,0.751
4,10,45,4,9,0.8088,0.5263,0.9184,0.6061,0.8958
5,9,40,4,15,0.7206,0.375,0.9091,0.4865,0.8305
6,3,51,1,13,0.7941,0.1875,0.9808,0.3,0.8498
7,4,49,4,11,0.7794,0.2667,0.9245,0.3478,0.7642
8,3,48,3,14,0.75,0.1765,0.9412,0.2609,0.8754
9,11,44,2,11,0.8088,0.5,0.9565,0.6286,0.8192
10,4,45,4,15,0.7206,0.2105,0.9184,0.2963,0.652
11,9,45,4,10,0.7941,0.4737,0.9184,0.5625,0.7465
12,9,48,2,9,0.8382,0.5,0.96,0.6207,0.8711
13,8,51,1,8,0.8676,0.5,0.9808,0.64,0.8029
14,7,47,2,12,0.7941,0.3684,0.9592,0.5,0.7685
15,9,48,3,8,0.8382,0.5294,0.9412,0.6207,0.8997
16,10,43,4,11,0.7794,0.4762,0.9149,0.5714,0.7837
17,5,53,2,8,0.8529,0.3846,0.9636,0.5,0.7063
18,9,45,1,13,0.7941,0.4091,0.9783,0.5625,0.833
19,10,44,3,11,0.7941,0.4762,0.9362,0.5882,0.8804
20,6,51,2,9,0.8382,0.4,0.9623,0.5217,0.827
21,5,51,4,8,0.8235,0.3846,0.9273,0.4545,0.8266
22,9,46,3,10,0.8088,0.4737,0.9388,0.5806,0.8077
23,3,51,3,11,0.7941,0.2143,0.9444,0.3,0.6488
24,8,54,2,4,0.9118,0.6667,0.9643,0.7273,0.8929
25,7,54,1,6,0.8971,0.5385,0.9818,0.6667,0.779
26,5,50,4,9,0.8088,0.3571,0.9259,0.4348,0.8082
27,7,50,1,10,0.8382,0.4118,0.9804,0.56,0.7901
28,6,48,2,12,0.7941,0.3333,0.96,0.4615,0.7244
29,8,41,7,12,0.7206,0.4,0.8542,0.4571,0.7531
30,5,54,2,7,0.8676,0.4167,0.9643,0.5263,0.776
31,7,48,2,11,0.8088,0.3889,0.96,0.5185,0.8356
32,6,48,1,13,0.7941,0.3158,0.9796,0.4615,0.7368
33,6,49,1,12,0.8088,0.3333,0.98,0.48,0.9122
