round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11,TP_12,TN_12,FP_12,FN_12,Accuracy_12,Sensitivity_12,Specificity_12,F1_12,AUC_12,TP_13,TN_13,FP_13,FN_13,Accuracy_13,Sensitivity_13,Specificity_13,F1_13,AUC_13
1,28,23,19,4,0.6892,0.875,0.5476,0.7089,0.869,27,28,14,5,0.7432,0.8438,0.6667,0.7397,0.8289,26,34,8,6,0.8108,0.8125,0.8095,0.7879,0.8356,25,27,15,7,0.7027,0.7812,0.6429,0.6944,0.8624,26,29,13,6,0.7432,0.8125,0.6905,0.7324,0.849,28,32,10,4,0.8108,0.875,0.7619,0.8,0.872,26,27,15,6,0.7162,0.8125,0.6429,0.7123,0.7798,18,50,1,6,0.9067,0.75,0.9804,0.8372,0.9534,11,50,1,13,0.8133,0.4583,0.9804,0.6111,0.9559,8,51,0,16,0.7867,0.3333,1.0,0.5,0.8709,15,50,1,9,0.8667,0.625,0.9804,0.75,0.9395,12,48,3,12,0.8,0.5,0.9412,0.6154,0.9387,17,48,3,7,0.8667,0.7083,0.9412,0.7727,0.9355,8,50,1,16,0.7733,0.3333,0.9804,0.4848,0.8913
2,20,34,20,0,0.7297,1.0,0.6296,0.6667,0.9102,18,43,11,2,0.8243,0.9,0.7963,0.7347,0.8935,18,47,7,2,0.8784,0.9,0.8704,0.8,0.9667,16,39,15,4,0.7432,0.8,0.7222,0.6275,0.8833,16,40,14,4,0.7568,0.8,0.7407,0.64,0.8806,17,44,10,3,0.8243,0.85,0.8148,0.7234,0.912,16,41,13,4,0.7703,0.8,0.7593,0.6531,0.8417,15,50,3,7,0.8667,0.6818,0.9434,0.75,0.9314,10,50,3,12,0.8,0.4545,0.9434,0.5714,0.9357,7,51,2,15,0.7733,0.3182,0.9623,0.4516,0.7015,11,50,3,11,0.8133,0.5,0.9434,0.6111,0.9142,10,49,4,12,0.7867,0.4545,0.9245,0.5556,0.9091,14,49,4,8,0.84,0.6364,0.9245,0.7,0.8928,9,50,3,13,0.7867,0.4091,0.9434,0.5294,0.8928
3,26,28,18,2,0.7297,0.9286,0.6087,0.7222,0.8587,21,36,10,7,0.7703,0.75,0.7826,0.7119,0.7927,23,38,8,5,0.8243,0.8214,0.8261,0.7797,0.8509,17,34,12,11,0.6892,0.6071,0.7391,0.5965,0.8082,20,34,12,8,0.7297,0.7143,0.7391,0.6667,0.7686,21,35,11,7,0.7568,0.75,0.7609,0.7,0.8804,20,35,11,8,0.7432,0.7143,0.7609,0.678,0.7516,15,55,4,1,0.9333,0.9375,0.9322,0.8571,0.9682,11,56,3,5,0.8933,0.6875,0.9492,0.7333,0.9714,9,58,1,7,0.8933,0.5625,0.9831,0.6923,0.9364,11,55,4,5,0.88,0.6875,0.9322,0.7097,0.9661,11,55,4,5,0.88,0.6875,0.9322,0.7097,0.9672,14,56,3,2,0.9333,0.875,0.9492,0.8485,0.9597,11,55,4,5,0.88,0.6875,0.9322,0.7097,0.9576
4,19,41,11,3,0.8108,0.8636,0.7885,0.7308,0.9082,17,47,5,5,0.8649,0.7727,0.9038,0.7727,0.9082,19,48,4,3,0.9054,0.8636,0.9231,0.8444,0.8907,18,45,7,4,0.8514,0.8182,0.8654,0.766,0.9082,17,47,5,5,0.8649,0.7727,0.9038,0.7727,0.9047,18,48,4,4,0.8919,0.8182,0.9231,0.8182,0.882,17,46,6,5,0.8514,0.7727,0.8846,0.7556,0.903,15,51,8,1,0.88,0.9375,0.8644,0.7692,0.9248,11,50,9,5,0.8133,0.6875,0.8475,0.6111,0.9174,12,54,5,4,0.88,0.75,0.9153,0.7273,0.8633,12,50,9,4,0.8267,0.75,0.8475,0.6486,0.9163,12,50,9,4,0.8267,0.75,0.8475,0.6486,0.91,14,51,8,2,0.8667,0.875,0.8644,0.7368,0.9036,11,50,9,5,0.8133,0.6875,0.8475,0.6111,0.9025
5,22,35,11,6,0.7703,0.7857,0.7609,0.7213,0.8432,19,39,7,9,0.7838,0.6786,0.8478,0.7037,0.8292,22,43,3,6,0.8784,0.7857,0.9348,0.8302,0.8781,19,40,6,9,0.7973,0.6786,0.8696,0.717,0.83,19,38,8,9,0.7703,0.6786,0.8261,0.6909,0.8183,20,42,4,8,0.8378,0.7143,0.913,0.7692,0.8773,19,41,5,9,0.8108,0.6786,0.8913,0.7308,0.8106,16,52,3,4,0.9067,0.8,0.9455,0.8205,0.9109,12,51,4,8,0.84,0.6,0.9273,0.6667,0.9327,13,54,1,7,0.8933,0.65,0.9818,0.7647,0.8373,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.9182,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.89,16,51,4,4,0.8933,0.8,0.9273,0.8,0.9136,12,51,4,8,0.84,0.6,0.9273,0.6667,0.8709
6,21,35,13,5,0.7568,0.8077,0.7292,0.7,0.8574,14,41,7,12,0.7432,0.5385,0.8542,0.5957,0.7877,19,41,7,7,0.8108,0.7308,0.8542,0.7308,0.8333,13,39,9,13,0.7027,0.5,0.8125,0.5417,0.7812,14,40,8,12,0.7297,0.5385,0.8333,0.5833,0.7997,15,39,9,11,0.7297,0.5769,0.8125,0.6,0.7692,14,40,8,12,0.7297,0.5385,0.8333,0.5833,0.7909,15,49,8,3,0.8533,0.8333,0.8596,0.7317,0.8294,8,50,7,10,0.7733,0.4444,0.8772,0.4848,0.8489,7,54,3,11,0.8133,0.3889,0.9474,0.5,0.7632,9,49,8,9,0.7733,0.5,0.8596,0.5143,0.8236,8,49,8,10,0.76,0.4444,0.8596,0.4706,0.7924,15,50,7,3,0.8667,0.8333,0.8772,0.75,0.8333,7,49,8,11,0.7467,0.3889,0.8596,0.4242,0.7495
7,22,41,8,3,0.8514,0.88,0.8367,0.8,0.8939,17,41,8,8,0.7838,0.68,0.8367,0.68,0.8424,18,44,5,7,0.8378,0.72,0.898,0.75,0.9045,14,40,9,11,0.7297,0.56,0.8163,0.5833,0.8294,15,43,6,10,0.7838,0.6,0.8776,0.6522,0.8433,19,44,5,6,0.8514,0.76,0.898,0.7755,0.8808,15,43,6,10,0.7838,0.6,0.8776,0.6522,0.8131,20,45,9,1,0.8667,0.9524,0.8333,0.8,0.9683,18,48,6,3,0.88,0.8571,0.8889,0.8,0.9788,16,54,0,5,0.9333,0.7619,1.0,0.8649,0.9744,19,43,11,2,0.8267,0.9048,0.7963,0.7451,0.9594,18,43,11,3,0.8133,0.8571,0.7963,0.72,0.9621,20,50,4,1,0.9333,0.9524,0.9259,0.8889,0.9841,17,43,11,4,0.8,0.8095,0.7963,0.6939,0.9365
8,19,33,17,5,0.7027,0.7917,0.66,0.6333,0.8575,16,41,9,8,0.7703,0.6667,0.82,0.6531,0.8225,16,47,3,8,0.8514,0.6667,0.94,0.7442,0.7817,17,42,8,7,0.7973,0.7083,0.84,0.6939,0.8133,16,41,9,8,0.7703,0.6667,0.82,0.6531,0.8033,17,43,7,7,0.8108,0.7083,0.86,0.7083,0.815,16,42,8,8,0.7838,0.6667,0.84,0.6667,0.8125,23,46,5,1,0.92,0.9583,0.902,0.8846,0.9493,18,44,7,6,0.8267,0.75,0.8627,0.7347,0.9322,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.9257,21,44,7,3,0.8667,0.875,0.8627,0.8077,0.9346,17,44,7,7,0.8133,0.7083,0.8627,0.7083,0.9248,22,46,5,2,0.9067,0.9167,0.902,0.8627,0.9404,14,44,7,10,0.7733,0.5833,0.8627,0.6222,0.9175
9,30,32,9,3,0.8378,0.9091,0.7805,0.8333,0.9054,23,34,7,10,0.7703,0.697,0.8293,0.7302,0.8514,26,38,3,7,0.8649,0.7879,0.9268,0.8387,0.8655,24,35,6,9,0.7973,0.7273,0.8537,0.7619,0.8477,23,35,6,10,0.7838,0.697,0.8537,0.7419,0.864,26,38,3,7,0.8649,0.7879,0.9268,0.8387,0.8891,23,37,4,10,0.8108,0.697,0.9024,0.7667,0.8448,16,50,5,4,0.88,0.8,0.9091,0.7805,0.8864,13,52,3,7,0.8667,0.65,0.9455,0.7222,0.9218,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.8327,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.9045,12,49,6,8,0.8133,0.6,0.8909,0.6316,0.8864,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.8855,11,50,5,9,0.8133,0.55,0.9091,0.6111,0.8627
10,21,39,12,2,0.8108,0.913,0.7647,0.75,0.9062,19,41,10,4,0.8108,0.8261,0.8039,0.7308,0.867,16,47,4,7,0.8514,0.6957,0.9216,0.7442,0.7818,18,42,9,5,0.8108,0.7826,0.8235,0.72,0.8602,19,43,8,4,0.8378,0.8261,0.8431,0.76,0.8679,20,46,5,3,0.8919,0.8696,0.902,0.8333,0.8977,19,44,7,4,0.8514,0.8261,0.8627,0.7755,0.8636,17,52,4,2,0.92,0.8947,0.9286,0.85,0.937,13,53,3,6,0.88,0.6842,0.9464,0.7429,0.9417,11,56,0,8,0.8933,0.5789,1.0,0.7333,0.891,15,52,4,4,0.8933,0.7895,0.9286,0.7895,0.9267,12,51,5,7,0.84,0.6316,0.9107,0.6667,0.922,17,52,4,2,0.92,0.8947,0.9286,0.85,0.9408,10,52,4,9,0.8267,0.5263,0.9286,0.6061,0.9041
