Dataset,Side,Model,Overall Accuracy,Overall Mean ± SD,Class 0 Acc,Class 0 Precision,Class 0 Recall,Class 0 F1,Class 0 Mean ± SD,Class 1 Acc,Class 1 Precision,Class 1 Recall,Class 1 F1,Class 1 Mean ± SD,ROC AUC
Dataset_1,Left,MLP,0.7703,0.7691 ± 0.0508,0.7083,0.9189,0.7083,0.8,0.7980 ± 0.0486,0.8846,0.6216,0.8846,0.7302,0.7242 ± 0.0671,0.8702
Dataset_1,Left,MobileNet,0.7838,0.7831 ± 0.0474,0.8125,0.8478,0.8125,0.8298,0.8283 ± 0.0413,0.7308,0.6786,0.7308,0.7037,0.6970 ± 0.0748,0.8285
Dataset_1,Left,PointNet,0.8378,0.8372 ± 0.0427,0.875,0.875,0.875,0.875,0.8740 ± 0.0351,0.7692,0.7692,0.7692,0.7692,0.7631 ± 0.0692,0.8486
Dataset_1,Left,ResNet+AE,0.7568,0.7548 ± 0.0515,0.7917,0.8261,0.7917,0.8085,0.8061 ± 0.0451,0.6923,0.6429,0.6923,0.6667,0.6578 ± 0.0806,0.8261
Dataset_1,Left,ResNet,0.7703,0.7703 ± 0.0493,0.8125,0.8298,0.8125,0.8211,0.8202 ± 0.0425,0.6923,0.6667,0.6923,0.6792,0.6728 ± 0.0786,0.8213
Dataset_1,Left,SqueezeNet,0.8108,0.8119 ± 0.0458,0.8333,0.8696,0.8333,0.8511,0.8512 ± 0.0393,0.7692,0.7143,0.7692,0.7407,0.7370 ± 0.0703,0.8526
Dataset_1,Left,SVM,0.7703,0.7691 ± 0.0490,0.8125,0.8298,0.8125,0.8211,0.8192 ± 0.0423,0.6923,0.6667,0.6923,0.6792,0.6716 ± 0.0790,0.8117
Dataset_1,Right,MLP,0.8933,0.8904 ± 0.0377,0.9091,0.9434,0.9091,0.9259,0.9228 ± 0.0282,0.85,0.7727,0.85,0.8095,0.8033 ± 0.0701,0.9173
Dataset_1,Right,MobileNet,0.8267,0.8251 ± 0.0445,0.9091,0.8621,0.9091,0.885,0.8824 ± 0.0327,0.6,0.7059,0.6,0.6486,0.6447 ± 0.0946,0.9227
Dataset_1,Right,PointNet,0.8533,0.8512 ± 0.0421,0.9636,0.8548,0.9636,0.906,0.9035 ± 0.0295,0.55,0.8462,0.55,0.6667,0.6586 ± 0.1012,0.8427
Dataset_1,Right,ResNet+AE,0.84,0.8370 ± 0.0449,0.8909,0.8909,0.8909,0.8909,0.8875 ± 0.0334,0.7,0.7,0.7,0.7,0.6924 ± 0.0899,0.9073
Dataset_1,Right,ResNet,0.8133,0.8098 ± 0.0483,0.8727,0.8727,0.8727,0.8727,0.8688 ± 0.0363,0.65,0.65,0.65,0.65,0.6410 ± 0.0955,0.8982
Dataset_1,Right,SqueezeNet,0.88,0.8776 ± 0.0397,0.9091,0.9259,0.9091,0.9174,0.9146 ± 0.0295,0.8,0.7619,0.8,0.7805,0.7749 ± 0.0760,0.9036
Dataset_1,Right,SVM,0.8,0.7977 ± 0.0485,0.8909,0.8448,0.8909,0.8673,0.8641 ± 0.0359,0.55,0.6471,0.55,0.5946,0.5894 ± 0.1008,0.8718
