round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,26,31,13,4,0.7703,0.8667,0.7045,0.7536,0.8485
2,29,33,11,1,0.8378,0.9667,0.75,0.8286,0.9318
3,26,34,13,1,0.8108,0.963,0.7234,0.7879,0.907
4,20,37,15,2,0.7703,0.9091,0.7115,0.7018,0.8776
5,24,33,15,2,0.7703,0.9231,0.6875,0.7385,0.9111
6,26,34,10,4,0.8108,0.8667,0.7727,0.7879,0.8833
7,23,37,11,3,0.8108,0.8846,0.7708,0.7667,0.903
8,25,31,12,6,0.7568,0.8065,0.7209,0.7353,0.8342
9,25,36,11,2,0.8243,0.9259,0.766,0.7937,0.9031
10,23,33,15,3,0.7568,0.8846,0.6875,0.7188,0.8157
11,23,30,16,5,0.7162,0.8214,0.6522,0.6866,0.8354
12,19,40,11,4,0.7973,0.8261,0.7843,0.717,0.8508
13,16,41,17,0,0.7703,1.0,0.7069,0.6531,0.9709
14,22,28,19,5,0.6757,0.8148,0.5957,0.6471,0.8054
15,20,40,13,1,0.8108,0.9524,0.7547,0.7407,0.8976
16,25,34,11,4,0.7973,0.8621,0.7556,0.7692,0.872
17,23,36,10,5,0.7973,0.8214,0.7826,0.7541,0.8339
18,27,35,10,2,0.8378,0.931,0.7778,0.8182,0.9395
19,23,36,13,2,0.7973,0.92,0.7347,0.7541,0.9037
20,23,40,10,1,0.8514,0.9583,0.8,0.807,0.9242
21,22,35,12,5,0.7703,0.8148,0.7447,0.7213,0.8637
22,22,36,11,5,0.7838,0.8148,0.766,0.7333,0.8385
23,16,40,13,5,0.7568,0.7619,0.7547,0.64,0.8086
24,23,34,13,4,0.7703,0.8519,0.7234,0.7302,0.8534
25,27,30,13,4,0.7703,0.871,0.6977,0.7606,0.862
26,25,33,14,2,0.7838,0.9259,0.7021,0.7576,0.9236
27,18,35,15,6,0.7162,0.75,0.7,0.6316,0.7167
28,20,35,16,3,0.7432,0.8696,0.6863,0.678,0.8602
29,16,41,14,3,0.7703,0.8421,0.7455,0.6531,0.8833
30,23,37,13,1,0.8108,0.9583,0.74,0.7667,0.9158
31,25,32,15,2,0.7703,0.9259,0.6809,0.7463,0.8684
32,25,34,13,2,0.7973,0.9259,0.7234,0.7692,0.9007
33,26,32,12,4,0.7838,0.8667,0.7273,0.7647,0.8947
34,18,38,15,3,0.7568,0.8571,0.717,0.6667,0.8473
35,25,32,12,5,0.7703,0.8333,0.7273,0.7463,0.8227
36,20,34,16,4,0.7297,0.8333,0.68,0.6667,0.8058
37,15,40,16,3,0.7432,0.8333,0.7143,0.6122,0.8373
38,18,40,13,3,0.7838,0.8571,0.7547,0.6923,0.8518
39,18,34,19,3,0.7027,0.8571,0.6415,0.6207,0.7934
40,24,35,12,3,0.7973,0.8889,0.7447,0.7619,0.8991
41,24,28,17,5,0.7027,0.8276,0.6222,0.6857,0.8038
42,25,33,13,3,0.7838,0.8929,0.7174,0.7576,0.861
43,18,41,13,2,0.7973,0.9,0.7593,0.7059,0.875
44,20,36,15,3,0.7568,0.8696,0.7059,0.6897,0.8917
45,30,28,11,5,0.7838,0.8571,0.7179,0.7895,0.8322
46,21,38,13,2,0.7973,0.913,0.7451,0.7368,0.8917
47,18,41,14,1,0.7973,0.9474,0.7455,0.7059,0.934
48,22,30,17,5,0.7027,0.8148,0.6383,0.6667,0.8117
49,26,40,8,0,0.8919,1.0,0.8333,0.8667,0.9655
50,27,32,13,2,0.7973,0.931,0.7111,0.7826,0.8973
51,24,35,13,2,0.7973,0.9231,0.7292,0.7619,0.879
52,20,38,14,2,0.7838,0.9091,0.7308,0.7143,0.8951
53,18,37,15,4,0.7432,0.8182,0.7115,0.6545,0.8462
54,21,34,16,3,0.7432,0.875,0.68,0.6885,0.83
55,18,34,19,3,0.7027,0.8571,0.6415,0.6207,0.8428
56,27,30,14,3,0.7703,0.9,0.6818,0.7606,0.897
57,15,49,9,1,0.8649,0.9375,0.8448,0.75,0.9332
58,22,38,13,1,0.8108,0.9565,0.7451,0.7586,0.9386
59,23,33,13,5,0.7568,0.8214,0.7174,0.7187,0.8618
60,18,38,16,2,0.7568,0.9,0.7037,0.6667,0.8435
61,29,33,10,2,0.8378,0.9355,0.7674,0.8286,0.9227
62,23,38,12,1,0.8243,0.9583,0.76,0.7797,0.9242
63,20,31,21,2,0.6892,0.9091,0.5962,0.6349,0.8794
64,27,33,11,3,0.8108,0.9,0.75,0.7941,0.8977
65,23,27,23,1,0.6757,0.9583,0.54,0.6571,0.91
66,15,38,15,6,0.7162,0.7143,0.717,0.5882,0.8032
67,24,32,15,3,0.7568,0.8889,0.6809,0.7273,0.8905
68,36,32,6,0,0.9189,1.0,0.8421,0.9231,0.9613
69,25,33,16,0,0.7838,1.0,0.6735,0.7576,0.889
70,15,42,15,2,0.7703,0.8824,0.7368,0.6383,0.9112
71,28,34,8,4,0.8378,0.875,0.8095,0.8235,0.8787
72,22,35,13,4,0.7703,0.8462,0.7292,0.7213,0.8494
73,32,26,12,4,0.7838,0.8889,0.6842,0.8,0.8684
74,17,41,14,2,0.7838,0.8947,0.7455,0.68,0.8392
75,19,36,14,5,0.7432,0.7917,0.72,0.6667,0.8033
76,20,41,11,2,0.8243,0.9091,0.7885,0.7547,0.8872
77,24,35,12,3,0.7973,0.8889,0.7447,0.7619,0.8826
78,23,36,12,3,0.7973,0.8846,0.75,0.7541,0.8494
79,19,34,17,4,0.7162,0.8261,0.6667,0.6441,0.8303
80,24,34,14,2,0.7838,0.9231,0.7083,0.75,0.855
81,17,36,16,5,0.7162,0.7727,0.6923,0.6182,0.833
82,23,38,12,1,0.8243,0.9583,0.76,0.7797,0.9275
83,19,37,12,6,0.7568,0.76,0.7551,0.6786,0.8122
84,25,34,12,3,0.7973,0.8929,0.7391,0.7692,0.9169
85,20,39,13,2,0.7973,0.9091,0.75,0.7273,0.8864
86,28,25,18,3,0.7162,0.9032,0.5814,0.7273,0.8335
87,23,34,14,3,0.7703,0.8846,0.7083,0.7302,0.8734
88,17,34,21,2,0.6892,0.8947,0.6182,0.5965,0.8785
89,25,29,17,3,0.7297,0.8929,0.6304,0.7143,0.8564
90,29,25,11,9,0.7297,0.7632,0.6944,0.7436,0.7471
91,17,37,19,1,0.7297,0.9444,0.6607,0.6296,0.9167
92,18,29,25,2,0.6351,0.9,0.537,0.5714,0.8204
93,22,36,13,3,0.7838,0.88,0.7347,0.7333,0.8955
94,16,42,12,4,0.7838,0.8,0.7778,0.6667,0.8139
95,18,42,13,1,0.8108,0.9474,0.7636,0.72,0.911
96,39,25,4,6,0.8649,0.8667,0.8621,0.8864,0.9119
97,26,31,16,1,0.7703,0.963,0.6596,0.7536,0.911
98,29,28,13,4,0.7703,0.8788,0.6829,0.7733,0.8448
99,17,32,23,2,0.6622,0.8947,0.5818,0.5763,0.844
100,27,27,16,4,0.7297,0.871,0.6279,0.7297,0.8597
101,17,39,17,1,0.7568,0.9444,0.6964,0.6538,0.8849
102,22,37,11,4,0.7973,0.8462,0.7708,0.7458,0.879
103,20,38,12,4,0.7838,0.8333,0.76,0.7143,0.86
