round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,16,44,7,7,0.8108,0.6957,0.8627,0.6957,0.8508
2,18,35,10,11,0.7162,0.6207,0.7778,0.6316,0.7946
3,18,39,9,8,0.7703,0.6923,0.8125,0.6792,0.8694
4,23,37,9,5,0.8108,0.8214,0.8043,0.7667,0.8727
5,14,37,10,13,0.6892,0.5185,0.7872,0.549,0.7825
6,24,31,11,8,0.7432,0.75,0.7381,0.7164,0.8274
7,18,42,8,6,0.8108,0.75,0.84,0.72,0.8792
8,25,32,8,9,0.7703,0.7353,0.8,0.7463,0.8154
9,25,34,6,9,0.7973,0.7353,0.85,0.7692,0.8787
10,15,42,9,8,0.7703,0.6522,0.8235,0.6383,0.8483
11,20,42,10,2,0.8378,0.9091,0.8077,0.7692,0.9589
12,18,37,12,7,0.7432,0.72,0.7551,0.6545,0.7984
13,12,46,8,8,0.7838,0.6,0.8519,0.6,0.7981
14,21,36,11,6,0.7703,0.7778,0.766,0.7119,0.8495
15,12,44,13,5,0.7568,0.7059,0.7719,0.5714,0.8824
16,18,35,13,8,0.7162,0.6923,0.7292,0.6316,0.8229
17,19,32,14,9,0.6892,0.6786,0.6957,0.623,0.7974
18,17,39,11,7,0.7568,0.7083,0.78,0.6538,0.8208
19,19,39,8,8,0.7838,0.7037,0.8298,0.7037,0.8345
20,13,42,12,7,0.7432,0.65,0.7778,0.5778,0.8037
21,11,43,12,8,0.7297,0.5789,0.7818,0.5238,0.7656
22,15,35,10,14,0.6757,0.5172,0.7778,0.5556,0.7579
23,15,38,12,9,0.7162,0.625,0.76,0.5882,0.8058
24,14,46,7,7,0.8108,0.6667,0.8679,0.6667,0.8149
25,16,39,12,7,0.7432,0.6957,0.7647,0.6275,0.8602
26,14,42,10,8,0.7568,0.6364,0.8077,0.6087,0.8243
27,21,31,15,7,0.7027,0.75,0.6739,0.6562,0.8222
28,21,33,12,8,0.7297,0.7241,0.7333,0.6774,0.8475
29,16,36,14,8,0.7027,0.6667,0.72,0.5926,0.8233
30,19,37,12,6,0.7568,0.76,0.7551,0.6786,0.898
31,15,37,12,10,0.7027,0.6,0.7551,0.5769,0.7461
32,22,41,6,5,0.8514,0.8148,0.8723,0.8,0.8952
33,21,31,13,9,0.7027,0.7,0.7045,0.6562,0.7712
34,17,35,10,12,0.7027,0.5862,0.7778,0.6071,0.787
35,14,40,8,12,0.7297,0.5385,0.8333,0.5833,0.7372
36,18,41,10,5,0.7973,0.7826,0.8039,0.7059,0.8346
37,25,27,16,6,0.7027,0.8065,0.6279,0.6944,0.841
38,20,35,9,10,0.7432,0.6667,0.7955,0.678,0.8242
39,20,36,12,6,0.7568,0.7692,0.75,0.6897,0.8598
40,16,43,6,9,0.7973,0.64,0.8776,0.6809,0.8776
41,15,44,8,7,0.7973,0.6818,0.8462,0.6667,0.8243
42,20,40,7,7,0.8108,0.7407,0.8511,0.7407,0.8794
43,15,36,10,13,0.6892,0.5357,0.7826,0.566,0.7469
44,17,43,7,7,0.8108,0.7083,0.86,0.7083,0.8733
45,30,29,11,4,0.7973,0.8824,0.725,0.8,0.9162
46,14,43,8,9,0.7703,0.6087,0.8431,0.6222,0.7937
47,23,39,7,5,0.8378,0.8214,0.8478,0.7931,0.9045
48,15,38,12,9,0.7162,0.625,0.76,0.5882,0.8008
49,10,49,10,5,0.7973,0.6667,0.8305,0.5714,0.8791
50,13,36,14,11,0.6622,0.5417,0.72,0.5098,0.7617
51,14,35,12,13,0.6622,0.5185,0.7447,0.5283,0.7754
52,16,41,8,9,0.7703,0.64,0.8367,0.6531,0.76
53,23,41,5,5,0.8649,0.8214,0.8913,0.8214,0.8882
54,24,36,7,7,0.8108,0.7742,0.8372,0.7742,0.8785
55,18,43,7,6,0.8243,0.75,0.86,0.7347,0.8525
56,17,34,15,8,0.6892,0.68,0.6939,0.5965,0.7894
57,18,38,5,13,0.7568,0.5806,0.8837,0.6667,0.8567
58,16,38,9,11,0.7297,0.5926,0.8085,0.6154,0.8526
59,17,42,7,8,0.7973,0.68,0.8571,0.6939,0.8082
60,18,39,13,4,0.7703,0.8182,0.75,0.6792,0.8409
61,19,36,10,9,0.7432,0.6786,0.7826,0.6667,0.8548
62,17,36,13,8,0.7162,0.68,0.7347,0.6182,0.8139
63,16,35,15,8,0.6892,0.6667,0.7,0.5818,0.7367
64,19,36,12,7,0.7432,0.7308,0.75,0.6667,0.8421
65,22,32,8,12,0.7297,0.6471,0.8,0.6875,0.8176
66,14,41,8,11,0.7432,0.56,0.8367,0.5957,0.8155
67,16,40,10,8,0.7568,0.6667,0.8,0.64,0.7958
68,21,41,7,5,0.8378,0.8077,0.8542,0.7778,0.8886
69,21,33,11,9,0.7297,0.7,0.75,0.6774,0.8424
70,21,32,11,10,0.7162,0.6774,0.7442,0.6667,0.802
71,20,33,13,8,0.7162,0.7143,0.7174,0.6557,0.8385
72,16,38,13,7,0.7297,0.6957,0.7451,0.6154,0.8116
73,25,40,5,4,0.8784,0.8621,0.8889,0.8475,0.9425
74,13,41,14,6,0.7297,0.6842,0.7455,0.5652,0.823
75,17,42,8,7,0.7973,0.7083,0.84,0.6939,0.7925
76,22,33,13,6,0.7432,0.7857,0.7174,0.6984,0.8929
77,16,37,13,8,0.7162,0.6667,0.74,0.6038,0.7783
78,19,31,17,7,0.6757,0.7308,0.6458,0.6129,0.7644
79,18,38,11,7,0.7568,0.72,0.7755,0.6667,0.8637
80,15,39,10,10,0.7297,0.6,0.7959,0.6,0.7837
81,17,41,9,7,0.7838,0.7083,0.82,0.68,0.8458
82,12,44,9,9,0.7568,0.5714,0.8302,0.5714,0.7727
83,18,39,8,9,0.7703,0.6667,0.8298,0.6792,0.8463
84,20,40,8,6,0.8108,0.7692,0.8333,0.7407,0.9079
85,15,36,15,8,0.6892,0.6522,0.7059,0.566,0.8295
86,16,45,6,7,0.8243,0.6957,0.8824,0.7111,0.8824
87,16,39,13,6,0.7432,0.7273,0.75,0.6275,0.8566
88,17,40,12,5,0.7703,0.7727,0.7692,0.6667,0.8016
89,23,34,7,10,0.7703,0.697,0.8293,0.7302,0.8101
90,23,34,8,9,0.7703,0.7188,0.8095,0.7302,0.8438
91,27,27,8,12,0.7297,0.6923,0.7714,0.7297,0.8007
92,15,41,10,8,0.7568,0.6522,0.8039,0.625,0.7962
93,20,39,6,9,0.7973,0.6897,0.8667,0.7273,0.872
94,18,39,10,7,0.7703,0.72,0.7959,0.6792,0.8327
95,17,41,10,6,0.7838,0.7391,0.8039,0.68,0.8465
96,14,43,10,7,0.7703,0.6667,0.8113,0.6222,0.8329
97,13,42,9,10,0.7432,0.5652,0.8235,0.5778,0.7954
98,17,43,7,7,0.8108,0.7083,0.86,0.7083,0.8642
99,21,32,11,10,0.7162,0.6774,0.7442,0.6667,0.7764
100,25,33,11,5,0.7838,0.8333,0.75,0.7576,0.872
101,18,40,10,6,0.7838,0.75,0.8,0.6923,0.8508
102,21,46,4,3,0.9054,0.875,0.92,0.8571,0.93
103,20,34,14,6,0.7297,0.7692,0.7083,0.6667,0.8269
104,16,44,9,5,0.8108,0.7619,0.8302,0.6957,0.8787
105,19,34,10,11,0.7162,0.6333,0.7727,0.6441,0.8083
106,18,40,8,8,0.7838,0.6923,0.8333,0.6923,0.8437
107,11,39,11,13,0.6757,0.4583,0.78,0.4783,0.7492
108,18,39,9,8,0.7703,0.6923,0.8125,0.6792,0.8734
109,20,34,14,6,0.7297,0.7692,0.7083,0.6667,0.8782
110,14,37,17,6,0.6892,0.7,0.6852,0.549,0.7528
111,21,38,10,5,0.7973,0.8077,0.7917,0.7368,0.899
112,16,40,8,10,0.7568,0.6154,0.8333,0.64,0.8429
113,25,36,7,6,0.8243,0.8065,0.8372,0.7937,0.8425
114,16,42,9,7,0.7838,0.6957,0.8235,0.6667,0.7715
115,19,35,15,5,0.7297,0.7917,0.7,0.6552,0.8483
116,14,40,13,7,0.7297,0.6667,0.7547,0.5833,0.7727
117,13,40,14,7,0.7162,0.65,0.7407,0.5532,0.8019
118,20,40,9,5,0.8108,0.8,0.8163,0.7407,0.8514
119,13,44,11,6,0.7703,0.6842,0.8,0.6047,0.8392
120,18,47,6,3,0.8784,0.8571,0.8868,0.8,0.938
121,21,34,14,5,0.7432,0.8077,0.7083,0.6885,0.8966
122,22,31,12,9,0.7162,0.7097,0.7209,0.6769,0.7809
123,21,35,10,8,0.7568,0.7241,0.7778,0.7,0.8406
124,19,38,11,6,0.7703,0.76,0.7755,0.6909,0.8833
125,18,31,12,13,0.6622,0.5806,0.7209,0.5902,0.7742
126,14,41,12,7,0.7432,0.6667,0.7736,0.5957,0.8185
127,15,41,13,5,0.7568,0.75,0.7593,0.625,0.85
128,13,39,13,9,0.7027,0.5909,0.75,0.5417,0.7806
129,18,41,8,7,0.7973,0.72,0.8367,0.7059,0.8906
130,21,39,5,9,0.8108,0.7,0.8864,0.75,0.8818
131,19,32,8,15,0.6892,0.5588,0.8,0.623,0.7559
132,16,41,5,12,0.7703,0.5714,0.8913,0.6531,0.8183
133,20,36,11,7,0.7568,0.7407,0.766,0.6897,0.8337
134,24,36,9,5,0.8108,0.8276,0.8,0.7742,0.8851
135,21,41,8,4,0.8378,0.84,0.8367,0.7778,0.9314
136,19,40,9,6,0.7973,0.76,0.8163,0.717,0.8784
137,23,32,8,11,0.7432,0.6765,0.8,0.7077,0.7919
138,16,38,15,5,0.7297,0.7619,0.717,0.6154,0.8527
139,20,38,9,7,0.7838,0.7407,0.8085,0.7143,0.8298
140,23,41,4,6,0.8649,0.7931,0.9111,0.8214,0.892
141,18,37,12,7,0.7432,0.72,0.7551,0.6545,0.8229
142,17,35,11,11,0.7027,0.6071,0.7609,0.6071,0.7865
143,15,39,12,8,0.7297,0.6522,0.7647,0.6,0.809
144,15,38,15,6,0.7162,0.7143,0.717,0.5882,0.7736
145,17,36,10,11,0.7162,0.6071,0.7826,0.6182,0.7748
146,17,47,8,2,0.8649,0.8947,0.8545,0.7727,0.9177
147,23,34,9,8,0.7703,0.7419,0.7907,0.7302,0.8335
148,22,33,9,10,0.7432,0.6875,0.7857,0.6984,0.8333
149,16,38,11,9,0.7297,0.64,0.7755,0.6154,0.8424
150,11,39,15,9,0.6757,0.55,0.7222,0.4783,0.6972
151,17,37,12,8,0.7297,0.68,0.7551,0.6296,0.7837
152,18,39,12,5,0.7703,0.7826,0.7647,0.6792,0.8636
153,16,43,8,7,0.7973,0.6957,0.8431,0.6809,0.8704
154,22,32,10,10,0.7297,0.6875,0.7619,0.6875,0.8251
155,21,39,9,5,0.8108,0.8077,0.8125,0.75,0.895
156,21,35,7,11,0.7568,0.6562,0.8333,0.7,0.8095
157,18,37,10,9,0.7432,0.6667,0.7872,0.6545,0.8266
158,14,44,10,6,0.7838,0.7,0.8148,0.6364,0.8037
159,14,44,6,10,0.7838,0.5833,0.88,0.6364,0.8083
160,18,39,8,9,0.7703,0.6667,0.8298,0.6792,0.8416
161,18,43,7,6,0.8243,0.75,0.86,0.7347,0.8825
162,13,43,7,11,0.7568,0.5417,0.86,0.5909,0.7783
163,14,43,12,5,0.7703,0.7368,0.7818,0.6222,0.845
164,14,34,12,14,0.6486,0.5,0.7391,0.5185,0.7081
165,20,40,5,9,0.8108,0.6897,0.8889,0.7407,0.8881
166,16,42,7,9,0.7838,0.64,0.8571,0.6667,0.8163
167,14,46,12,2,0.8108,0.875,0.7931,0.6667,0.944
168,16,38,10,10,0.7297,0.6154,0.7917,0.6154,0.8213
169,17,42,11,4,0.7973,0.8095,0.7925,0.6939,0.903
170,24,41,6,3,0.8784,0.8889,0.8723,0.8421,0.9622
171,19,37,10,8,0.7568,0.7037,0.7872,0.6786,0.9046
172,16,36,12,10,0.7027,0.6154,0.75,0.5926,0.7877
173,19,40,8,7,0.7973,0.7308,0.8333,0.717,0.8269
174,19,41,9,5,0.8108,0.7917,0.82,0.7308,0.8858
175,18,39,6,11,0.7703,0.6207,0.8667,0.6792,0.7916
176,21,33,9,11,0.7297,0.6562,0.7857,0.6774,0.8274
177,20,43,5,6,0.8514,0.7692,0.8958,0.7843,0.9079
178,17,37,14,6,0.7297,0.7391,0.7255,0.6296,0.8397
179,23,37,9,5,0.8108,0.8214,0.8043,0.7667,0.8478
180,15,41,8,10,0.7568,0.6,0.8367,0.625,0.76
181,14,34,13,13,0.6486,0.5185,0.7234,0.5185,0.721
182,15,34,16,9,0.6622,0.625,0.68,0.5455,0.7408
183,20,40,7,7,0.8108,0.7407,0.8511,0.7407,0.892
184,25,34,10,5,0.7973,0.8333,0.7727,0.7692,0.9
