round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,16,45,7,6,0.8243,0.7273,0.8654,0.7111,0.8365
2,30,30,8,6,0.8108,0.8333,0.7895,0.8108,0.8458
3,17,40,12,5,0.7703,0.7727,0.7692,0.6667,0.8278
4,19,40,7,8,0.7973,0.7037,0.8511,0.717,0.7935
5,27,34,9,4,0.8243,0.871,0.7907,0.806,0.8462
6,23,37,10,4,0.8108,0.8519,0.7872,0.7667,0.8818
7,19,45,7,3,0.8649,0.8636,0.8654,0.7917,0.8864
8,17,46,6,5,0.8514,0.7727,0.8846,0.7556,0.8339
9,19,39,7,9,0.7838,0.6786,0.8478,0.7037,0.7438
10,13,45,8,8,0.7838,0.619,0.8491,0.619,0.7736
11,12,44,12,6,0.7568,0.6667,0.7857,0.5714,0.8036
12,20,36,11,7,0.7568,0.7407,0.766,0.6897,0.8227
13,17,45,9,3,0.8378,0.85,0.8333,0.7391,0.9167
14,24,42,7,1,0.8919,0.96,0.8571,0.8571,0.9714
15,27,30,6,11,0.7703,0.7105,0.8333,0.7606,0.8136
16,22,41,7,4,0.8514,0.8462,0.8542,0.8,0.9095
17,24,37,9,4,0.8243,0.8571,0.8043,0.7869,0.868
18,18,45,5,6,0.8514,0.75,0.9,0.766,0.8575
19,19,38,9,8,0.7703,0.7037,0.8085,0.6909,0.7857
20,22,37,10,5,0.7973,0.8148,0.7872,0.7458,0.8416
21,18,38,9,9,0.7568,0.6667,0.8085,0.6667,0.7707
22,15,45,7,7,0.8108,0.6818,0.8654,0.6818,0.889
23,16,39,10,9,0.7432,0.64,0.7959,0.6275,0.76
24,17,43,8,6,0.8108,0.7391,0.8431,0.7083,0.7724
25,13,41,11,9,0.7297,0.5909,0.7885,0.5652,0.75
26,18,44,11,1,0.8378,0.9474,0.8,0.75,0.9455
27,21,39,6,8,0.8108,0.7241,0.8667,0.75,0.8307
28,22,37,8,7,0.7973,0.7586,0.8222,0.7458,0.849
29,14,49,6,5,0.8514,0.7368,0.8909,0.7179,0.9234
30,15,47,9,3,0.8378,0.8333,0.8393,0.7143,0.9087
31,21,36,9,8,0.7703,0.7241,0.8,0.7119,0.8176
32,21,42,6,5,0.8514,0.8077,0.875,0.7925,0.9095
33,14,47,7,6,0.8243,0.7,0.8704,0.6829,0.8157
34,19,41,10,4,0.8108,0.8261,0.8039,0.7308,0.89
35,18,40,9,7,0.7838,0.72,0.8163,0.6923,0.8531
36,22,40,5,7,0.8378,0.7586,0.8889,0.7857,0.8828
37,23,41,8,2,0.8649,0.92,0.8367,0.8214,0.9078
38,21,41,10,2,0.8378,0.913,0.8039,0.7778,0.8951
39,23,35,8,8,0.7838,0.7419,0.814,0.7419,0.7877
40,23,40,8,3,0.8514,0.8846,0.8333,0.807,0.895
41,20,35,10,9,0.7432,0.6897,0.7778,0.678,0.8138
42,21,40,5,8,0.8243,0.7241,0.8889,0.7636,0.8015
43,24,35,6,9,0.7973,0.7273,0.8537,0.7619,0.8699
44,28,35,8,3,0.8514,0.9032,0.814,0.8358,0.931
45,23,36,7,8,0.7973,0.7419,0.8372,0.7541,0.8357
46,25,40,4,5,0.8784,0.8333,0.9091,0.8475,0.9167
47,20,40,8,6,0.8108,0.7692,0.8333,0.7407,0.8702
48,28,35,7,4,0.8514,0.875,0.8333,0.8358,0.9048
49,18,39,8,9,0.7703,0.6667,0.8298,0.6792,0.8282
50,16,37,13,8,0.7162,0.6667,0.74,0.6038,0.7675
51,22,42,6,4,0.8649,0.8462,0.875,0.8148,0.9279
52,28,36,4,6,0.8649,0.8235,0.9,0.8485,0.8787
53,27,31,7,9,0.7838,0.75,0.8158,0.7714,0.7924
54,19,40,6,9,0.7973,0.6786,0.8696,0.717,0.764
55,24,34,10,6,0.7838,0.8,0.7727,0.75,0.8689
56,23,42,6,3,0.8784,0.8846,0.875,0.8364,0.9215
57,16,40,10,8,0.7568,0.6667,0.8,0.64,0.7258
58,19,39,7,9,0.7838,0.6786,0.8478,0.7037,0.7624
59,17,40,11,6,0.7703,0.7391,0.7843,0.6667,0.8235
60,24,35,8,7,0.7973,0.7742,0.814,0.7619,0.8642
61,22,40,8,4,0.8378,0.8462,0.8333,0.7857,0.9351
62,18,42,9,5,0.8108,0.7826,0.8235,0.72,0.8781
63,15,49,4,6,0.8649,0.7143,0.9245,0.75,0.8392
64,9,51,10,4,0.8108,0.6923,0.8361,0.5625,0.8701
65,22,39,9,4,0.8243,0.8462,0.8125,0.7719,0.9191
66,24,34,11,5,0.7838,0.8276,0.7556,0.75,0.8697
67,14,46,11,3,0.8108,0.8235,0.807,0.6667,0.8442
68,20,42,7,5,0.8378,0.8,0.8571,0.7692,0.8433
69,26,42,5,1,0.9189,0.963,0.8936,0.8966,0.9582
70,16,48,4,6,0.8649,0.7273,0.9231,0.7619,0.8418
71,17,47,4,6,0.8649,0.7391,0.9216,0.7727,0.8645
72,21,39,7,7,0.8108,0.75,0.8478,0.75,0.8758
73,14,52,3,5,0.8919,0.7368,0.9455,0.7778,0.9005
74,18,39,11,6,0.7703,0.75,0.78,0.6792,0.8258
75,13,43,8,10,0.7568,0.5652,0.8431,0.5909,0.7937
76,18,37,7,12,0.7432,0.6,0.8409,0.6545,0.8008
77,17,42,8,7,0.7973,0.7083,0.84,0.6939,0.84
78,22,44,4,4,0.8919,0.8462,0.9167,0.8462,0.9087
79,16,42,6,10,0.7838,0.6154,0.875,0.6667,0.8558
80,22,35,6,11,0.7703,0.6667,0.8537,0.7213,0.7864
81,22,40,7,5,0.8378,0.8148,0.8511,0.7857,0.8936
82,28,32,6,8,0.8108,0.7778,0.8421,0.8,0.8428
83,18,44,8,4,0.8378,0.8182,0.8462,0.75,0.8715
84,14,44,11,5,0.7838,0.7368,0.8,0.6364,0.8584
85,21,39,8,6,0.8108,0.7778,0.8298,0.75,0.8755
86,18,42,7,7,0.8108,0.72,0.8571,0.72,0.8057
87,26,33,11,4,0.7973,0.8667,0.75,0.7761,0.8864
88,21,40,9,4,0.8243,0.84,0.8163,0.7636,0.8735
89,14,42,9,9,0.7568,0.6087,0.8235,0.6087,0.7289
90,19,46,5,4,0.8784,0.8261,0.902,0.8085,0.8798
91,22,37,10,5,0.7973,0.8148,0.7872,0.7458,0.8999
92,20,40,7,7,0.8108,0.7407,0.8511,0.7407,0.8692
93,22,38,9,5,0.8108,0.8148,0.8085,0.7586,0.8251
94,20,38,8,8,0.7838,0.7143,0.8261,0.7143,0.7966
95,11,48,11,4,0.7973,0.7333,0.8136,0.5946,0.8655
96,24,38,9,3,0.8378,0.8889,0.8085,0.8,0.8723
97,15,45,3,11,0.8108,0.5769,0.9375,0.6818,0.8117
98,22,37,8,7,0.7973,0.7586,0.8222,0.7458,0.8605
99,24,38,8,4,0.8378,0.8571,0.8261,0.8,0.948
100,22,38,9,5,0.8108,0.8148,0.8085,0.7586,0.8952
101,18,42,11,3,0.8108,0.8571,0.7925,0.72,0.8311
102,26,35,6,7,0.8243,0.7879,0.8537,0.8,0.8455
103,20,37,10,7,0.7703,0.7407,0.7872,0.7018,0.8243
104,17,39,8,10,0.7568,0.6296,0.8298,0.6538,0.7959
105,27,33,7,7,0.8108,0.7941,0.825,0.7941,0.8478
106,22,37,13,2,0.7973,0.9167,0.74,0.7458,0.8833
107,24,39,7,4,0.8514,0.8571,0.8478,0.8136,0.9309
108,30,32,7,5,0.8378,0.8571,0.8205,0.8333,0.926
109,19,42,7,6,0.8243,0.76,0.8571,0.7451,0.8245
110,24,29,15,6,0.7162,0.8,0.6591,0.6957,0.8136
111,22,37,10,5,0.7973,0.8148,0.7872,0.7458,0.907
112,18,38,10,8,0.7568,0.6923,0.7917,0.6667,0.8149
113,17,37,11,9,0.7297,0.6538,0.7708,0.6296,0.7588
114,20,43,10,1,0.8514,0.9524,0.8113,0.7843,0.9299
115,19,40,9,6,0.7973,0.76,0.8163,0.717,0.8514
116,24,41,9,0,0.8784,1.0,0.82,0.8421,0.9667
117,11,48,9,6,0.7973,0.6471,0.8421,0.5946,0.7843
118,13,46,9,6,0.7973,0.6842,0.8364,0.6341,0.7876
119,20,37,10,7,0.7703,0.7407,0.7872,0.7018,0.8101
120,22,39,8,5,0.8243,0.8148,0.8298,0.7719,0.84
121,18,41,7,8,0.7973,0.6923,0.8542,0.7059,0.8454
122,23,42,6,3,0.8784,0.8846,0.875,0.8364,0.9399
123,19,39,8,8,0.7838,0.7037,0.8298,0.7037,0.8392
124,24,36,4,10,0.8108,0.7059,0.9,0.7742,0.7993
125,24,35,9,6,0.7973,0.8,0.7955,0.7619,0.822
126,17,47,7,3,0.8649,0.85,0.8704,0.7727,0.8935
127,21,38,10,5,0.7973,0.8077,0.7917,0.7368,0.8454
128,19,38,6,11,0.7703,0.6333,0.8636,0.6909,0.7455
129,21,37,6,10,0.7838,0.6774,0.8605,0.7241,0.8162
130,21,36,10,7,0.7703,0.75,0.7826,0.7119,0.8618
131,24,32,10,8,0.7568,0.75,0.7619,0.7273,0.8281
132,25,35,10,4,0.8108,0.8621,0.7778,0.7813,0.869
133,16,41,8,9,0.7703,0.64,0.8367,0.6531,0.7167
134,15,38,14,7,0.7162,0.6818,0.7308,0.5882,0.757
135,18,45,6,5,0.8514,0.7826,0.8824,0.766,0.8866
136,13,48,11,2,0.8243,0.8667,0.8136,0.6667,0.9209
137,16,42,9,7,0.7838,0.6957,0.8235,0.6667,0.7843
138,18,37,8,11,0.7432,0.6207,0.8222,0.6545,0.7372
139,14,41,8,11,0.7432,0.56,0.8367,0.5957,0.7665
140,23,39,6,6,0.8378,0.7931,0.8667,0.7931,0.8644
141,21,42,9,2,0.8514,0.913,0.8235,0.7925,0.9412
142,16,41,11,6,0.7703,0.7273,0.7885,0.6531,0.7561
143,19,40,12,3,0.7973,0.8636,0.7692,0.717,0.8706
144,11,44,11,8,0.7432,0.5789,0.8,0.5366,0.7282
145,16,41,13,4,0.7703,0.8,0.7593,0.6531,0.7778
146,22,46,2,4,0.9189,0.8462,0.9583,0.88,0.9575
147,26,35,8,5,0.8243,0.8387,0.814,0.8,0.8522
148,21,43,6,4,0.8649,0.84,0.8776,0.8077,0.8816
149,17,48,4,5,0.8784,0.7727,0.9231,0.7907,0.8776
150,20,39,9,6,0.7973,0.7692,0.8125,0.7273,0.8654
151,25,33,13,3,0.7838,0.8929,0.7174,0.7576,0.8905
152,25,39,5,5,0.8649,0.8333,0.8864,0.8333,0.8697
153,23,35,10,6,0.7838,0.7931,0.7778,0.7419,0.8521
154,26,38,7,3,0.8649,0.8966,0.8444,0.8387,0.9172
155,23,40,5,6,0.8514,0.7931,0.8889,0.807,0.8605
156,20,36,9,9,0.7568,0.6897,0.8,0.6897,0.8421
157,26,40,4,4,0.8919,0.8667,0.9091,0.8667,0.9053
158,19,43,4,8,0.8378,0.7037,0.9149,0.76,0.911
159,18,40,11,5,0.7838,0.7826,0.7843,0.6923,0.8687
160,18,41,7,8,0.7973,0.6923,0.8542,0.7059,0.7684
161,25,46,1,2,0.9595,0.9259,0.9787,0.9434,0.9795
162,20,42,6,6,0.8378,0.7692,0.875,0.7692,0.9038
163,19,40,10,5,0.7973,0.7917,0.8,0.717,0.8617
164,15,42,9,8,0.7703,0.6522,0.8235,0.6383,0.7698
165,18,39,11,6,0.7703,0.75,0.78,0.6792,0.8217
166,23,40,7,4,0.8514,0.8519,0.8511,0.807,0.9267
