round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,16,48,8,3,0.8533,0.8421,0.8571,0.7442,0.9558
2,5,48,9,13,0.7067,0.2778,0.8421,0.3125,0.8109
3,14,47,11,3,0.8133,0.8235,0.8103,0.6667,0.9361
4,18,39,6,12,0.76,0.6,0.8667,0.6667,0.903
5,14,48,8,5,0.8267,0.7368,0.8571,0.6829,0.8581
6,15,45,7,8,0.8,0.6522,0.8654,0.6667,0.9156
7,10,47,9,9,0.76,0.5263,0.8393,0.5263,0.8806
8,11,52,9,3,0.84,0.7857,0.8525,0.6471,0.8302
9,12,48,6,9,0.8,0.5714,0.8889,0.6154,0.9215
10,13,50,4,8,0.84,0.619,0.9259,0.6842,0.8827
11,18,44,5,8,0.8267,0.6923,0.898,0.7347,0.8524
12,12,52,7,4,0.8533,0.75,0.8814,0.6857,0.8432
13,11,49,8,7,0.8,0.6111,0.8596,0.5946,0.885
14,15,43,6,11,0.7733,0.5769,0.8776,0.6383,0.9082
15,10,52,2,11,0.8267,0.4762,0.963,0.6061,0.8492
16,13,50,8,4,0.84,0.7647,0.8621,0.6842,0.9473
17,9,51,10,5,0.8,0.6429,0.8361,0.5455,0.9344
18,13,44,11,7,0.76,0.65,0.8,0.5909,0.8173
19,18,45,4,8,0.84,0.6923,0.9184,0.75,0.8823
20,9,56,6,4,0.8667,0.6923,0.9032,0.6429,0.9479
21,13,51,5,6,0.8533,0.6842,0.9107,0.7027,0.9192
22,9,53,8,5,0.8267,0.6429,0.8689,0.5806,0.9368
23,13,48,10,4,0.8133,0.7647,0.8276,0.65,0.9331
24,13,48,6,8,0.8133,0.619,0.8889,0.65,0.8695
25,13,49,6,7,0.8267,0.65,0.8909,0.6667,0.9364
26,15,47,5,8,0.8267,0.6522,0.9038,0.6977,0.9298
27,11,50,9,5,0.8133,0.6875,0.8475,0.6111,0.8475
28,9,48,9,9,0.76,0.5,0.8421,0.5,0.7719
29,14,42,11,8,0.7467,0.6364,0.7925,0.5957,0.8945
30,15,50,5,5,0.8667,0.75,0.9091,0.75,0.9245
31,10,54,6,5,0.8533,0.6667,0.9,0.6452,0.96
32,12,49,6,8,0.8133,0.6,0.8909,0.6316,0.8582
33,10,55,5,5,0.8667,0.6667,0.9167,0.6667,0.9522
34,11,51,6,7,0.8267,0.6111,0.8947,0.6286,0.8538
35,13,46,5,11,0.7867,0.5417,0.902,0.619,0.9142
36,13,43,12,7,0.7467,0.65,0.7818,0.5778,0.8818
37,9,51,7,8,0.8,0.5294,0.8793,0.5455,0.8884
38,15,44,8,8,0.7867,0.6522,0.8462,0.6522,0.8169
39,11,50,5,9,0.8133,0.55,0.9091,0.6111,0.9436
40,12,54,6,3,0.88,0.8,0.9,0.7273,0.9511
41,8,56,6,5,0.8533,0.6154,0.9032,0.5926,0.9417
42,9,52,7,7,0.8133,0.5625,0.8814,0.5625,0.8655
43,15,52,5,3,0.8933,0.8333,0.9123,0.7895,0.9669
44,9,50,4,12,0.7867,0.4286,0.9259,0.5294,0.9489
45,11,49,10,5,0.8,0.6875,0.8305,0.5946,0.84
46,14,46,5,10,0.8,0.5833,0.902,0.6512,0.8864
47,15,49,9,2,0.8533,0.8824,0.8448,0.7317,0.9148
