round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,14,44,9,8,0.7733,0.6364,0.8302,0.6222,0.8353
2,6,57,2,10,0.84,0.375,0.9661,0.5,0.8856
3,11,47,7,10,0.7733,0.5238,0.8704,0.5641,0.8889
4,21,38,5,11,0.7867,0.6562,0.8837,0.7241,0.8953
5,20,44,5,6,0.8533,0.7692,0.898,0.7843,0.9451
6,13,48,8,6,0.8133,0.6842,0.8571,0.65,0.9098
7,12,48,6,9,0.8,0.5714,0.8889,0.6154,0.866
8,20,45,7,3,0.8667,0.8696,0.8654,0.8,0.9507
9,14,49,6,6,0.84,0.7,0.8909,0.7,0.8845
10,18,41,4,12,0.7867,0.6,0.9111,0.6923,0.8341
11,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.9436
12,15,45,9,6,0.8,0.7143,0.8333,0.6667,0.8131
13,16,51,3,5,0.8933,0.7619,0.9444,0.8,0.9374
14,13,50,4,8,0.84,0.619,0.9259,0.6842,0.9021
15,9,57,4,5,0.88,0.6429,0.9344,0.6667,0.8021
16,18,47,4,6,0.8667,0.75,0.9216,0.7826,0.9175
17,16,42,9,8,0.7733,0.6667,0.8235,0.6531,0.8505
18,10,57,5,3,0.8933,0.7692,0.9194,0.7143,0.8536
19,13,43,11,8,0.7467,0.619,0.7963,0.5778,0.8413
20,13,54,3,5,0.8933,0.7222,0.9474,0.7647,0.9113
21,11,48,8,8,0.7867,0.5789,0.8571,0.5789,0.8562
22,15,47,7,6,0.8267,0.7143,0.8704,0.6977,0.9383
23,14,55,3,3,0.92,0.8235,0.9483,0.8235,0.9675
24,19,49,5,2,0.9067,0.9048,0.9074,0.8444,0.9612
25,12,51,4,8,0.84,0.6,0.9273,0.6667,0.9109
26,12,49,7,7,0.8133,0.6316,0.875,0.6316,0.875
27,16,52,2,5,0.9067,0.7619,0.963,0.8205,0.9612
28,11,52,7,5,0.84,0.6875,0.8814,0.6471,0.9248
29,14,43,7,11,0.76,0.56,0.86,0.6087,0.804
30,13,58,1,3,0.9467,0.8125,0.9831,0.8667,0.9905
31,12,49,10,4,0.8133,0.75,0.8305,0.6316,0.8538
32,16,51,4,4,0.8933,0.8,0.9273,0.8,0.9127
33,15,51,5,4,0.88,0.7895,0.9107,0.7692,0.922
34,13,52,6,4,0.8667,0.7647,0.8966,0.7222,0.9229
35,16,49,5,5,0.8667,0.7619,0.9074,0.7619,0.9541
36,13,50,3,9,0.84,0.5909,0.9434,0.6842,0.9631
37,10,48,6,11,0.7733,0.4762,0.8889,0.5405,0.8862
38,11,53,6,5,0.8533,0.6875,0.8983,0.6667,0.9047
39,9,57,4,5,0.88,0.6429,0.9344,0.6667,0.9356
40,15,51,3,6,0.88,0.7143,0.9444,0.7692,0.9383
41,16,49,3,7,0.8667,0.6957,0.9423,0.7619,0.9147
42,14,44,8,9,0.7733,0.6087,0.8462,0.6222,0.8319
43,17,46,5,7,0.84,0.7083,0.902,0.7391,0.893
44,14,48,7,6,0.8267,0.7,0.8727,0.6829,0.8636
45,18,49,4,4,0.8933,0.8182,0.9245,0.8182,0.9305
46,13,46,8,8,0.7867,0.619,0.8519,0.619,0.8642
47,13,50,3,9,0.84,0.5909,0.9434,0.6842,0.9408
48,12,47,12,4,0.7867,0.75,0.7966,0.6,0.8888
49,9,54,4,8,0.84,0.5294,0.931,0.6,0.9108
50,13,50,6,6,0.84,0.6842,0.8929,0.6842,0.9126
51,15,49,8,3,0.8533,0.8333,0.8596,0.7317,0.9425
52,16,46,4,9,0.8267,0.64,0.92,0.7111,0.9184
53,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.9594
54,15,48,6,6,0.84,0.7143,0.8889,0.7143,0.8668
55,11,52,5,7,0.84,0.6111,0.9123,0.6471,0.8645
56,17,48,4,6,0.8667,0.7391,0.9231,0.7727,0.9264
57,21,42,8,4,0.84,0.84,0.84,0.7778,0.9288
58,19,48,3,5,0.8933,0.7917,0.9412,0.8261,0.9583
59,15,43,10,7,0.7733,0.6818,0.8113,0.6383,0.8353
60,15,50,6,4,0.8667,0.7895,0.8929,0.75,0.9558
61,17,47,5,6,0.8533,0.7391,0.9038,0.7556,0.9206
62,13,46,10,6,0.7867,0.6842,0.8214,0.619,0.859
63,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.9045
64,18,47,6,4,0.8667,0.8182,0.8868,0.7826,0.952
65,12,47,7,9,0.7867,0.5714,0.8704,0.6,0.8607
66,13,51,4,7,0.8533,0.65,0.9273,0.7027,0.9491
67,17,47,6,5,0.8533,0.7727,0.8868,0.7556,0.9383
68,19,43,7,6,0.8267,0.76,0.86,0.7451,0.908
69,11,49,7,8,0.8,0.5789,0.875,0.5946,0.8477
70,17,50,2,6,0.8933,0.7391,0.9615,0.8095,0.9197
71,15,46,7,7,0.8133,0.6818,0.8679,0.6818,0.8902
72,11,51,5,8,0.8267,0.5789,0.9107,0.6286,0.937
73,9,50,11,5,0.7867,0.6429,0.8197,0.5294,0.8876
74,10,59,5,1,0.92,0.9091,0.9219,0.7692,0.9545
75,14,49,7,5,0.84,0.7368,0.875,0.7,0.8882
76,14,49,5,7,0.84,0.6667,0.9074,0.7,0.9171
77,14,50,6,5,0.8533,0.7368,0.8929,0.7179,0.9511
78,12,52,6,5,0.8533,0.7059,0.8966,0.6857,0.9077
79,16,48,5,6,0.8533,0.7273,0.9057,0.7442,0.9091
80,22,44,3,6,0.88,0.7857,0.9362,0.8302,0.9643
81,14,53,2,6,0.8933,0.7,0.9636,0.7778,0.9691
82,16,48,7,4,0.8533,0.8,0.8727,0.7442,0.9545
83,12,55,3,5,0.8933,0.7059,0.9483,0.75,0.9391
84,16,48,8,3,0.8533,0.8421,0.8571,0.7442,0.9389
85,11,52,6,6,0.84,0.6471,0.8966,0.6471,0.8864
86,20,45,6,4,0.8667,0.8333,0.8824,0.8,0.9583
87,10,50,5,10,0.8,0.5,0.9091,0.5714,0.9127
88,15,48,5,7,0.84,0.6818,0.9057,0.7143,0.9117
89,11,55,5,4,0.88,0.7333,0.9167,0.7097,0.9522
90,20,39,8,8,0.7867,0.7143,0.8298,0.7143,0.9179
91,11,50,7,7,0.8133,0.6111,0.8772,0.6111,0.885
92,4,60,3,8,0.8533,0.3333,0.9524,0.4211,0.8585
93,13,52,5,5,0.8667,0.7222,0.9123,0.7222,0.922
94,17,45,9,4,0.8267,0.8095,0.8333,0.7234,0.881
95,13,50,4,8,0.84,0.619,0.9259,0.6842,0.9418
96,21,44,6,4,0.8667,0.84,0.88,0.8077,0.9456
97,8,48,11,8,0.7467,0.5,0.8136,0.4571,0.8337
98,9,52,8,6,0.8133,0.6,0.8667,0.5625,0.9056
99,18,53,1,3,0.9467,0.8571,0.9815,0.9,0.9885
100,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.953
101,21,48,3,3,0.92,0.875,0.9412,0.875,0.9673
102,16,46,6,7,0.8267,0.6957,0.8846,0.7111,0.9281
103,21,46,3,5,0.8933,0.8077,0.9388,0.84,0.9498
104,13,48,5,9,0.8133,0.5909,0.9057,0.65,0.9322
105,15,45,6,9,0.8,0.625,0.8824,0.6667,0.8701
106,14,52,4,5,0.88,0.7368,0.9286,0.7568,0.9305
107,14,45,7,9,0.7867,0.6087,0.8654,0.6364,0.9306
108,16,47,8,4,0.84,0.8,0.8545,0.7273,0.9
109,19,39,9,8,0.7733,0.7037,0.8125,0.6909,0.831
110,13,55,4,3,0.9067,0.8125,0.9322,0.7879,0.9566
111,10,50,6,9,0.8,0.5263,0.8929,0.5714,0.9239
112,12,45,6,12,0.76,0.5,0.8824,0.5714,0.8962
