round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,6,53,6,10,0.7867,0.375,0.8983,0.4286,0.8792
2,11,52,6,6,0.84,0.6471,0.8966,0.6471,0.8854
3,11,45,10,9,0.7467,0.55,0.8182,0.5366,0.8291
4,9,49,9,8,0.7733,0.5294,0.8448,0.5143,0.8742
5,10,53,3,9,0.84,0.5263,0.9464,0.625,0.9305
6,16,44,8,7,0.8,0.6957,0.8462,0.6809,0.806
7,9,50,2,14,0.7867,0.3913,0.9615,0.5294,0.9156
8,9,53,2,11,0.8267,0.45,0.9636,0.5806,0.9136
9,14,52,3,6,0.88,0.7,0.9455,0.7568,0.9473
10,12,55,3,5,0.8933,0.7059,0.9483,0.75,0.9026
11,6,59,6,4,0.8667,0.6,0.9077,0.5455,0.86
12,12,49,5,9,0.8133,0.5714,0.9074,0.6316,0.9462
13,9,46,7,13,0.7333,0.4091,0.8679,0.4737,0.8465
14,10,50,3,12,0.8,0.4545,0.9434,0.5714,0.9108
15,12,49,5,9,0.8133,0.5714,0.9074,0.6316,0.881
16,16,43,6,10,0.7867,0.6154,0.8776,0.6667,0.9042
17,15,45,5,10,0.8,0.6,0.9,0.6667,0.9112
18,8,57,4,6,0.8667,0.5714,0.9344,0.6154,0.9461
19,13,52,5,5,0.8667,0.7222,0.9123,0.7222,0.8977
20,12,48,3,12,0.8,0.5,0.9412,0.6154,0.8325
21,10,51,6,8,0.8133,0.5556,0.8947,0.5882,0.9045
22,9,57,2,7,0.88,0.5625,0.9661,0.6667,0.9756
23,5,53,9,8,0.7733,0.3846,0.8548,0.3704,0.8201
24,9,52,7,7,0.8133,0.5625,0.8814,0.5625,0.8623
25,8,50,6,11,0.7733,0.4211,0.8929,0.4848,0.8788
26,5,54,7,9,0.7867,0.3571,0.8852,0.3846,0.8513
27,11,51,2,11,0.8267,0.5,0.9623,0.6286,0.8705
28,12,51,3,9,0.84,0.5714,0.9444,0.6667,0.8686
29,17,49,3,6,0.88,0.7391,0.9423,0.7907,0.9599
30,5,54,9,7,0.7867,0.4167,0.8571,0.3846,0.8704
31,9,52,5,9,0.8133,0.5,0.9123,0.5625,0.9152
32,7,53,6,9,0.8,0.4375,0.8983,0.4828,0.7606
