round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11
1,25,18,24,7,0.5811,0.7812,0.4286,0.6173,0.6607,25,20,22,7,0.6081,0.7812,0.4762,0.6329,0.7478,25,18,24,7,0.5811,0.7812,0.4286,0.6173,0.7708,26,21,21,6,0.6351,0.8125,0.5,0.6582,0.6801,27,26,16,5,0.7162,0.8438,0.619,0.72,0.8653,27,21,21,5,0.6486,0.8438,0.5,0.675,0.6179,14,41,10,10,0.7333,0.5833,0.8039,0.5833,0.8301,17,48,3,7,0.8667,0.7083,0.9412,0.7727,0.8848,16,49,2,8,0.8667,0.6667,0.9608,0.7619,0.9093,15,45,6,9,0.8,0.625,0.8824,0.6667,0.8693,18,45,6,6,0.84,0.75,0.8824,0.75,0.9101,14,42,9,10,0.7467,0.5833,0.8235,0.5957,0.8497
2,12,35,19,8,0.6351,0.6,0.6481,0.4706,0.7046,15,34,20,5,0.6622,0.75,0.6296,0.5455,0.738,15,35,19,5,0.6757,0.75,0.6481,0.5556,0.7824,16,37,17,4,0.7162,0.8,0.6852,0.6038,0.7417,19,35,19,1,0.7297,0.95,0.6481,0.6552,0.9065,15,34,20,5,0.6622,0.75,0.6296,0.5455,0.7343,11,44,9,11,0.7333,0.5,0.8302,0.5238,0.7539,12,46,7,10,0.7733,0.5455,0.8679,0.5854,0.7178,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.8045,10,45,8,12,0.7333,0.4545,0.8491,0.5,0.8036,14,47,6,8,0.8133,0.6364,0.8868,0.6667,0.8229,9,43,10,13,0.6933,0.4091,0.8113,0.439,0.7642
3,16,28,18,12,0.5946,0.5714,0.6087,0.5161,0.7143,16,31,15,12,0.6351,0.5714,0.6739,0.5424,0.722,19,28,18,9,0.6351,0.6786,0.6087,0.5846,0.7717,19,29,17,9,0.6486,0.6786,0.6304,0.5938,0.743,23,33,13,5,0.7568,0.8214,0.7174,0.7188,0.8843,20,27,19,8,0.6351,0.7143,0.587,0.597,0.745,11,48,11,5,0.7867,0.6875,0.8136,0.5789,0.875,13,52,7,3,0.8667,0.8125,0.8814,0.7222,0.9311,12,56,3,4,0.9067,0.75,0.9492,0.7742,0.9544,11,50,9,5,0.8133,0.6875,0.8475,0.6111,0.9047,15,54,5,1,0.92,0.9375,0.9153,0.8333,0.9619,9,46,13,7,0.7333,0.5625,0.7797,0.4737,0.8708
4,16,38,14,6,0.7297,0.7273,0.7308,0.6154,0.8514,14,41,11,8,0.7432,0.6364,0.7885,0.5957,0.8173,18,39,13,4,0.7703,0.8182,0.75,0.6792,0.8444,18,40,12,4,0.7838,0.8182,0.7692,0.6923,0.8479,19,45,7,3,0.8649,0.8636,0.8654,0.7917,0.9126,19,38,14,3,0.7703,0.8636,0.7308,0.6909,0.8453,11,47,12,5,0.7733,0.6875,0.7966,0.5641,0.8358,11,51,8,5,0.8267,0.6875,0.8644,0.6286,0.8284,13,52,7,3,0.8667,0.8125,0.8814,0.7222,0.875,11,45,14,5,0.7467,0.6875,0.7627,0.5366,0.8644,14,49,10,2,0.84,0.875,0.8305,0.7,0.8697,12,44,15,4,0.7467,0.75,0.7458,0.5581,0.8432
5,13,34,12,15,0.6351,0.4643,0.7391,0.4906,0.7415,17,34,12,11,0.6892,0.6071,0.7391,0.5965,0.7772,17,33,13,11,0.6757,0.6071,0.7174,0.5862,0.7399,16,33,13,12,0.6622,0.5714,0.7174,0.5614,0.7236,21,35,11,7,0.7568,0.75,0.7609,0.7,0.8424,22,33,13,6,0.7432,0.7857,0.7174,0.6984,0.7679,13,47,8,7,0.8,0.65,0.8545,0.6341,0.83,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.8273,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.8373,14,47,8,6,0.8133,0.7,0.8545,0.6667,0.8509,16,46,9,4,0.8267,0.8,0.8364,0.7111,0.8382,14,47,8,6,0.8133,0.7,0.8545,0.6667,0.8482
6,13,35,13,13,0.6486,0.5,0.7292,0.5,0.7396,11,38,10,15,0.6622,0.4231,0.7917,0.4681,0.742,18,34,14,8,0.7027,0.6923,0.7083,0.6207,0.7292,17,35,13,9,0.7027,0.6538,0.7292,0.6071,0.7548,19,38,10,7,0.7703,0.7308,0.7917,0.6909,0.8285,22,35,13,4,0.7703,0.8462,0.7292,0.7213,0.7564,8,46,11,10,0.72,0.4444,0.807,0.4324,0.7105,12,50,7,6,0.8267,0.6667,0.8772,0.6486,0.7534,9,50,7,9,0.7867,0.5,0.8772,0.5294,0.7914,8,46,11,10,0.72,0.4444,0.807,0.4324,0.7388,14,50,7,4,0.8533,0.7778,0.8772,0.7179,0.7768,8,45,12,10,0.7067,0.4444,0.7895,0.4211,0.7334
7,14,40,9,11,0.7297,0.56,0.8163,0.5833,0.7714,12,41,8,13,0.7162,0.48,0.8367,0.5333,0.7771,14,40,9,11,0.7297,0.56,0.8163,0.5833,0.7665,15,40,9,10,0.7432,0.6,0.8163,0.6122,0.7755,19,43,6,6,0.8378,0.76,0.8776,0.76,0.9184,18,38,11,7,0.7568,0.72,0.7755,0.6667,0.802,19,38,16,2,0.76,0.9048,0.7037,0.6786,0.9039,19,44,10,2,0.84,0.9048,0.8148,0.76,0.903,19,45,9,2,0.8533,0.9048,0.8333,0.7755,0.94,18,41,13,3,0.7867,0.8571,0.7593,0.6923,0.9374,19,41,13,2,0.8,0.9048,0.7593,0.717,0.918,18,38,16,3,0.7467,0.8571,0.7037,0.6545,0.9127
8,13,34,16,11,0.6351,0.5417,0.68,0.4906,0.775,16,36,14,8,0.7027,0.6667,0.72,0.5926,0.7917,17,36,14,7,0.7162,0.7083,0.72,0.6182,0.7542,15,35,15,9,0.6757,0.625,0.7,0.5556,0.7475,18,35,15,6,0.7162,0.75,0.7,0.6316,0.8133,21,34,16,3,0.7432,0.875,0.68,0.6885,0.7746,20,42,9,4,0.8267,0.8333,0.8235,0.7547,0.9003,19,44,7,5,0.84,0.7917,0.8627,0.76,0.8995,22,45,6,2,0.8933,0.9167,0.8824,0.8462,0.9224,18,42,9,6,0.8,0.75,0.8235,0.7059,0.9028,20,43,8,4,0.84,0.8333,0.8431,0.7692,0.9044,20,41,10,4,0.8133,0.8333,0.8039,0.7407,0.8873
9,22,29,12,11,0.6892,0.6667,0.7073,0.6567,0.7613,22,28,13,11,0.6757,0.6667,0.6829,0.6471,0.7369,24,27,14,9,0.6892,0.7273,0.6585,0.6761,0.7842,23,30,11,10,0.7162,0.697,0.7317,0.6866,0.7701,27,32,9,6,0.7973,0.8182,0.7805,0.7826,0.8625,27,29,12,6,0.7568,0.8182,0.7073,0.75,0.7849,13,45,10,7,0.7733,0.65,0.8182,0.6047,0.7927,13,47,8,7,0.8,0.65,0.8545,0.6341,0.8255,16,49,6,4,0.8667,0.8,0.8909,0.7619,0.8609,13,48,7,7,0.8133,0.65,0.8727,0.65,0.8409,15,48,7,5,0.84,0.75,0.8727,0.7143,0.8491,14,46,9,6,0.8,0.7,0.8364,0.6512,0.8259
10,17,37,14,6,0.7297,0.7391,0.7255,0.6296,0.8235,15,35,16,8,0.6757,0.6522,0.6863,0.5556,0.7792,18,35,16,5,0.7162,0.7826,0.6863,0.6316,0.8193,17,37,14,6,0.7297,0.7391,0.7255,0.6296,0.8321,19,40,11,4,0.7973,0.8261,0.7843,0.717,0.8909,19,37,14,4,0.7568,0.8261,0.7255,0.6786,0.8359,13,46,10,6,0.7867,0.6842,0.8214,0.619,0.8487,16,53,3,3,0.92,0.8421,0.9464,0.8421,0.89,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.8976,15,49,7,4,0.8533,0.7895,0.875,0.7317,0.9023,17,50,6,2,0.8933,0.8947,0.8929,0.8095,0.9079,14,46,10,5,0.8,0.7368,0.8214,0.6512,0.8844
