Dataset,Side,Model,Mean_Accuracy,SD_Accuracy,Mean_Sensitivity_Class0,SD_Sensitivity_Class0,Mean_Specificity_Class0,SD_Specificity_Class0,Mean_F1_Class0,SD_F1_Class0,Mean_Sensitivity_Class1,SD_Sensitivity_Class1,Mean_Specificity_Class1,SD_Specificity_Class1,Mean_F1_Class1,SD_F1_Class1,Mean_AUC,SD_AUC
Dataset_2,left,MLP,0.6465,0.054,0.6651,0.069,0.611,0.096,0.7079,0.0537,0.611,0.096,0.6651,0.069,0.5421,0.0798,0.7478,0.0602
Dataset_2,left,MobileNet,0.6732,0.0552,0.7048,0.0663,0.6135,0.1019,0.7356,0.0517,0.6135,0.1019,0.7048,0.0663,0.5621,0.0848,0.7533,0.0608
Dataset_2,left,ResNet+AE,0.687,0.0547,0.6846,0.0674,0.6911,0.0966,0.7382,0.0521,0.6911,0.0966,0.6846,0.0674,0.6017,0.0806,0.7641,0.0629
Dataset_2,left,ResNet,0.7016,0.0522,0.7069,0.0656,0.6909,0.0918,0.7533,0.0497,0.6909,0.0918,0.7069,0.0656,0.6131,0.0777,0.7551,0.0604
Dataset_2,left,SqueezeNet,0.7692,0.0503,0.7479,0.0621,0.8089,0.0797,0.807,0.0458,0.8089,0.0797,0.7479,0.0621,0.7058,0.072,0.8666,0.0442
Dataset_2,left,SVM,0.703,0.0518,0.666,0.0664,0.7718,0.086,0.7429,0.0515,0.7718,0.086,0.666,0.0664,0.6403,0.0727,0.7573,0.0564
Dataset_2,right,MLP,0.7444,0.0534,0.779,0.0588,0.6513,0.11,0.815,0.044,0.6513,0.11,0.779,0.0588,0.5732,0.0914,0.8099,0.062
Dataset_2,right,MobileNet,0.8119,0.0476,0.8539,0.049,0.6991,0.1081,0.8679,0.0365,0.6991,0.1081,0.8539,0.049,0.6614,0.0908,0.8234,0.0648
Dataset_2,right,ResNet+AE,0.8507,0.0432,0.889,0.0447,0.7477,0.1014,0.8959,0.0327,0.7477,0.1014,0.889,0.0447,0.7247,0.0833,0.8648,0.054
Dataset_2,right,ResNet,0.7706,0.051,0.8163,0.0529,0.6468,0.1146,0.8374,0.0405,0.6468,0.1146,0.8163,0.0529,0.5971,0.0949,0.8405,0.0585
Dataset_2,right,SqueezeNet,0.838,0.044,0.8536,0.0502,0.7968,0.0925,0.884,0.0345,0.7968,0.0925,0.8536,0.0502,0.7215,0.0789,0.8602,0.0557
Dataset_2,right,SVM,0.7437,0.0533,0.7789,0.0579,0.6484,0.1131,0.8146,0.0441,0.6484,0.1131,0.7789,0.0579,0.5713,0.0929,0.8178,0.0594
