Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Dataset_2,Left,ResNet,SVM,0.7016,0.703,0.17251542555659796,No
Accuracy,Dataset_2,Right,MLP,SVM,0.7444,0.7437,0.3819812248977374,No
AUC,Dataset_2,Left,MobileNet,ResNet,0.7533,0.7551,0.09248459523122105,No
F1_Class0,Dataset_2,Right,MLP,SVM,0.815,0.8146,0.45557251498488677,No
F1_Class1,Dataset_2,Right,MLP,SVM,0.5732,0.5713,0.19151143068245932,No
F1_Class1,Dataset_2,Right,ResNet+AE,SqueezeNet,0.7247,0.7215,0.0930244146416766,No
Sensitivity_Class0,Dataset_2,Left,MLP,SVM,0.6651,0.666,0.3229424975070666,No
Sensitivity_Class0,Dataset_2,Left,MobileNet,ResNet,0.7048,0.7069,0.1713096254353887,No
Sensitivity_Class0,Dataset_2,Right,MLP,SVM,0.779,0.7789,0.8890385307884402,No
Sensitivity_Class0,Dataset_2,Right,MobileNet,SqueezeNet,0.8539,0.8536,0.7960752268415437,No
Sensitivity_Class1,Dataset_2,Left,MLP,MobileNet,0.611,0.6135,0.33546105501842716,No
Sensitivity_Class1,Dataset_2,Left,ResNet+AE,ResNet,0.6911,0.6909,0.9028115949437243,No
Sensitivity_Class1,Dataset_2,Right,MLP,SVM,0.6513,0.6484,0.1874699234795039,No
Sensitivity_Class1,Dataset_2,Right,ResNet,SVM,0.6468,0.6484,0.4797179892790301,No
Specificity_Class0,Dataset_2,Left,MLP,MobileNet,0.611,0.6135,0.33546105501842716,No
Specificity_Class0,Dataset_2,Left,ResNet+AE,ResNet,0.6911,0.6909,0.9028115949437243,No
Specificity_Class0,Dataset_2,Right,MLP,SVM,0.6513,0.6484,0.1874699234795039,No
Specificity_Class0,Dataset_2,Right,ResNet,SVM,0.6468,0.6484,0.4797179892790301,No
Specificity_Class1,Dataset_2,Left,MLP,SVM,0.6651,0.666,0.3229424975070666,No
Specificity_Class1,Dataset_2,Left,MobileNet,ResNet,0.7048,0.7069,0.1713096254353887,No
Specificity_Class1,Dataset_2,Right,MLP,SVM,0.779,0.7789,0.8890385307884402,No
Specificity_Class1,Dataset_2,Right,MobileNet,SqueezeNet,0.8539,0.8536,0.7960752268415437,No
