Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Dataset_2,Left,MLP,MobileNet,0.6465,0.6732,1.776497156120853e-91,Yes (p<0.01)
Accuracy,Dataset_2,Left,MLP,ResNet+AE,0.6465,0.687,7.767866584566603e-156,Yes (p<0.01)
Accuracy,Dataset_2,Left,MLP,ResNet,0.6465,0.7016,1.264205686162656e-255,Yes (p<0.01)
Accuracy,Dataset_2,Left,MLP,SqueezeNet,0.6465,0.7692,0.0,Yes (p<0.01)
Accuracy,Dataset_2,Left,MLP,SVM,0.6465,0.703,6.7039128705857934e-304,Yes (p<0.01)
Accuracy,Dataset_2,Left,MobileNet,ResNet+AE,0.6732,0.687,1.3318049853614323e-33,Yes (p<0.01)
Accuracy,Dataset_2,Left,MobileNet,ResNet,0.6732,0.7016,5.998707576332969e-82,Yes (p<0.01)
Accuracy,Dataset_2,Left,MobileNet,SqueezeNet,0.6732,0.7692,0.0,Yes (p<0.01)
Accuracy,Dataset_2,Left,MobileNet,SVM,0.6732,0.703,3.5677248658927476e-91,Yes (p<0.01)
Accuracy,Dataset_2,Left,ResNet+AE,ResNet,0.687,0.7016,3.576118167626842e-49,Yes (p<0.01)
Accuracy,Dataset_2,Left,ResNet+AE,SqueezeNet,0.687,0.7692,0.0,Yes (p<0.01)
Accuracy,Dataset_2,Left,ResNet+AE,SVM,0.687,0.703,5.277261702634181e-44,Yes (p<0.01)
Accuracy,Dataset_2,Left,ResNet,SqueezeNet,0.7016,0.7692,2.6446253792921894e-282,Yes (p<0.01)
Accuracy,Dataset_2,Left,ResNet,SVM,0.7016,0.703,0.17251542555659796,No
Accuracy,Dataset_2,Left,SqueezeNet,SVM,0.7692,0.703,1.0503853574612535e-222,Yes (p<0.01)
Accuracy,Dataset_2,Right,MLP,MobileNet,0.7444,0.8119,1.1281147438086086e-304,Yes (p<0.01)
Accuracy,Dataset_2,Right,MLP,ResNet+AE,0.7444,0.8507,0.0,Yes (p<0.01)
Accuracy,Dataset_2,Right,MLP,ResNet,0.7444,0.7706,3.2866524681787637e-90,Yes (p<0.01)
Accuracy,Dataset_2,Right,MLP,SqueezeNet,0.7444,0.838,0.0,Yes (p<0.01)
Accuracy,Dataset_2,Right,MLP,SVM,0.7444,0.7437,0.3819812248977374,No
Accuracy,Dataset_2,Right,MobileNet,ResNet+AE,0.8119,0.8507,1.178168292419943e-227,Yes (p<0.01)
Accuracy,Dataset_2,Right,MobileNet,ResNet,0.8119,0.7706,1.1938156123560562e-239,Yes (p<0.01)
Accuracy,Dataset_2,Right,MobileNet,SqueezeNet,0.8119,0.838,1.1938508077272611e-107,Yes (p<0.01)
