round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,25,32,11,6,0.7703,0.8065,0.7442,0.7463,0.8335
2,13,37,15,9,0.6757,0.5909,0.7115,0.52,0.6958
3,20,29,14,11,0.6622,0.6452,0.6744,0.6154,0.7157
4,15,34,15,10,0.6622,0.6,0.6939,0.5455,0.7167
5,14,37,14,9,0.6892,0.6087,0.7255,0.549,0.8465
6,11,36,18,9,0.6351,0.55,0.6667,0.449,0.712
7,16,27,17,14,0.5811,0.5333,0.6136,0.5079,0.775
8,17,28,17,12,0.6081,0.5862,0.6222,0.5397,0.6467
9,21,33,12,8,0.7297,0.7241,0.7333,0.6774,0.7716
10,21,34,14,5,0.7432,0.8077,0.7083,0.6885,0.8598
11,17,34,13,10,0.6892,0.6296,0.7234,0.5965,0.7037
12,19,32,16,7,0.6892,0.7308,0.6667,0.623,0.8173
13,13,32,19,10,0.6081,0.5652,0.6275,0.4727,0.7596
14,18,34,16,6,0.7027,0.75,0.68,0.6207,0.795
15,13,40,12,9,0.7162,0.5909,0.7692,0.5532,0.7727
16,27,28,13,6,0.7432,0.8182,0.6829,0.7397,0.8404
17,14,22,17,21,0.4865,0.4,0.5641,0.4242,0.6051
18,14,37,16,7,0.6892,0.6667,0.6981,0.549,0.7718
19,11,39,10,14,0.6757,0.44,0.7959,0.4783,0.7363
20,16,30,21,7,0.6216,0.6957,0.5882,0.5333,0.786
21,14,33,14,13,0.6351,0.5185,0.7021,0.5091,0.7195
22,18,34,12,10,0.7027,0.6429,0.7391,0.6207,0.7865
23,17,33,18,6,0.6757,0.7391,0.6471,0.5862,0.7664
24,14,41,6,13,0.7432,0.5185,0.8723,0.5957,0.7943
25,14,33,20,7,0.6351,0.6667,0.6226,0.5091,0.7089
26,18,33,14,9,0.6892,0.6667,0.7021,0.6102,0.792
27,16,33,19,6,0.6622,0.7273,0.6346,0.5614,0.7483
28,10,38,14,12,0.6486,0.4545,0.7308,0.4348,0.7439
29,14,36,15,9,0.6757,0.6087,0.7059,0.5385,0.7289
30,16,33,12,13,0.6622,0.5517,0.7333,0.5614,0.7349
31,15,40,9,10,0.7432,0.6,0.8163,0.6122,0.8392
32,14,39,15,6,0.7162,0.7,0.7222,0.5714,0.7565
33,21,33,14,6,0.7297,0.7778,0.7021,0.6774,0.8125
34,19,24,21,10,0.5811,0.6552,0.5333,0.5507,0.705
35,10,41,13,10,0.6892,0.5,0.7593,0.4651,0.7352
36,16,34,12,12,0.6757,0.5714,0.7391,0.5714,0.771
37,18,31,11,14,0.6622,0.5625,0.7381,0.5902,0.7805
38,22,27,20,5,0.6622,0.8148,0.5745,0.6377,0.792
39,16,36,14,8,0.7027,0.6667,0.72,0.5926,0.7042
40,18,24,22,10,0.5676,0.6429,0.5217,0.5294,0.6141
41,20,32,14,8,0.7027,0.7143,0.6957,0.6452,0.7919
42,9,43,14,8,0.7027,0.5294,0.7544,0.45,0.7688
43,15,42,12,5,0.7703,0.75,0.7778,0.6383,0.8222
44,16,30,22,6,0.6216,0.7273,0.5769,0.5333,0.7893
45,13,34,13,14,0.6351,0.4815,0.7234,0.4906,0.7549
46,21,37,8,8,0.7838,0.7241,0.8222,0.7241,0.8253
47,24,32,13,5,0.7568,0.8276,0.7111,0.7273,0.8383
