round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,23,28,14,9,0.6892,0.7188,0.6667,0.6667,0.7463
2,18,35,16,5,0.7162,0.7826,0.6863,0.6316,0.7954
3,20,29,17,8,0.6622,0.7143,0.6304,0.6154,0.7096
4,16,35,15,8,0.6892,0.6667,0.7,0.5818,0.7217
5,24,33,12,5,0.7703,0.8276,0.7333,0.7385,0.8192
6,10,33,18,13,0.5811,0.4348,0.6471,0.3922,0.6411
7,19,34,11,10,0.7162,0.6552,0.7556,0.6441,0.8498
8,13,33,21,7,0.6216,0.65,0.6111,0.4815,0.6148
9,19,30,19,6,0.6622,0.76,0.6122,0.6032,0.7535
10,17,39,7,11,0.7568,0.6071,0.8478,0.6538,0.7671
11,20,30,12,12,0.6757,0.625,0.7143,0.625,0.718
12,14,36,19,5,0.6757,0.7368,0.6545,0.5385,0.7445
13,21,36,10,7,0.7703,0.75,0.7826,0.7119,0.837
14,13,42,14,5,0.7432,0.7222,0.75,0.5778,0.7917
15,22,29,18,5,0.6892,0.8148,0.617,0.6567,0.7604
16,26,27,15,6,0.7162,0.8125,0.6429,0.7123,0.753
17,15,34,19,6,0.6622,0.7143,0.6415,0.5455,0.6514
18,16,36,12,10,0.7027,0.6154,0.75,0.5926,0.7532
19,14,36,16,8,0.6757,0.6364,0.6923,0.5385,0.7115
20,18,39,8,9,0.7703,0.6667,0.8298,0.6792,0.8471
21,16,36,15,7,0.7027,0.6957,0.7059,0.5926,0.6837
22,18,33,16,7,0.6892,0.72,0.6735,0.6102,0.7878
23,24,32,12,6,0.7568,0.8,0.7273,0.7273,0.7955
24,13,41,11,9,0.7297,0.5909,0.7885,0.5652,0.7395
25,13,39,15,7,0.7027,0.65,0.7222,0.5417,0.7157
26,16,38,10,10,0.7297,0.6154,0.7917,0.6154,0.7636
27,16,40,10,8,0.7568,0.6667,0.8,0.64,0.7467
28,25,20,18,11,0.6081,0.6944,0.5263,0.6329,0.6477
29,15,38,14,7,0.7162,0.6818,0.7308,0.5882,0.8059
30,16,38,14,6,0.7297,0.7273,0.7308,0.6154,0.8252
31,18,31,19,6,0.6622,0.75,0.62,0.5902,0.7575
32,14,38,14,8,0.7027,0.6364,0.7308,0.56,0.7281
33,19,34,11,10,0.7162,0.6552,0.7556,0.6441,0.7648
34,17,40,10,7,0.7703,0.7083,0.8,0.6667,0.7908
35,21,29,18,6,0.6757,0.7778,0.617,0.6364,0.7683
36,19,32,14,9,0.6892,0.6786,0.6957,0.623,0.7438
37,19,33,19,3,0.7027,0.8636,0.6346,0.6333,0.7771
38,20,32,17,5,0.7027,0.8,0.6531,0.6452,0.8171
39,19,33,12,10,0.7027,0.6552,0.7333,0.6333,0.7693
40,16,32,11,15,0.6486,0.5161,0.7442,0.5517,0.6962
41,14,36,17,7,0.6757,0.6667,0.6792,0.5385,0.7493
42,17,32,15,10,0.6622,0.6296,0.6809,0.5763,0.6761
43,19,33,11,11,0.7027,0.6333,0.75,0.6333,0.8038
44,18,34,16,6,0.7027,0.75,0.68,0.6207,0.7858
45,22,31,15,6,0.7162,0.7857,0.6739,0.6769,0.7927
46,18,27,21,8,0.6081,0.6923,0.5625,0.5538,0.6466
47,17,32,18,7,0.6622,0.7083,0.64,0.5763,0.7275
48,20,36,13,5,0.7568,0.8,0.7347,0.6897,0.7559
49,18,35,11,10,0.7162,0.6429,0.7609,0.6316,0.7803
50,20,34,12,8,0.7297,0.7143,0.7391,0.6667,0.8028
51,16,35,16,7,0.6892,0.6957,0.6863,0.5818,0.7315
52,16,38,14,6,0.7297,0.7273,0.7308,0.6154,0.8191
53,23,32,10,9,0.7432,0.7188,0.7619,0.7077,0.8088
54,11,35,11,17,0.6216,0.3929,0.7609,0.44,0.6537
55,19,34,15,6,0.7162,0.76,0.6939,0.6441,0.7902
56,26,30,10,8,0.7568,0.7647,0.75,0.7429,0.7632
57,20,27,15,12,0.6351,0.625,0.6429,0.597,0.6875
58,17,34,14,9,0.6892,0.6538,0.7083,0.5965,0.7252
59,18,32,13,11,0.6757,0.6207,0.7111,0.6,0.7126
60,17,30,20,7,0.6351,0.7083,0.6,0.5574,0.7
61,20,31,13,10,0.6892,0.6667,0.7045,0.6349,0.7121
62,19,38,13,4,0.7703,0.8261,0.7451,0.6909,0.8389
63,16,39,11,8,0.7432,0.6667,0.78,0.6275,0.735
64,18,36,14,6,0.7297,0.75,0.72,0.6429,0.7883
65,21,30,14,9,0.6892,0.7,0.6818,0.6462,0.7364
66,12,36,16,10,0.6486,0.5455,0.6923,0.48,0.7037
67,12,38,14,10,0.6757,0.5455,0.7308,0.5,0.7308
68,20,32,18,4,0.7027,0.8333,0.64,0.6452,0.7858
69,15,35,16,8,0.6757,0.6522,0.6863,0.5556,0.728
70,21,30,14,9,0.6892,0.7,0.6818,0.6462,0.7811
71,23,31,9,11,0.7297,0.6765,0.775,0.697,0.7529
72,16,39,12,7,0.7432,0.6957,0.7647,0.6275,0.7323
73,24,26,15,9,0.6757,0.7273,0.6341,0.6667,0.7051
74,16,39,12,7,0.7432,0.6957,0.7647,0.6275,0.8107
75,12,35,13,14,0.6351,0.4615,0.7292,0.4706,0.6226
