round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,27,21,21,5,0.6486,0.8438,0.5,0.675,0.6179
2,15,34,20,5,0.6622,0.75,0.6296,0.5455,0.7343
3,20,27,19,8,0.6351,0.7143,0.587,0.597,0.745
4,19,38,14,3,0.7703,0.8636,0.7308,0.6909,0.8453
5,22,33,13,6,0.7432,0.7857,0.7174,0.6984,0.7679
6,22,35,13,4,0.7703,0.8462,0.7292,0.7213,0.7564
7,18,38,11,7,0.7568,0.72,0.7755,0.6667,0.802
8,21,34,16,3,0.7432,0.875,0.68,0.6885,0.7746
9,27,29,12,6,0.7568,0.8182,0.7073,0.75,0.7849
10,19,37,14,4,0.7568,0.8261,0.7255,0.6786,0.8359
11,15,27,22,10,0.5676,0.6,0.551,0.4839,0.662
12,21,33,13,7,0.7297,0.75,0.7174,0.6774,0.7403
13,20,32,20,2,0.7027,0.9091,0.6154,0.6452,0.799
14,27,31,9,7,0.7838,0.7941,0.775,0.7714,0.8393
15,15,37,19,3,0.7027,0.8333,0.6607,0.5769,0.8036
16,24,34,12,4,0.7838,0.8571,0.7391,0.75,0.8521
17,21,37,14,2,0.7838,0.913,0.7255,0.7241,0.8491
18,26,33,11,4,0.7973,0.8667,0.75,0.7761,0.8326
19,16,37,13,8,0.7162,0.6667,0.74,0.6038,0.7521
20,16,31,20,7,0.6351,0.6957,0.6078,0.5424,0.6326
21,18,34,19,3,0.7027,0.8571,0.6415,0.6207,0.7866
22,18,32,20,4,0.6757,0.8182,0.6154,0.6,0.7469
23,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.7333
24,14,35,16,9,0.6622,0.6087,0.6863,0.5283,0.7647
25,19,30,21,4,0.6622,0.8261,0.5882,0.6032,0.7144
26,18,33,19,4,0.6892,0.8182,0.6346,0.6102,0.7736
27,16,37,15,6,0.7162,0.7273,0.7115,0.6038,0.8505
28,19,37,10,8,0.7568,0.7037,0.7872,0.6786,0.8132
29,20,34,15,5,0.7297,0.8,0.6939,0.6667,0.7596
30,12,36,22,4,0.6486,0.75,0.6207,0.48,0.6934
31,20,33,16,5,0.7162,0.8,0.6735,0.6557,0.7559
32,19,30,15,10,0.6622,0.6552,0.6667,0.6032,0.7019
33,22,31,11,10,0.7162,0.6875,0.7381,0.6769,0.76
34,12,38,19,5,0.6757,0.7059,0.6667,0.5,0.7534
35,20,38,13,3,0.7838,0.8696,0.7451,0.7143,0.8274
36,20,34,13,7,0.7297,0.7407,0.7234,0.6667,0.7837
37,21,38,12,3,0.7973,0.875,0.76,0.7368,0.8783
38,24,31,17,2,0.7432,0.9231,0.6458,0.7164,0.8333
39,21,34,15,4,0.7432,0.84,0.6939,0.6885,0.7608
40,19,35,12,8,0.7297,0.7037,0.7447,0.6552,0.8266
41,22,35,12,5,0.7703,0.8148,0.7447,0.7213,0.8779
42,17,34,19,4,0.6892,0.8095,0.6415,0.5965,0.7323
43,19,32,21,2,0.6892,0.9048,0.6038,0.623,0.8059
44,24,33,12,5,0.7703,0.8276,0.7333,0.7385,0.7743
45,18,37,13,6,0.7432,0.75,0.74,0.6545,0.8096
46,26,25,20,3,0.6892,0.8966,0.5556,0.6933,0.7962
47,24,29,14,7,0.7162,0.7742,0.6744,0.6957,0.7611
48,30,29,11,4,0.7973,0.8824,0.725,0.8,0.8118
49,21,31,18,4,0.7027,0.84,0.6327,0.6562,0.7873
50,26,31,14,3,0.7703,0.8966,0.6889,0.7536,0.7854
51,19,36,16,3,0.7432,0.8636,0.6923,0.6667,0.8601
52,23,33,12,6,0.7568,0.7931,0.7333,0.7188,0.7939
53,24,29,14,7,0.7162,0.7742,0.6744,0.6957,0.7059
54,20,35,15,4,0.7432,0.8333,0.7,0.678,0.8433
55,21,35,11,7,0.7568,0.75,0.7609,0.7,0.7648
56,19,38,9,8,0.7703,0.7037,0.8085,0.6909,0.7975
57,28,27,17,2,0.7432,0.9333,0.6136,0.7467,0.7159
58,23,29,18,4,0.7027,0.8519,0.617,0.6765,0.7329
59,24,32,12,6,0.7568,0.8,0.7273,0.7273,0.8121
60,28,22,15,9,0.6757,0.7568,0.5946,0.7,0.7564
61,16,38,15,5,0.7297,0.7619,0.717,0.6154,0.7749
62,20,27,23,4,0.6351,0.8333,0.54,0.597,0.66
63,16,36,15,7,0.7027,0.6957,0.7059,0.5926,0.7353
64,14,35,15,10,0.6622,0.5833,0.7,0.5283,0.7063
65,17,34,18,5,0.6892,0.7727,0.6538,0.5965,0.8129
66,21,37,10,6,0.7838,0.7778,0.7872,0.7241,0.8558
67,22,42,7,3,0.8649,0.88,0.8571,0.8148,0.9241
68,12,35,17,10,0.6351,0.5455,0.6731,0.4706,0.6058
69,20,33,18,3,0.7162,0.8696,0.6471,0.6557,0.7455
70,25,27,18,4,0.7027,0.8621,0.6,0.6944,0.7636
71,12,36,20,6,0.6486,0.6667,0.6429,0.48,0.7073
72,18,32,19,5,0.6757,0.7826,0.6275,0.6,0.7268
73,28,30,12,4,0.7838,0.875,0.7143,0.7778,0.8196
74,18,26,20,10,0.5946,0.6429,0.5652,0.5455,0.6149
75,28,26,12,8,0.7297,0.7778,0.6842,0.7368,0.8067
76,20,26,19,9,0.6216,0.6897,0.5778,0.5882,0.7146
77,21,28,18,7,0.6622,0.75,0.6087,0.6269,0.7073
78,20,36,12,6,0.7568,0.7692,0.75,0.6897,0.8061
79,12,36,19,7,0.6486,0.6316,0.6545,0.48,0.7067
80,22,35,14,3,0.7703,0.88,0.7143,0.7213,0.7743
81,17,32,18,7,0.6622,0.7083,0.64,0.5763,0.7117
82,24,32,15,3,0.7568,0.8889,0.6809,0.7273,0.7892
83,28,24,18,4,0.7027,0.875,0.5714,0.7179,0.7567
84,25,32,9,8,0.7703,0.7576,0.7805,0.7463,0.8367
85,20,33,18,3,0.7162,0.8696,0.6471,0.6557,0.7609
86,20,28,15,11,0.6486,0.6452,0.6512,0.6061,0.7074
87,18,31,15,10,0.6622,0.6429,0.6739,0.5902,0.7411
88,23,28,17,6,0.6892,0.7931,0.6222,0.6667,0.7149
89,20,31,14,9,0.6892,0.6897,0.6889,0.6349,0.7709
90,23,28,16,7,0.6892,0.7667,0.6364,0.6667,0.7223
91,23,32,17,2,0.7432,0.92,0.6531,0.7077,0.7167
92,22,28,17,7,0.6757,0.7586,0.6222,0.6471,0.7034
93,14,36,17,7,0.6757,0.6667,0.6792,0.5385,0.6968
94,18,32,18,6,0.6757,0.75,0.64,0.6,0.7238
95,19,33,18,4,0.7027,0.8261,0.6471,0.6333,0.7195
96,20,37,11,6,0.7703,0.7692,0.7708,0.7018,0.8466
97,18,32,18,6,0.6757,0.75,0.64,0.6,0.6758
98,15,40,16,3,0.7432,0.8333,0.7143,0.6122,0.8046
99,22,33,17,2,0.7432,0.9167,0.66,0.6984,0.8075
100,22,34,14,4,0.7568,0.8462,0.7083,0.7097,0.8534
101,16,35,17,6,0.6892,0.7273,0.6731,0.5818,0.7609
102,21,28,17,8,0.6622,0.7241,0.6222,0.6269,0.7816
103,17,35,12,10,0.7027,0.6296,0.7447,0.6071,0.8251
104,22,22,21,9,0.5946,0.7097,0.5116,0.5946,0.6043
105,17,35,18,4,0.7027,0.8095,0.6604,0.6071,0.8324
106,22,25,21,6,0.6351,0.7857,0.5435,0.6197,0.6762
107,17,32,19,6,0.6622,0.7391,0.6275,0.5763,0.7204
108,21,33,13,7,0.7297,0.75,0.7174,0.6774,0.8319
109,19,36,14,5,0.7432,0.7917,0.72,0.6667,0.7867
110,26,25,18,5,0.6892,0.8387,0.5814,0.6933,0.7044
111,24,28,17,5,0.7027,0.8276,0.6222,0.6857,0.6893
112,21,22,22,9,0.5811,0.7,0.5,0.5753,0.6167
113,21,26,20,7,0.6351,0.75,0.5652,0.6087,0.7675
114,20,27,19,8,0.6351,0.7143,0.587,0.597,0.6821
115,28,28,13,5,0.7568,0.8485,0.6829,0.7568,0.7724
116,19,35,16,4,0.7297,0.8261,0.6863,0.6552,0.7707
117,26,28,16,4,0.7297,0.8667,0.6364,0.7222,0.8045
118,25,28,15,6,0.7162,0.8065,0.6512,0.7042,0.7746
119,18,31,18,7,0.6622,0.72,0.6327,0.5902,0.7527
120,23,31,13,7,0.7297,0.7667,0.7045,0.697,0.7439
121,20,30,18,6,0.6757,0.7692,0.625,0.625,0.8037
122,20,30,14,10,0.6757,0.6667,0.6818,0.625,0.7413
123,19,31,19,5,0.6757,0.7917,0.62,0.6129,0.7717
124,16,33,19,6,0.6622,0.7273,0.6346,0.5614,0.7614
125,20,34,15,5,0.7297,0.8,0.6939,0.6667,0.8392
126,16,32,18,8,0.6486,0.6667,0.64,0.5517,0.6954
127,25,27,11,11,0.7027,0.6944,0.7105,0.6944,0.7829
