round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,15,40,13,7,0.7333,0.6818,0.7547,0.6,0.7925
2,19,39,13,4,0.7733,0.8261,0.75,0.6909,0.8503
3,17,47,9,2,0.8533,0.8947,0.8393,0.7556,0.9013
4,14,42,12,7,0.7467,0.6667,0.7778,0.5957,0.7751
5,11,40,16,8,0.68,0.5789,0.7143,0.4783,0.7641
6,18,39,11,7,0.76,0.72,0.78,0.6667,0.8616
7,11,40,15,9,0.68,0.55,0.7273,0.4783,0.8018
8,9,45,15,6,0.72,0.6,0.75,0.4615,0.8489
9,17,36,17,5,0.7067,0.7727,0.6792,0.6071,0.8379
10,11,45,14,5,0.7467,0.6875,0.7627,0.5366,0.8623
11,16,43,8,8,0.7867,0.6667,0.8431,0.6667,0.8137
12,10,43,10,12,0.7067,0.4545,0.8113,0.4762,0.6801
13,9,52,11,3,0.8133,0.75,0.8254,0.5625,0.9008
14,14,44,10,7,0.7733,0.6667,0.8148,0.6222,0.8351
15,12,44,11,8,0.7467,0.6,0.8,0.5581,0.8518
16,19,36,12,8,0.7333,0.7037,0.75,0.6552,0.7693
17,7,46,13,9,0.7067,0.4375,0.7797,0.3889,0.8178
18,8,49,12,6,0.76,0.5714,0.8033,0.4706,0.8513
19,15,39,9,12,0.72,0.5556,0.8125,0.5882,0.8102
20,8,45,13,9,0.7067,0.4706,0.7759,0.4211,0.7434
21,9,48,12,6,0.76,0.6,0.8,0.5,0.8311
22,20,36,13,6,0.7467,0.7692,0.7347,0.678,0.865
23,12,46,9,8,0.7733,0.6,0.8364,0.5854,0.7782
24,15,41,15,4,0.7467,0.7895,0.7321,0.6122,0.8139
25,14,45,13,3,0.7867,0.8235,0.7759,0.6364,0.8895
26,15,35,16,9,0.6667,0.625,0.6863,0.5455,0.7737
27,16,42,9,8,0.7733,0.6667,0.8235,0.6531,0.8219
28,8,51,10,6,0.7867,0.5714,0.8361,0.5,0.8677
29,14,48,9,4,0.8267,0.7778,0.8421,0.6829,0.8996
30,16,45,9,5,0.8133,0.7619,0.8333,0.6957,0.8942
31,17,42,9,7,0.7867,0.7083,0.8235,0.68,0.884
32,13,43,12,7,0.7467,0.65,0.7818,0.5778,0.8327
33,13,44,9,9,0.76,0.5909,0.8302,0.5909,0.765
34,9,51,10,5,0.8,0.6429,0.8361,0.5455,0.8255
35,11,44,17,3,0.7333,0.7857,0.7213,0.5238,0.808
36,13,39,17,6,0.6933,0.6842,0.6964,0.5306,0.7782
37,14,41,13,7,0.7333,0.6667,0.7593,0.5833,0.7963
38,9,49,9,8,0.7733,0.5294,0.8448,0.5143,0.6968
39,17,35,18,5,0.6933,0.7727,0.6604,0.5965,0.7813
40,13,41,13,8,0.72,0.619,0.7593,0.5532,0.7822
41,20,33,8,14,0.7067,0.5882,0.8049,0.6452,0.8056
42,12,39,15,9,0.68,0.5714,0.7222,0.5,0.7875
43,14,44,9,8,0.7733,0.6364,0.8302,0.6222,0.7487
44,18,42,11,4,0.8,0.8182,0.7925,0.7059,0.8388
45,15,36,11,13,0.68,0.5357,0.766,0.5556,0.693
46,16,38,15,6,0.72,0.7273,0.717,0.6038,0.8525
47,7,49,14,5,0.7467,0.5833,0.7778,0.4242,0.8016
48,19,42,8,6,0.8133,0.76,0.84,0.7308,0.828
49,13,43,10,9,0.7467,0.5909,0.8113,0.5778,0.8345
50,14,41,12,8,0.7333,0.6364,0.7736,0.5833,0.789
51,20,40,11,4,0.8,0.8333,0.7843,0.7273,0.8807
52,12,46,11,6,0.7733,0.6667,0.807,0.5854,0.8187
53,6,51,11,7,0.76,0.4615,0.8226,0.4,0.7593
