round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,16,44,7,8,0.8,0.6667,0.8627,0.6809,0.8521
2,11,48,7,9,0.7867,0.55,0.8727,0.5789,0.8109
3,13,43,13,6,0.7467,0.6842,0.7679,0.5778,0.7726
4,17,45,8,5,0.8267,0.7727,0.8491,0.7234,0.8422
5,15,41,11,8,0.7467,0.6522,0.7885,0.6122,0.7676
6,10,50,8,7,0.8,0.5882,0.8621,0.5714,0.7475
7,12,52,9,2,0.8533,0.8571,0.8525,0.6857,0.8162
8,15,47,6,7,0.8267,0.6818,0.8868,0.6977,0.9091
9,12,48,8,7,0.8,0.6316,0.8571,0.6154,0.7321
10,14,50,1,10,0.8533,0.5833,0.9804,0.7179,0.8382
11,14,45,5,11,0.7867,0.56,0.9,0.6364,0.7872
12,12,47,9,7,0.7867,0.6316,0.8393,0.6,0.8628
13,11,45,12,7,0.7467,0.6111,0.7895,0.5366,0.6949
14,14,48,6,7,0.8267,0.6667,0.8889,0.6829,0.8325
15,14,47,9,5,0.8133,0.7368,0.8393,0.6667,0.859
16,10,53,9,3,0.84,0.7692,0.8548,0.625,0.8015
17,16,46,9,4,0.8267,0.8,0.8364,0.7111,0.8609
18,15,45,9,6,0.8,0.7143,0.8333,0.6667,0.8554
19,9,49,9,8,0.7733,0.5294,0.8448,0.5143,0.6673
20,24,37,8,6,0.8133,0.8,0.8222,0.7742,0.8119
21,13,46,7,9,0.7867,0.5909,0.8679,0.619,0.6758
22,10,49,10,6,0.7867,0.625,0.8305,0.5556,0.84
23,10,51,7,7,0.8133,0.5882,0.8793,0.5882,0.8438
24,17,49,6,3,0.88,0.85,0.8909,0.7907,0.8964
25,13,49,9,4,0.8267,0.7647,0.8448,0.6667,0.8367
26,15,46,11,3,0.8133,0.8333,0.807,0.6818,0.8294
27,12,46,9,8,0.7733,0.6,0.8364,0.5854,0.7064
28,17,45,9,4,0.8267,0.8095,0.8333,0.7234,0.8157
29,13,45,11,6,0.7733,0.6842,0.8036,0.6047,0.843
30,18,42,7,8,0.8,0.6923,0.8571,0.7059,0.8085
31,11,52,8,4,0.84,0.7333,0.8667,0.6471,0.8733
32,12,51,5,7,0.84,0.6316,0.9107,0.6667,0.8092
33,12,45,10,8,0.76,0.6,0.8182,0.5714,0.74
34,13,44,12,6,0.76,0.6842,0.7857,0.5909,0.7829
35,16,45,10,4,0.8133,0.8,0.8182,0.6957,0.8673
36,10,52,7,6,0.8267,0.625,0.8814,0.6061,0.7701
37,12,52,8,3,0.8533,0.8,0.8667,0.6857,0.8767
38,13,49,7,6,0.8267,0.6842,0.875,0.6667,0.7829
39,22,41,1,11,0.84,0.6667,0.9762,0.7857,0.8795
40,20,44,6,5,0.8533,0.8,0.88,0.7843,0.8856
41,10,48,14,3,0.7733,0.7692,0.7742,0.5405,0.8077
42,18,44,9,4,0.8267,0.8182,0.8302,0.7347,0.8156
43,13,45,10,7,0.7733,0.65,0.8182,0.6047,0.7818
44,9,51,13,2,0.8,0.8182,0.7969,0.5455,0.8622
45,14,49,7,5,0.84,0.7368,0.875,0.7,0.8167
46,11,52,3,9,0.84,0.55,0.9455,0.6471,0.7791
47,13,42,10,10,0.7333,0.5652,0.8077,0.5652,0.7651
48,16,41,9,9,0.76,0.64,0.82,0.64,0.7816
49,13,52,4,6,0.8667,0.6842,0.9286,0.7222,0.8506
50,14,53,3,5,0.8933,0.7368,0.9464,0.7778,0.8994
51,17,44,5,9,0.8133,0.6538,0.898,0.7083,0.8195
52,20,47,4,4,0.8933,0.8333,0.9216,0.8333,0.8971
53,12,49,10,4,0.8133,0.75,0.8305,0.6316,0.9131
54,15,46,7,7,0.8133,0.6818,0.8679,0.6818,0.8448
55,12,47,8,8,0.7867,0.6,0.8545,0.6,0.8091
56,23,39,5,8,0.8267,0.7419,0.8864,0.7797,0.8306
57,18,45,4,8,0.84,0.6923,0.9184,0.75,0.8344
58,14,48,6,7,0.8267,0.6667,0.8889,0.6829,0.903
59,18,46,7,4,0.8533,0.8182,0.8679,0.766,0.8911
60,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.8909
61,20,39,9,7,0.7867,0.7407,0.8125,0.7143,0.8071
62,14,49,2,10,0.84,0.5833,0.9608,0.7,0.866
63,10,55,4,6,0.8667,0.625,0.9322,0.6667,0.785
64,13,49,5,8,0.8267,0.619,0.9074,0.6667,0.8131
65,15,45,8,7,0.8,0.6818,0.8491,0.6667,0.8105
66,18,40,12,5,0.7733,0.7826,0.7692,0.6792,0.8186
67,18,48,6,3,0.88,0.8571,0.8889,0.8,0.8783
68,16,44,11,4,0.8,0.8,0.8,0.6809,0.8418
69,16,39,13,7,0.7333,0.6957,0.75,0.6154,0.8077
70,14,43,12,6,0.76,0.7,0.7818,0.6087,0.7864
71,14,52,4,5,0.88,0.7368,0.9286,0.7568,0.9041
72,17,37,12,9,0.72,0.6538,0.7551,0.6182,0.8281
73,10,45,10,10,0.7333,0.5,0.8182,0.5,0.7282
74,17,48,5,5,0.8667,0.7727,0.9057,0.7727,0.8954
75,12,49,10,4,0.8133,0.75,0.8305,0.6316,0.8422
76,12,48,8,7,0.8,0.6316,0.8571,0.6154,0.7716
77,13,51,5,6,0.8533,0.6842,0.9107,0.7027,0.8731
78,15,45,9,6,0.8,0.7143,0.8333,0.6667,0.8377
79,14,45,6,10,0.7867,0.5833,0.8824,0.6364,0.8521
80,14,51,5,5,0.8667,0.7368,0.9107,0.7368,0.891
81,13,51,4,7,0.8533,0.65,0.9273,0.7027,0.8818
82,14,44,11,6,0.7733,0.7,0.8,0.6222,0.8373
83,18,46,6,5,0.8533,0.7826,0.8846,0.766,0.852
84,11,40,13,11,0.68,0.5,0.7547,0.4783,0.6544
85,17,48,7,3,0.8667,0.85,0.8727,0.7727,0.87
86,8,51,8,8,0.7867,0.5,0.8644,0.5,0.7447
87,14,53,5,3,0.8933,0.8235,0.9138,0.7778,0.8884
88,10,51,8,6,0.8133,0.625,0.8644,0.5882,0.8517
89,18,45,9,3,0.84,0.8571,0.8333,0.75,0.888
90,19,41,6,9,0.8,0.6786,0.8723,0.717,0.7796
91,16,49,8,2,0.8667,0.8889,0.8596,0.7619,0.8694
92,13,47,7,8,0.8,0.619,0.8704,0.6341,0.8342
93,13,52,8,2,0.8667,0.8667,0.8667,0.7222,0.9522
94,11,47,10,7,0.7733,0.6111,0.8246,0.5641,0.7719
95,15,45,11,4,0.8,0.7895,0.8036,0.6667,0.9051
96,13,52,4,6,0.8667,0.6842,0.9286,0.7222,0.7951
97,13,46,9,7,0.7867,0.65,0.8364,0.619,0.8091
98,13,48,9,5,0.8133,0.7222,0.8421,0.65,0.8207
99,12,46,10,7,0.7733,0.6316,0.8214,0.5854,0.7509
100,16,51,2,6,0.8933,0.7273,0.9623,0.8,0.9117
101,14,47,9,5,0.8133,0.7368,0.8393,0.6667,0.7951
102,14,50,4,7,0.8533,0.6667,0.9259,0.7179,0.8995
103,19,44,8,4,0.84,0.8261,0.8462,0.76,0.8119
104,19,47,5,4,0.88,0.8261,0.9038,0.8085,0.8077
105,17,46,10,2,0.84,0.8947,0.8214,0.7391,0.9229
106,14,47,9,5,0.8133,0.7368,0.8393,0.6667,0.8929
107,17,45,7,6,0.8267,0.7391,0.8654,0.7234,0.8604
108,18,48,5,4,0.88,0.8182,0.9057,0.8,0.8456
109,9,50,9,7,0.7867,0.5625,0.8475,0.5294,0.7998
110,21,37,8,9,0.7733,0.7,0.8222,0.7119,0.7326
111,16,46,6,7,0.8267,0.6957,0.8846,0.7111,0.8512
112,15,44,10,6,0.7867,0.7143,0.8148,0.6522,0.8069
