round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,15,46,12,2,0.8133,0.8824,0.7931,0.6818,0.8742
2,16,51,2,6,0.8933,0.7273,0.9623,0.8,0.8834
3,23,40,9,3,0.84,0.8846,0.8163,0.7931,0.9156
4,16,48,7,4,0.8533,0.8,0.8727,0.7442,0.85
5,20,43,6,6,0.84,0.7692,0.8776,0.7692,0.8053
6,18,45,7,5,0.84,0.7826,0.8654,0.75,0.8942
7,15,46,12,2,0.8133,0.8824,0.7931,0.6818,0.8048
8,15,43,12,5,0.7733,0.75,0.7818,0.6383,0.7509
9,13,49,11,2,0.8267,0.8667,0.8167,0.6667,0.8289
10,14,49,8,4,0.84,0.7778,0.8596,0.7,0.8645
11,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.8905
12,10,56,5,4,0.88,0.7143,0.918,0.6897,0.8466
13,16,50,8,1,0.88,0.9412,0.8621,0.7805,0.9128
14,18,46,7,4,0.8533,0.8182,0.8679,0.766,0.8345
15,16,47,8,4,0.84,0.8,0.8545,0.7273,0.8255
16,15,47,10,3,0.8267,0.8333,0.8246,0.6977,0.8041
17,16,49,9,1,0.8667,0.9412,0.8448,0.7619,0.9087
18,17,46,11,1,0.84,0.9444,0.807,0.7391,0.9147
19,17,45,8,5,0.8267,0.7727,0.8491,0.7234,0.8654
20,23,42,7,3,0.8667,0.8846,0.8571,0.8214,0.8964
21,15,42,10,8,0.76,0.6522,0.8077,0.625,0.7278
22,21,42,6,6,0.84,0.7778,0.875,0.7778,0.863
23,16,45,10,4,0.8133,0.8,0.8182,0.6957,0.8091
24,19,43,10,3,0.8267,0.8636,0.8113,0.7451,0.8654
25,17,44,9,5,0.8133,0.7727,0.8302,0.7083,0.8782
26,21,41,8,5,0.8267,0.8077,0.8367,0.7636,0.8728
27,12,55,7,1,0.8933,0.9231,0.8871,0.75,0.9119
28,14,54,4,3,0.9067,0.8235,0.931,0.8,0.9097
29,13,56,5,1,0.92,0.9286,0.918,0.8125,0.9508
30,14,49,7,5,0.84,0.7368,0.875,0.7,0.8421
31,13,49,7,6,0.8267,0.6842,0.875,0.6667,0.8308
32,17,43,12,3,0.8,0.85,0.7818,0.6939,0.8682
33,18,36,14,7,0.72,0.72,0.72,0.6316,0.7832
34,15,46,9,5,0.8133,0.75,0.8364,0.6818,0.8482
35,14,52,5,4,0.88,0.7778,0.9123,0.7568,0.9522
36,16,46,11,2,0.8267,0.8889,0.807,0.7111,0.8494
37,16,44,10,5,0.8,0.7619,0.8148,0.6809,0.8228
38,11,53,7,4,0.8533,0.7333,0.8833,0.6667,0.8489
39,19,44,7,5,0.84,0.7917,0.8627,0.76,0.8145
40,14,45,9,7,0.7867,0.6667,0.8333,0.6364,0.8104
41,18,44,7,6,0.8267,0.75,0.8627,0.7347,0.7802
42,13,51,5,6,0.8533,0.6842,0.9107,0.7027,0.8797
43,16,52,5,2,0.9067,0.8889,0.9123,0.8205,0.8928
44,20,40,9,6,0.8,0.7692,0.8163,0.7273,0.8705
45,15,46,8,6,0.8133,0.7143,0.8519,0.6818,0.8501
46,15,47,12,1,0.8267,0.9375,0.7966,0.6977,0.8771
47,15,52,5,3,0.8933,0.8333,0.9123,0.7895,0.8606
48,18,41,9,7,0.7867,0.72,0.82,0.6923,0.8304
49,17,46,9,3,0.84,0.85,0.8364,0.7391,0.925
50,13,53,3,6,0.88,0.6842,0.9464,0.7429,0.8872
51,12,45,12,6,0.76,0.6667,0.7895,0.5714,0.8095
52,23,39,10,3,0.8267,0.8846,0.7959,0.7797,0.8477
53,15,47,9,4,0.8267,0.7895,0.8393,0.6977,0.8882
54,15,50,8,2,0.8667,0.8824,0.8621,0.75,0.8824
55,12,51,10,2,0.84,0.8571,0.8361,0.6667,0.9016
56,12,52,8,3,0.8533,0.8,0.8667,0.6857,0.9122
57,13,52,4,6,0.8667,0.6842,0.9286,0.7222,0.8026
58,15,47,7,6,0.8267,0.7143,0.8704,0.6977,0.8677
59,9,51,8,7,0.8,0.5625,0.8644,0.5455,0.804
60,15,47,7,6,0.8267,0.7143,0.8704,0.6977,0.8616
61,18,47,6,4,0.8667,0.8182,0.8868,0.7826,0.9134
62,9,53,9,4,0.8267,0.6923,0.8548,0.5806,0.7667
63,16,50,7,2,0.88,0.8889,0.8772,0.7805,0.8967
64,14,49,10,2,0.84,0.875,0.8305,0.7,0.8549
65,24,39,9,3,0.84,0.8889,0.8125,0.8,0.8839
66,15,45,9,6,0.8,0.7143,0.8333,0.6667,0.7601
67,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.925
68,16,47,6,6,0.84,0.7273,0.8868,0.7273,0.8353
69,15,48,11,1,0.84,0.9375,0.8136,0.7143,0.8745
70,17,42,11,5,0.7867,0.7727,0.7925,0.68,0.7946
71,18,48,8,1,0.88,0.9474,0.8571,0.8,0.9568
72,23,43,6,3,0.88,0.8846,0.8776,0.8364,0.8905
73,18,49,2,6,0.8933,0.75,0.9608,0.8182,0.8848
74,17,48,8,2,0.8667,0.8947,0.8571,0.7727,0.8816
75,11,51,9,4,0.8267,0.7333,0.85,0.6286,0.8089
76,10,43,16,6,0.7067,0.625,0.7288,0.4762,0.7855
77,24,38,6,7,0.8267,0.7742,0.8636,0.7869,0.8702
78,14,45,11,5,0.7867,0.7368,0.8036,0.6364,0.8703
79,16,51,6,2,0.8933,0.8889,0.8947,0.8,0.9123
80,12,49,8,6,0.8133,0.6667,0.8596,0.6316,0.8372
81,11,53,7,4,0.8533,0.7333,0.8833,0.6667,0.85
82,9,49,10,7,0.7733,0.5625,0.8305,0.5143,0.7044
83,15,49,8,3,0.8533,0.8333,0.8596,0.7317,0.8275
84,23,37,9,6,0.8,0.7931,0.8043,0.7541,0.8816
85,23,42,6,4,0.8667,0.8519,0.875,0.8214,0.9132
86,18,43,9,5,0.8133,0.7826,0.8269,0.72,0.862
87,16,47,8,4,0.84,0.8,0.8545,0.7273,0.8632
88,18,50,5,2,0.9067,0.9,0.9091,0.8372,0.9555
89,16,46,9,4,0.8267,0.8,0.8364,0.7111,0.8605
90,15,45,8,7,0.8,0.6818,0.8491,0.6667,0.7367
91,11,47,14,3,0.7733,0.7857,0.7705,0.5641,0.8062
92,19,44,9,3,0.84,0.8636,0.8302,0.76,0.8533
93,18,43,10,4,0.8133,0.8182,0.8113,0.72,0.8645
94,17,42,10,6,0.7867,0.7391,0.8077,0.68,0.8273
95,17,46,9,3,0.84,0.85,0.8364,0.7391,0.8664
96,11,46,12,6,0.76,0.6471,0.7931,0.55,0.6582
97,19,46,6,4,0.8667,0.8261,0.8846,0.7917,0.9339
98,17,50,7,1,0.8933,0.9444,0.8772,0.8095,0.9133
99,19,46,7,3,0.8667,0.8636,0.8679,0.7917,0.913
100,17,48,9,1,0.8667,0.9444,0.8421,0.7727,0.8986
101,17,42,12,4,0.7867,0.8095,0.7778,0.68,0.8699
102,19,46,7,3,0.8667,0.8636,0.8679,0.7917,0.8859
103,16,51,6,2,0.8933,0.8889,0.8947,0.8,0.9327
104,17,44,7,7,0.8133,0.7083,0.8627,0.7083,0.8766
105,13,54,5,3,0.8933,0.8125,0.9153,0.7647,0.8517
106,17,49,8,1,0.88,0.9444,0.8596,0.7907,0.8499
107,19,48,7,1,0.8933,0.95,0.8727,0.8261,0.9182
