round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,0,12,0,4,0.75,1.0,0.0,0.8571,0.0,1.0,0,0.625
2,0,12,2,2,0.75,0.8571,0.0,0.8571,0.0,0.8571,0,0.2857
3,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.2222
4,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.1455
5,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.2917
6,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.4167
7,0,5,1,10,0.3125,0.8333,0.0,0.4762,0.0,0.8333,0,0.4
8,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3833
9,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.5833
10,0,12,1,3,0.75,0.9231,0.0,0.8571,0.0,0.9231,0,0.2564
11,0,12,2,2,0.75,0.8571,0.0,0.8571,0.0,0.8571,0,0.2143
12,0,11,0,5,0.6875,1.0,0.0,0.8148,0.0,1.0,0,0.1091
13,0,6,1,9,0.375,0.8571,0.0,0.5455,0.0,0.8571,0,0.4762
14,0,9,1,6,0.5625,0.9,0.0,0.72,0.0,0.9,0,0.4667
15,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.1833
16,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.2083
17,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.2292
18,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.2708
19,0,13,1,2,0.8125,0.9286,0.0,0.8966,0.0,0.9286,0,0.0714
20,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.2708
21,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.1875
22,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.4583
23,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.2708
24,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.1091
25,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.2308
26,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.4615
27,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.2
28,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.25
