round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.625
2,0,11,3,2,0.6875,0.7857,0.0,0.8148,0.0,0.7857,0,0.0357
3,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.2222
4,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.0909
5,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.25
6,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.25
7,0,5,1,10,0.3125,0.8333,0.0,0.4762,0.0,0.8333,0,0.3333
8,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.2333
9,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.5833
10,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.2564
11,0,11,3,2,0.6875,0.7857,0.0,0.8148,0.0,0.7857,0,0.0
12,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.1091
13,0,5,2,9,0.3125,0.7143,0.0,0.4762,0.0,0.7143,0,0.4762
14,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.45
15,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.1333
16,0,7,5,4,0.4375,0.5833,0.0,0.6087,0.0,0.5833,0,0.1667
17,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.1458
18,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.125
19,0,12,2,2,0.75,0.8571,0.0,0.8571,0.0,0.8571,0,0.0
20,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.2292
21,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.125
22,0,7,5,4,0.4375,0.5833,0.0,0.6087,0.0,0.5833,0,0.4583
23,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.1875
24,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.0909
25,0,7,6,3,0.4375,0.5385,0.0,0.6087,0.0,0.5385,0,0.0769
26,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.0769
27,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1333
28,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.0833
29,0,7,5,4,0.4375,0.5833,0.0,0.6087,0.0,0.5833,0,0.0833
30,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.2
31,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.15
32,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1833
33,0,6,3,7,0.375,0.6667,0.0,0.5455,0.0,0.6667,0,0.2381
34,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2364
35,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.3333
36,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.2333
37,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.2364
38,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.375
39,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.3175
40,0,8,1,7,0.5,0.8889,0.0,0.6667,0.0,0.8889,0,0.1111
41,0,5,3,8,0.3125,0.625,0.0,0.4762,0.0,0.625,0,0.125
42,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.1167
43,0,8,0,8,0.5,1.0,0.0,0.6667,0.0,1.0,0,0.1562
44,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.4127
45,0,11,0,5,0.6875,1.0,0.0,0.8148,0.0,1.0,0,0.2909
46,0,11,3,2,0.6875,0.7857,0.0,0.8148,0.0,0.7857,0,0.2143
47,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.3492
48,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.3175
49,0,7,5,4,0.4375,0.5833,0.0,0.6087,0.0,0.5833,0,0.2917
50,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.125
51,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.1818
52,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.2
53,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.3333
54,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.2698
55,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.2667
56,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.375
57,0,5,5,6,0.3125,0.5,0.0,0.4762,0.0,0.5,0,0.3
58,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.45
59,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.1667
60,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.25
61,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.0909
62,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.3091
63,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.2821
64,0,4,4,8,0.25,0.5,0.0,0.4,0.0,0.5,0,0.0625
65,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.1667
66,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.0417
67,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.1282
68,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1
69,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.1667
70,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.0952
71,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.0513
72,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2727
73,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.2708
74,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2
75,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.2364
76,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.0417
77,0,3,4,9,0.1875,0.4286,0.0,0.3158,0.0,0.4286,0,0.127
78,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.381
79,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3833
80,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.1833
81,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.3091
82,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.3455
83,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.1795
84,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.0833
85,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.5385
86,0,5,6,5,0.3125,0.4545,0.0,0.4762,0.0,0.4545,0,0.1273
87,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.2292
88,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.1636
89,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.3333
90,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.1042
91,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.1282
92,0,6,3,7,0.375,0.6667,0.0,0.5455,0.0,0.6667,0,0.0794
93,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2727
94,0,8,6,2,0.5,0.5714,0.0,0.6667,0.0,0.5714,0,0.1429
95,0,8,1,7,0.5,0.8889,0.0,0.6667,0.0,0.8889,0,0.5556
96,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.1667
97,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.5556
98,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.4583
99,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.381
100,0,12,1,3,0.75,0.9231,0.0,0.8571,0.0,0.9231,0,0.2308
101,0,5,5,6,0.3125,0.5,0.0,0.4762,0.0,0.5,0,0.2333
102,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.1667
103,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.2727
104,0,12,2,2,0.75,0.8571,0.0,0.8571,0.0,0.8571,0,0.0357
105,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.3333
106,0,11,3,2,0.6875,0.7857,0.0,0.8148,0.0,0.7857,0,0.4286
107,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.127
108,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1
109,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.2833
110,0,11,2,3,0.6875,0.8462,0.0,0.8148,0.0,0.8462,0,0.1795
111,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.4375
112,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.1
113,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3667
114,0,12,1,3,0.75,0.9231,0.0,0.8571,0.0,0.9231,0,0.4103
115,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.0769
116,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.05
117,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.3
118,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.0769
119,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.2564
120,0,8,1,7,0.5,0.8889,0.0,0.6667,0.0,0.8889,0,0.1111
121,0,11,2,3,0.6875,0.8462,0.0,0.8148,0.0,0.8462,0,0.3846
122,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.3846
123,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.1795
124,0,9,5,2,0.5625,0.6429,0.0,0.72,0.0,0.6429,0,0.25
125,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.1538
126,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.1818
127,0,5,3,8,0.3125,0.625,0.0,0.4762,0.0,0.625,0,0.1562
128,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2182
129,0,9,1,6,0.5625,0.9,0.0,0.72,0.0,0.9,0,0.35
130,0,11,2,3,0.6875,0.8462,0.0,0.8148,0.0,0.8462,0,0.5641
131,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.2
132,0,7,1,8,0.4375,0.875,0.0,0.6087,0.0,0.875,0,0.3125
133,0,5,3,8,0.3125,0.625,0.0,0.4762,0.0,0.625,0,0.1562
134,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.0727
135,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.1636
136,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.3455
137,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.3636
138,0,7,6,3,0.4375,0.5385,0.0,0.6087,0.0,0.5385,0,0.2308
139,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.1
140,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.3333
141,0,9,5,2,0.5625,0.6429,0.0,0.72,0.0,0.6429,0,0.2143
142,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.2
143,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3167
144,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.3273
145,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.2727
146,0,8,0,8,0.5,1.0,0.0,0.6667,0.0,1.0,0,0.3281
147,0,9,1,6,0.5625,0.9,0.0,0.72,0.0,0.9,0,0.2333
148,0,5,4,7,0.3125,0.5556,0.0,0.4762,0.0,0.5556,0,0.1111
149,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.375
150,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.2727
151,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.3175
152,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.4127
153,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.2545
154,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.1026
155,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2
156,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.3273
157,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1667
158,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.1458
159,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.1111
160,0,5,7,4,0.3125,0.4167,0.0,0.4762,0.0,0.4167,0,0.0625
161,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.1458
162,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.2857
163,0,7,6,3,0.4375,0.5385,0.0,0.6087,0.0,0.5385,0,0.2564
164,0,11,0,5,0.6875,1.0,0.0,0.8148,0.0,1.0,0,0.2909
165,0,5,5,6,0.3125,0.5,0.0,0.4762,0.0,0.5,0,0.15
166,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.4833
167,0,8,6,2,0.5,0.5714,0.0,0.6667,0.0,0.5714,0,0.0
168,0,5,3,8,0.3125,0.625,0.0,0.4762,0.0,0.625,0,0.1875
169,0,11,2,3,0.6875,0.8462,0.0,0.8148,0.0,0.8462,0,0.2821
170,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.3455
171,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.2667
172,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1667
173,0,9,5,2,0.5625,0.6429,0.0,0.72,0.0,0.6429,0,0.1786
174,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.4545
175,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.1667
176,0,12,2,2,0.75,0.8571,0.0,0.8571,0.0,0.8571,0,0.25
177,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3167
178,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.1538
179,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.25
180,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.3273
181,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.25
182,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.2364
183,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.0794
184,0,4,6,6,0.25,0.4,0.0,0.4,0.0,0.4,0,0.0333
185,0,6,6,4,0.375,0.5,0.0,0.5455,0.0,0.5,0,0.1875
186,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.2292
187,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.0909
188,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.0833
189,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.2182
190,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.3542
191,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.2857
192,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.254
193,0,8,0,8,0.5,1.0,0.0,0.6667,0.0,1.0,0,0.7344
194,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.6042
195,0,5,5,6,0.3125,0.5,0.0,0.4762,0.0,0.5,0,0.3333
196,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.2564
197,0,12,2,2,0.75,0.8571,0.0,0.8571,0.0,0.8571,0,0.25
198,0,4,4,8,0.25,0.5,0.0,0.4,0.0,0.5,0,0.1406
199,0,9,4,3,0.5625,0.6923,0.0,0.72,0.0,0.6923,0,0.2308
200,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3167
201,0,11,4,1,0.6875,0.7333,0.0,0.8148,0.0,0.7333,0,0.4667
202,0,7,6,3,0.4375,0.5385,0.0,0.6087,0.0,0.5385,0,0.1538
203,0,11,3,2,0.6875,0.7857,0.0,0.8148,0.0,0.7857,0,0.1786
204,0,4,2,10,0.25,0.6667,0.0,0.4,0.0,0.6667,0,0.2333
205,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.2821
206,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.0513
207,0,10,3,3,0.625,0.7692,0.0,0.7692,0.0,0.7692,0,0.2051
208,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.2051
209,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.2333
210,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.0545
211,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1333
212,0,5,6,5,0.3125,0.4545,0.0,0.4762,0.0,0.4545,0,0.0909
213,0,7,1,8,0.4375,0.875,0.0,0.6087,0.0,0.875,0,0.5156
214,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.2333
215,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.1636
216,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.0833
217,0,12,1,3,0.75,0.9231,0.0,0.8571,0.0,0.9231,0,0.6154
218,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1667
219,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.2364
220,0,11,1,4,0.6875,0.9167,0.0,0.8148,0.0,0.9167,0,0.1667
221,0,10,1,5,0.625,0.9091,0.0,0.7692,0.0,0.9091,0,0.3091
222,0,5,5,6,0.3125,0.5,0.0,0.4762,0.0,0.5,0,0.1833
223,0,11,0,5,0.6875,1.0,0.0,0.8148,0.0,1.0,0,0.1818
224,0,11,2,3,0.6875,0.8462,0.0,0.8148,0.0,0.8462,0,0.3333
225,0,11,3,2,0.6875,0.7857,0.0,0.8148,0.0,0.7857,0,0.5
226,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.3542
227,0,6,2,8,0.375,0.75,0.0,0.5455,0.0,0.75,0,0.0625
228,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.1818
229,0,8,3,5,0.5,0.7273,0.0,0.6667,0.0,0.7273,0,0.2727
230,0,8,1,7,0.5,0.8889,0.0,0.6667,0.0,0.8889,0,0.127
231,0,8,4,4,0.5,0.6667,0.0,0.6667,0.0,0.6667,0,0.1042
232,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.1273
233,0,7,2,7,0.4375,0.7778,0.0,0.6087,0.0,0.7778,0,0.0952
234,0,8,2,6,0.5,0.8,0.0,0.6667,0.0,0.8,0,0.3
235,0,8,5,3,0.5,0.6154,0.0,0.6667,0.0,0.6154,0,0.4359
236,0,7,1,8,0.4375,0.875,0.0,0.6087,0.0,0.875,0,0.3281
237,0,7,3,6,0.4375,0.7,0.0,0.6087,0.0,0.7,0,0.1167
238,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.3091
239,0,7,5,4,0.4375,0.5833,0.0,0.6087,0.0,0.5833,0,0.0833
240,0,7,4,5,0.4375,0.6364,0.0,0.6087,0.0,0.6364,0,0.3636
241,0,10,2,4,0.625,0.8333,0.0,0.7692,0.0,0.8333,0,0.4792
242,0,9,2,5,0.5625,0.8182,0.0,0.72,0.0,0.8182,0,0.1455
243,0,6,4,6,0.375,0.6,0.0,0.5455,0.0,0.6,0,0.2167
244,0,9,1,6,0.5625,0.9,0.0,0.72,0.0,0.9,0,0.35
245,0,9,3,4,0.5625,0.75,0.0,0.72,0.0,0.75,0,0.3542
246,0,6,3,7,0.375,0.6667,0.0,0.5455,0.0,0.6667,0,0.254
247,0,6,5,5,0.375,0.5455,0.0,0.5455,0.0,0.5455,0,0.1091
