round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5385
2,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.55
3,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.6731
4,0,10,2,5,0.5882,0.8333,0.0,0.7407,0.0,0.8333,0,0.4167
5,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.6667
6,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.3077
7,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.7143
8,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4667
9,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.8095
10,0,14,2,1,0.8235,0.875,0.0,0.9032,0.0,0.875,0,0.625
12,0,11,5,1,0.6471,0.6875,0.0,0.7857,0.0,0.6875,0,0.5
13,0,14,2,1,0.8235,0.875,0.0,0.9032,0.0,0.875,0,0.0625
14,0,12,2,3,0.7059,0.8571,0.0,0.8276,0.0,0.8571,0,0.1667
15,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.4615
16,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.3667
17,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.2885
18,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.6923
19,0,12,3,2,0.7059,0.8,0.0,0.8276,0.0,0.8,0,0.4333
20,0,9,3,5,0.5294,0.75,0.0,0.6923,0.0,0.75,0,0.35
21,0,14,2,1,0.8235,0.875,0.0,0.9032,0.0,0.875,0,0.5625
22,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3462
24,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.7333
25,0,10,2,5,0.5882,0.8333,0.0,0.7407,0.0,0.8333,0,0.3167
26,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5
27,0,15,1,1,0.8824,0.9375,0.0,0.9375,0.0,0.9375,0,0.5
28,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.6333
29,0,10,3,4,0.5882,0.7692,0.0,0.7407,0.0,0.7692,0,0.4038
30,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.4333
31,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.7333
32,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.0667
33,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.6
34,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.5333
36,0,13,2,2,0.7647,0.8667,0.0,0.8667,0.0,0.8667,0,0.7
37,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.4833
38,0,9,0,8,0.5294,1.0,0.0,0.6923,0.0,1.0,0,0.3889
39,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.7692
40,0,15,1,1,0.8824,0.9375,0.0,0.9375,0.0,0.9375,0,0.75
41,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.8
42,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5
43,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.625
44,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5962
45,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0714
46,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.4286
47,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.6667
48,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.7885
49,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.5606
50,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.1429
51,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.6905
53,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.2381
54,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3077
55,0,12,3,2,0.7059,0.8,0.0,0.8276,0.0,0.8,0,0.2333
56,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.5833
57,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.1875
58,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.4286
59,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.625
60,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.75
61,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.8333
62,0,11,3,3,0.6471,0.7857,0.0,0.7857,0.0,0.7857,0,0.5952
63,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.3462
64,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.5238
65,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.4038
66,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.4667
67,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
68,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,1.0
69,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.619
70,0,14,2,1,0.8235,0.875,0.0,0.9032,0.0,0.875,0,0.875
72,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.119
73,0,15,1,1,0.8824,0.9375,0.0,0.9375,0.0,0.9375,0,0.875
74,0,10,0,7,0.5882,1.0,0.0,0.7407,0.0,1.0,0,0.4714
75,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3846
76,0,10,1,6,0.5882,0.9091,0.0,0.7407,0.0,0.9091,0,0.8182
77,0,8,1,8,0.4706,0.8889,0.0,0.64,0.0,0.8889,0,0.3333
78,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.4
79,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.4286
80,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.4048
81,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.7
82,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.3833
83,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.8462
84,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.35
85,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4667
86,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.3846
87,0,10,0,7,0.5882,1.0,0.0,0.7407,0.0,1.0,0,0.7
88,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2619
89,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.5769
90,0,11,2,4,0.6471,0.8462,0.0,0.7857,0.0,0.8462,0,0.3654
91,0,15,1,1,0.8824,0.9375,0.0,0.9375,0.0,0.9375,0,0.25
92,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5238
93,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.35
94,0,9,3,5,0.5294,0.75,0.0,0.6923,0.0,0.75,0,0.3667
95,0,9,2,6,0.5294,0.8182,0.0,0.6923,0.0,0.8182,0,0.4848
96,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.4375
97,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.6667
98,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.6667
99,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.125
100,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
101,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.8571
102,0,11,3,3,0.6471,0.7857,0.0,0.7857,0.0,0.7857,0,0.6905
103,0,12,2,3,0.7059,0.8571,0.0,0.8276,0.0,0.8571,0,0.5714
104,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4333
105,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.3846
106,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.15
107,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5714
108,0,13,2,2,0.7647,0.8667,0.0,0.8667,0.0,0.8667,0,0.4
109,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.3667
112,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.6667
113,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5238
114,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.6667
115,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.4231
116,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.3939
117,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.5167
118,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.3
119,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.4231
120,0,14,1,2,0.8235,0.9333,0.0,0.9032,0.0,0.9333,0,0.0
121,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.4048
122,0,11,2,4,0.6471,0.8462,0.0,0.7857,0.0,0.8462,0,0.5385
123,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
124,0,12,1,4,0.7059,0.9231,0.0,0.8276,0.0,0.9231,0,0.2692
125,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.5
126,0,13,1,3,0.7647,0.9286,0.0,0.8667,0.0,0.9286,0,0.3571
127,0,15,1,1,0.8824,0.9375,0.0,0.9375,0.0,0.9375,0,0.0625
128,0,11,2,4,0.6471,0.8462,0.0,0.7857,0.0,0.8462,0,0.4808
129,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5238
130,0,11,1,5,0.6471,0.9167,0.0,0.7857,0.0,0.9167,0,0.6333
