round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1923
2,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.3167
3,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3462
4,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.1333
5,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.1333
6,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5192
7,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2143
8,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2
9,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1667
10,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.1875
12,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.125
13,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.5625
14,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.3571
15,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.4615
16,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.5333
17,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2885
18,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3462
19,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.1
20,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.2833
21,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0625
22,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2692
24,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
25,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.2667
26,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3654
27,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.125
28,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2667
29,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3269
30,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.3333
31,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4
32,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.7333
33,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
34,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.6833
36,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.3
37,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.2667
38,0,9,0,8,0.5294,1.0,0.0,0.6923,0.0,1.0,0,0.6111
39,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.25
40,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.25
41,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4667
42,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2692
43,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.125
44,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.4808
45,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.7857
46,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.4286
47,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4667
48,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2308
49,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.2727
50,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.6429
51,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2857
53,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5238
54,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5385
55,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.3667
56,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.45
57,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.6875
58,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.3571
59,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.25
60,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.25
61,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.3333
62,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1667
63,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.4231
64,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1667
65,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2692
66,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.35
67,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.6
68,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.5333
69,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5714
70,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.4375
72,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.3333
73,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.375
74,0,10,0,7,0.5882,1.0,0.0,0.7407,0.0,1.0,0,0.2714
75,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5385
76,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.5
77,0,9,0,8,0.5294,1.0,0.0,0.6923,0.0,1.0,0,0.3333
78,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4333
79,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2381
80,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.4048
81,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2333
82,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.4167
83,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1538
84,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.4167
85,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.7
86,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2885
87,0,10,0,7,0.5882,1.0,0.0,0.7407,0.0,1.0,0,0.2286
88,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.5238
89,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3269
90,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2692
91,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.625
92,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1905
93,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.6833
94,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.2833
95,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.3333
96,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
97,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1905
98,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.3095
99,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.625
100,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.5333
101,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2857
102,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2381
103,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2143
104,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.5333
