round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0577
2,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.15
3,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1346
4,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.0
5,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0
6,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3462
7,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0714
8,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0
9,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0714
10,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
12,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
13,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.375
14,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1905
15,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2885
16,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.3
17,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1731
18,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0385
19,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0333
20,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.1833
21,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
22,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1154
24,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0
25,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.1167
26,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1346
27,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
28,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
29,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1731
30,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.1
31,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.1333
32,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.5333
33,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0
34,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.4167
36,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
37,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.2
38,0,9,0,8,0.5294,1.0,0.0,0.6923,0.0,1.0,0,0.5
39,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1154
40,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
41,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2
42,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0962
43,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
44,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2308
45,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.4286
46,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1905
47,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0667
48,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0577
49,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.0606
50,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2857
51,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1429
53,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2619
54,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.3846
55,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.1667
56,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.2333
57,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.375
58,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.1429
59,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.1875
60,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.1875
61,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.0455
62,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0
63,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2308
64,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0476
65,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1346
66,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.1667
67,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4
68,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2667
69,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.3333
70,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.125
72,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2381
73,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.1875
74,0,10,0,7,0.5882,1.0,0.0,0.7407,0.0,1.0,0,0.0857
75,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.5
76,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.1364
77,0,9,0,8,0.5294,1.0,0.0,0.6923,0.0,1.0,0,0.1667
78,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2333
79,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0714
80,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.2143
81,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.0333
82,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.1667
83,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.1154
84,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.1333
85,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4667
86,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0769
87,0,10,0,7,0.5882,1.0,0.0,0.7407,0.0,1.0,0,0.0
88,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.381
89,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0577
90,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.0385
91,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.375
92,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0952
93,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.35
94,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.15
95,0,11,0,6,0.6471,1.0,0.0,0.7857,0.0,1.0,0,0.2121
96,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.0
97,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0
98,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0952
99,0,16,0,1,0.9412,1.0,0.0,0.9697,0.0,1.0,0,0.375
100,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.2667
101,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0
102,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0714
103,0,14,0,3,0.8235,1.0,0.0,0.9032,0.0,1.0,0,0.0
104,0,15,0,2,0.8824,1.0,0.0,0.9375,0.0,1.0,0,0.4333
105,0,13,0,4,0.7647,1.0,0.0,0.8667,0.0,1.0,0,0.2308
106,0,12,0,5,0.7059,1.0,0.0,0.8276,0.0,1.0,0,0.5833
