round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,3,0,8,0,0.2727,1.0,0.0,0.4286,0.5
3,2,0,9,0,0.1818,1.0,0.0,0.3077,0.8889
9,2,0,9,0,0.1818,1.0,0.0,0.3077,0.6667
11,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
12,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
13,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5556
14,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
15,1,0,10,0,0.0909,1.0,0.0,0.1667,0.7
16,2,0,9,0,0.1818,1.0,0.0,0.3077,0.8889
18,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
19,1,0,10,0,0.0909,1.0,0.0,0.1667,0.7
20,2,0,9,0,0.1818,1.0,0.0,0.3077,1.0
21,2,0,9,0,0.1818,1.0,0.0,0.3077,0.6667
23,1,0,10,0,0.0909,1.0,0.0,0.1667,0.7
24,1,0,10,0,0.0909,1.0,0.0,0.1667,0.7
25,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
28,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
29,2,0,9,0,0.1818,1.0,0.0,0.3077,0.7778
32,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
33,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
36,1,0,10,0,0.0909,1.0,0.0,0.1667,1.0
44,2,0,9,0,0.1818,1.0,0.0,0.3077,0.6667
45,1,0,10,0,0.0909,1.0,0.0,0.1667,0.7
47,1,0,10,0,0.0909,1.0,0.0,0.1667,1.0
50,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
51,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
52,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
53,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
54,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
55,1,0,10,0,0.0909,1.0,0.0,0.1667,0.7
58,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
59,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
61,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
62,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
63,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
64,2,0,9,0,0.1818,1.0,0.0,0.3077,0.7778
67,1,0,10,0,0.0909,1.0,0.0,0.1667,0.8
68,1,0,10,0,0.0909,1.0,0.0,0.1667,0.9
69,2,0,9,0,0.1818,1.0,0.0,0.3077,0.6667
