round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,8,153,18,98,0.5812,0.8947,0.0755,0.7251,0.0755,0.8947,0.1212,0.5275
2,13,155,18,91,0.6065,0.896,0.125,0.7399,0.125,0.896,0.1926,0.5514
3,13,167,15,82,0.6498,0.9176,0.1368,0.7749,0.1368,0.9176,0.2114,0.5883
4,8,150,32,87,0.5704,0.8242,0.0842,0.716,0.0842,0.8242,0.1185,0.4718
5,19,149,21,88,0.6065,0.8765,0.1776,0.7322,0.1776,0.8765,0.2585,0.5314
6,10,169,20,78,0.6462,0.8942,0.1136,0.7752,0.1136,0.8942,0.1695,0.5429
7,13,158,24,82,0.6173,0.8681,0.1368,0.7488,0.1368,0.8681,0.197,0.5508
8,7,159,23,88,0.5993,0.8736,0.0737,0.7413,0.0737,0.8736,0.112,0.5067
9,21,146,24,86,0.6029,0.8588,0.1963,0.7264,0.1963,0.8588,0.2763,0.5149
10,14,160,26,77,0.6282,0.8602,0.1538,0.7565,0.1538,0.8602,0.2137,0.521
11,12,168,16,81,0.6498,0.913,0.129,0.776,0.129,0.913,0.1983,0.4824
12,11,173,15,78,0.6643,0.9202,0.1236,0.7882,0.1236,0.9202,0.1913,0.5173
13,8,162,19,88,0.6137,0.895,0.0833,0.7517,0.0833,0.895,0.1301,0.4824
14,17,143,15,102,0.5776,0.9051,0.1429,0.7097,0.1429,0.9051,0.2252,0.5454
15,13,136,17,111,0.5379,0.8889,0.1048,0.68,0.1048,0.8889,0.1688,0.5503
16,13,164,14,86,0.639,0.9213,0.1313,0.7664,0.1313,0.9213,0.2063,0.5279
17,12,158,16,91,0.6137,0.908,0.1165,0.747,0.1165,0.908,0.1832,0.5681
18,18,156,23,80,0.6282,0.8715,0.1837,0.7518,0.1837,0.8715,0.259,0.5889
19,12,170,18,77,0.657,0.9043,0.1348,0.7816,0.1348,0.9043,0.2017,0.5836
20,17,153,22,85,0.6137,0.8743,0.1667,0.7409,0.1667,0.8743,0.2411,0.5931
21,16,142,25,94,0.5704,0.8503,0.1455,0.7047,0.1455,0.8503,0.2119,0.5243
22,13,163,17,84,0.6354,0.9056,0.134,0.7635,0.134,0.9056,0.2047,0.5622
23,13,169,21,74,0.657,0.8895,0.1494,0.7806,0.1494,0.8895,0.2149,0.557
24,18,148,20,91,0.5993,0.881,0.1651,0.7273,0.1651,0.881,0.2449,0.5404
25,21,140,17,99,0.5812,0.8917,0.175,0.7071,0.175,0.8917,0.2658,0.6021
26,16,162,13,86,0.6426,0.9257,0.1569,0.766,0.1569,0.9257,0.2443,0.6045
27,15,172,16,74,0.6751,0.9149,0.1685,0.7926,0.1685,0.9149,0.25,0.5471
28,11,149,19,98,0.5776,0.8869,0.1009,0.7181,0.1009,0.8869,0.1583,0.5512
29,16,162,17,82,0.6426,0.905,0.1633,0.766,0.1633,0.905,0.2443,0.6148
30,14,158,15,90,0.6209,0.9133,0.1346,0.7506,0.1346,0.9133,0.2105,0.5555
31,3,161,17,96,0.5921,0.9045,0.0303,0.7402,0.0303,0.9045,0.0504,0.5411
32,18,148,17,94,0.5993,0.897,0.1607,0.7273,0.1607,0.897,0.2449,0.6121
33,12,143,23,99,0.5596,0.8614,0.1081,0.701,0.1081,0.8614,0.1644,0.5531
34,10,164,17,86,0.6282,0.9061,0.1042,0.761,0.1042,0.9061,0.1626,0.5464
35,16,160,22,79,0.6354,0.8791,0.1684,0.7601,0.1684,0.8791,0.2406,0.5663
36,9,170,12,86,0.6462,0.9341,0.0947,0.7763,0.0947,0.9341,0.1552,0.5329
37,12,162,17,86,0.6282,0.905,0.1224,0.7588,0.1224,0.905,0.189,0.5393
38,15,171,14,77,0.6715,0.9243,0.163,0.7898,0.163,0.9243,0.2479,0.5503
39,11,157,20,89,0.6065,0.887,0.11,0.7423,0.11,0.887,0.1679,0.5043
40,15,152,21,89,0.6029,0.8786,0.1442,0.7343,0.1442,0.8786,0.2143,0.5455
41,12,167,18,80,0.6462,0.9027,0.1304,0.7731,0.1304,0.9027,0.1967,0.5615
42,15,134,20,108,0.5379,0.8701,0.122,0.6768,0.122,0.8701,0.1899,0.5442
43,16,154,18,89,0.6137,0.8953,0.1524,0.7422,0.1524,0.8953,0.2302,0.5345
44,14,149,21,93,0.5884,0.8765,0.1308,0.7233,0.1308,0.8765,0.1972,0.5642
45,13,155,19,90,0.6065,0.8908,0.1262,0.7399,0.1262,0.8908,0.1926,0.5712
46,17,148,21,91,0.5957,0.8757,0.1574,0.7255,0.1574,0.8757,0.2329,0.5766
47,18,161,18,80,0.6462,0.8994,0.1837,0.7667,0.1837,0.8994,0.2687,0.5691
48,10,157,23,87,0.6029,0.8722,0.1031,0.7406,0.1031,0.8722,0.1538,0.5579
49,19,140,24,94,0.574,0.8537,0.1681,0.7035,0.1681,0.8537,0.2436,0.5154
50,19,156,17,85,0.6318,0.9017,0.1827,0.7536,0.1827,0.9017,0.2714,0.5723
51,15,157,23,82,0.6209,0.8722,0.1546,0.7494,0.1546,0.8722,0.2222,0.6057
52,9,154,17,97,0.5884,0.9006,0.0849,0.7299,0.0849,0.9006,0.1364,0.5442
53,12,146,29,90,0.5704,0.8343,0.1176,0.7105,0.1176,0.8343,0.1678,0.4736
54,14,146,20,97,0.5776,0.8795,0.1261,0.7139,0.1261,0.8795,0.1931,0.58
55,20,163,12,82,0.6606,0.9314,0.1961,0.7762,0.1961,0.9314,0.2985,0.5704
56,13,162,16,86,0.6318,0.9101,0.1313,0.7606,0.1313,0.9101,0.2031,0.5654
57,15,151,18,93,0.5993,0.8935,0.1389,0.7312,0.1389,0.8935,0.2128,0.5589
58,14,158,15,90,0.6209,0.9133,0.1346,0.7506,0.1346,0.9133,0.2105,0.5839
59,20,146,20,91,0.5993,0.8795,0.1802,0.7246,0.1802,0.8795,0.2649,0.5166
60,16,165,13,83,0.6534,0.927,0.1616,0.7746,0.1616,0.927,0.25,0.596
61,12,146,18,101,0.5704,0.8902,0.1062,0.7105,0.1062,0.8902,0.1678,0.5409
62,18,159,17,83,0.639,0.9034,0.1782,0.7608,0.1782,0.9034,0.2647,0.5891
63,10,159,14,94,0.6101,0.9191,0.0962,0.7465,0.0962,0.9191,0.1562,0.5351
64,15,161,15,86,0.6354,0.9148,0.1485,0.7612,0.1485,0.9148,0.229,0.5502
65,12,163,21,81,0.6318,0.8859,0.129,0.7617,0.129,0.8859,0.1905,0.5147
66,16,164,25,72,0.6498,0.8677,0.1818,0.7718,0.1818,0.8677,0.2481,0.5987
67,9,172,17,79,0.6534,0.9101,0.1023,0.7818,0.1023,0.9101,0.1579,0.4939
