round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,6,159,12,100,0.5957,0.9298,0.0566,0.7395,0.0566,0.9298,0.0968,0.5494
2,11,157,16,93,0.6065,0.9075,0.1058,0.7423,0.1058,0.9075,0.1679,0.5756
3,15,169,13,80,0.6643,0.9286,0.1579,0.7842,0.1579,0.9286,0.2439,0.5976
4,8,162,20,87,0.6137,0.8901,0.0842,0.7517,0.0842,0.8901,0.1301,0.5014
5,21,151,19,86,0.6209,0.8882,0.1963,0.742,0.1963,0.8882,0.2857,0.6053
6,12,166,23,76,0.6426,0.8783,0.1364,0.7703,0.1364,0.8783,0.1951,0.5419
7,14,163,19,81,0.639,0.8956,0.1474,0.7653,0.1474,0.8956,0.2188,0.5875
8,14,161,21,81,0.6318,0.8846,0.1474,0.7594,0.1474,0.8846,0.2154,0.5891
9,18,147,23,89,0.5957,0.8647,0.1682,0.7241,0.1682,0.8647,0.2432,0.5174
10,11,166,20,80,0.639,0.8925,0.1209,0.7685,0.1209,0.8925,0.1803,0.5845
11,10,170,14,83,0.6498,0.9239,0.1075,0.778,0.1075,0.9239,0.1709,0.561
12,12,169,19,77,0.6534,0.8989,0.1348,0.7788,0.1348,0.8989,0.2,0.5723
13,9,162,19,87,0.6173,0.895,0.0938,0.7535,0.0938,0.895,0.1452,0.5268
14,21,144,14,98,0.5957,0.9114,0.1765,0.72,0.1765,0.9114,0.2727,0.5576
15,17,136,17,107,0.5523,0.8889,0.1371,0.6869,0.1371,0.8889,0.2152,0.6143
16,12,164,14,87,0.6354,0.9213,0.1212,0.7646,0.1212,0.9213,0.192,0.5675
17,16,157,17,87,0.6245,0.9023,0.1553,0.7512,0.1553,0.9023,0.2353,0.5446
18,16,158,21,82,0.6282,0.8827,0.1633,0.7542,0.1633,0.8827,0.237,0.6261
19,16,176,12,73,0.6931,0.9362,0.1798,0.8055,0.1798,0.9362,0.2735,0.633
20,13,153,22,89,0.5993,0.8743,0.1275,0.7338,0.1275,0.8743,0.1898,0.5918
21,22,148,19,88,0.6137,0.8862,0.2,0.7345,0.2,0.8862,0.2914,0.5406
22,16,160,20,81,0.6354,0.8889,0.1649,0.7601,0.1649,0.8889,0.2406,0.6022
23,19,167,23,68,0.6715,0.8789,0.2184,0.7859,0.2184,0.8789,0.2946,0.5717
24,17,146,22,92,0.5884,0.869,0.156,0.7192,0.156,0.869,0.2297,0.5726
25,22,147,10,98,0.6101,0.9363,0.1833,0.7313,0.1833,0.9363,0.2895,0.6635
