round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,22,146,25,84,0.6065,0.8538,0.2075,0.7282,0.2075,0.8538,0.2876,0.586
2,19,148,25,85,0.6029,0.8555,0.1827,0.7291,0.1827,0.8555,0.2568,0.5957
3,22,155,27,73,0.639,0.8516,0.2316,0.7561,0.2316,0.8516,0.3056,0.6298
4,12,140,42,83,0.5487,0.7692,0.1263,0.6914,0.1263,0.7692,0.1611,0.5404
5,33,137,33,74,0.6137,0.8059,0.3084,0.7192,0.3084,0.8059,0.3815,0.6054
6,17,162,27,71,0.6462,0.8571,0.1932,0.7678,0.1932,0.8571,0.2576,0.5928
7,24,152,30,71,0.6354,0.8352,0.2526,0.7506,0.2526,0.8352,0.3221,0.6481
8,16,150,32,79,0.5993,0.8242,0.1684,0.7299,0.1684,0.8242,0.2238,0.5977
9,33,137,33,74,0.6137,0.8059,0.3084,0.7192,0.3084,0.8059,0.3815,0.5872
10,25,157,29,66,0.657,0.8441,0.2747,0.7677,0.2747,0.8441,0.3448,0.5914
11,20,157,27,73,0.639,0.8533,0.2151,0.7585,0.2151,0.8533,0.2857,0.5889
12,17,160,28,72,0.639,0.8511,0.191,0.7619,0.191,0.8511,0.2537,0.5968
13,19,155,26,77,0.6282,0.8564,0.1979,0.7506,0.1979,0.8564,0.2695,0.5524
14,29,134,24,90,0.5884,0.8481,0.2437,0.7016,0.2437,0.8481,0.3372,0.6188
15,29,131,22,95,0.5776,0.8562,0.2339,0.6913,0.2339,0.8562,0.3314,0.6129
16,19,153,25,80,0.6209,0.8596,0.1919,0.7445,0.1919,0.8596,0.2657,0.6011
17,22,148,26,81,0.6137,0.8506,0.2136,0.7345,0.2136,0.8506,0.2914,0.5786
18,29,144,35,69,0.6245,0.8045,0.2959,0.7347,0.2959,0.8045,0.358,0.6274
19,23,162,26,66,0.6679,0.8617,0.2584,0.7788,0.2584,0.8617,0.3333,0.6606
20,26,144,31,76,0.6137,0.8229,0.2549,0.7291,0.2549,0.8229,0.327,0.6676
21,27,133,34,83,0.5776,0.7964,0.2455,0.6945,0.2455,0.7964,0.3158,0.5911
22,23,154,26,74,0.639,0.8556,0.2371,0.7549,0.2371,0.8556,0.3151,0.6441
23,25,156,34,62,0.6534,0.8211,0.2874,0.7647,0.2874,0.8211,0.3425,0.6126
24,34,128,40,75,0.5848,0.7619,0.3119,0.69,0.3119,0.7619,0.3716,0.5999
25,32,139,18,88,0.6173,0.8854,0.2667,0.724,0.2667,0.8854,0.3765,0.6321
26,25,156,19,77,0.6534,0.8914,0.2451,0.7647,0.2451,0.8914,0.3425,0.6669
27,17,158,30,72,0.6318,0.8404,0.191,0.756,0.191,0.8404,0.25,0.5622
28,17,143,25,92,0.5776,0.8512,0.156,0.7097,0.156,0.8512,0.2252,0.587
