round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,18,143,28,88,0.5812,0.8363,0.1698,0.7114,0.1698,0.8363,0.2368,0.5942
2,19,147,26,85,0.5993,0.8497,0.1827,0.7259,0.1827,0.8497,0.255,0.6154
3,26,153,29,69,0.6462,0.8407,0.2737,0.7574,0.2737,0.8407,0.3467,0.6519
4,11,137,45,84,0.5343,0.7527,0.1158,0.6799,0.1158,0.7527,0.1457,0.5586
5,31,135,35,76,0.5993,0.7941,0.2897,0.7087,0.2897,0.7941,0.3584,0.6242
6,15,165,24,73,0.6498,0.873,0.1705,0.7728,0.1705,0.873,0.2362,0.5985
7,18,147,35,77,0.5957,0.8077,0.1895,0.7241,0.1895,0.8077,0.2432,0.6542
8,15,152,30,80,0.6029,0.8352,0.1579,0.7343,0.1579,0.8352,0.2143,0.6154
9,30,135,35,77,0.5957,0.7941,0.2804,0.7068,0.2804,0.7941,0.3488,0.5931
10,23,155,31,68,0.6426,0.8333,0.2527,0.7579,0.2527,0.8333,0.3172,0.6036
11,16,156,28,77,0.6209,0.8478,0.172,0.7482,0.172,0.8478,0.2336,0.6103
12,17,159,29,72,0.6354,0.8457,0.191,0.7589,0.191,0.8457,0.2519,0.615
13,17,153,28,79,0.6137,0.8453,0.1771,0.7409,0.1771,0.8453,0.2411,0.5824
14,24,134,24,95,0.5704,0.8481,0.2017,0.6925,0.2017,0.8481,0.2874,0.6393
15,22,132,21,102,0.556,0.8627,0.1774,0.6822,0.1774,0.8627,0.2635,0.6455
16,19,152,26,80,0.6173,0.8539,0.1919,0.7415,0.1919,0.8539,0.2639,0.6087
17,21,148,26,82,0.6101,0.8506,0.2039,0.7327,0.2039,0.8506,0.28,0.6054
18,26,144,35,72,0.6137,0.8045,0.2653,0.7291,0.2653,0.8045,0.327,0.6385
19,20,162,26,69,0.657,0.8617,0.2247,0.7733,0.2247,0.8617,0.2963,0.6795
20,21,144,31,81,0.5957,0.8229,0.2059,0.72,0.2059,0.8229,0.2727,0.6779
21,27,131,36,83,0.5704,0.7844,0.2455,0.6877,0.2455,0.7844,0.3121,0.5971
22,20,155,25,77,0.6318,0.8611,0.2062,0.7524,0.2062,0.8611,0.2817,0.6631
23,22,155,35,65,0.639,0.8158,0.2529,0.7561,0.2529,0.8158,0.3056,0.6171
24,27,123,45,82,0.5415,0.7321,0.2477,0.6595,0.2477,0.7321,0.2983,0.6024
25,31,139,18,89,0.6137,0.8854,0.2583,0.7221,0.2583,0.8854,0.3669,0.6695
26,22,153,22,80,0.6318,0.8743,0.2157,0.75,0.2157,0.8743,0.3014,0.6699
27,16,158,30,73,0.6282,0.8404,0.1798,0.7542,0.1798,0.8404,0.237,0.573
28,18,140,28,91,0.5704,0.8333,0.1651,0.7018,0.1651,0.8333,0.2323,0.6111
29,22,158,21,76,0.6498,0.8827,0.2245,0.7651,0.2245,0.8827,0.3121,0.6856
30,21,148,25,83,0.6101,0.8555,0.2019,0.7327,0.2019,0.8555,0.28,0.6314
31,15,152,26,84,0.6029,0.8539,0.1515,0.7343,0.1515,0.8539,0.2143,0.6461
32,31,138,27,81,0.6101,0.8364,0.2768,0.7188,0.2768,0.8364,0.3647,0.6797
33,25,137,29,86,0.5848,0.8253,0.2252,0.7044,0.2252,0.8253,0.303,0.6422
34,23,148,33,73,0.6173,0.8177,0.2396,0.7363,0.2396,0.8177,0.3026,0.6103
35,21,151,31,74,0.6209,0.8297,0.2211,0.742,0.2211,0.8297,0.2857,0.6512
36,14,156,26,81,0.6137,0.8571,0.1474,0.7446,0.1474,0.8571,0.2074,0.6221
37,24,154,25,74,0.6426,0.8603,0.2449,0.7568,0.2449,0.8603,0.3265,0.628
38,21,164,21,71,0.6679,0.8865,0.2283,0.781,0.2283,0.8865,0.3134,0.6415
39,25,148,29,75,0.6245,0.8362,0.25,0.74,0.25,0.8362,0.3247,0.5973
40,22,143,30,82,0.5957,0.8266,0.2115,0.7186,0.2115,0.8266,0.2821,0.6223
41,26,154,31,66,0.6498,0.8324,0.2826,0.7605,0.2826,0.8324,0.349,0.6587
42,21,125,29,102,0.5271,0.8117,0.1707,0.6562,0.1707,0.8117,0.2428,0.5884
43,17,143,29,88,0.5776,0.8314,0.1619,0.7097,0.1619,0.8314,0.2252,0.5919
44,25,138,32,82,0.5884,0.8118,0.2336,0.7077,0.2336,0.8118,0.3049,0.5868
45,23,147,27,80,0.6137,0.8448,0.2233,0.7332,0.2233,0.8448,0.3007,0.6395
46,24,139,30,84,0.5884,0.8225,0.2222,0.7092,0.2222,0.8225,0.2963,0.6172
47,19,152,27,79,0.6173,0.8492,0.1939,0.7415,0.1939,0.8492,0.2639,0.6439
48,19,152,28,78,0.6173,0.8444,0.1959,0.7415,0.1959,0.8444,0.2639,0.6003
49,22,131,33,91,0.5523,0.7988,0.1947,0.6788,0.1947,0.7988,0.2619,0.5988
50,24,146,27,80,0.6137,0.8439,0.2308,0.7318,0.2308,0.8439,0.3097,0.6099
51,21,150,30,76,0.6173,0.8333,0.2165,0.7389,0.2165,0.8333,0.2838,0.6293
52,16,143,28,90,0.574,0.8363,0.1509,0.7079,0.1509,0.8363,0.2133,0.6358
53,18,133,42,84,0.5451,0.76,0.1765,0.6786,0.1765,0.76,0.2222,0.5585
54,26,138,28,85,0.5921,0.8313,0.2342,0.7095,0.2342,0.8313,0.3152,0.6533
55,25,150,25,77,0.6318,0.8571,0.2451,0.7463,0.2451,0.8571,0.3289,0.6676
56,22,155,23,77,0.639,0.8708,0.2222,0.7561,0.2222,0.8708,0.3056,0.6428
57,23,144,25,85,0.6029,0.8521,0.213,0.7236,0.213,0.8521,0.2949,0.6205
58,20,144,29,84,0.5921,0.8324,0.1923,0.7182,0.1923,0.8324,0.2614,0.6416
59,27,131,35,84,0.5704,0.7892,0.2432,0.6877,0.2432,0.7892,0.3121,0.5972
60,21,157,21,78,0.6426,0.882,0.2121,0.7603,0.2121,0.882,0.2979,0.6525
61,24,140,24,89,0.5921,0.8537,0.2124,0.7125,0.2124,0.8537,0.2981,0.6515
62,31,149,27,70,0.6498,0.8466,0.3069,0.7544,0.3069,0.8466,0.3899,0.6481
63,19,148,25,85,0.6029,0.8555,0.1827,0.7291,0.1827,0.8555,0.2568,0.6267
64,23,155,21,78,0.6426,0.8807,0.2277,0.7579,0.2277,0.8807,0.3172,0.6064
