round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,9,183,12,80,0.6761,0.9385,0.1011,0.7991,0.1011,0.9385,0.1636,0.5256
2,6,181,22,75,0.6585,0.8916,0.0741,0.7887,0.0741,0.8916,0.1101,0.5061
3,9,189,13,73,0.6972,0.9356,0.1098,0.8147,0.1098,0.9356,0.1731,0.4629
4,2,194,17,71,0.6901,0.9194,0.0274,0.8151,0.0274,0.9194,0.0435,0.4236
5,9,180,18,77,0.6655,0.9091,0.1047,0.7912,0.1047,0.9091,0.1593,0.455
6,10,182,25,67,0.6761,0.8792,0.1299,0.7982,0.1299,0.8792,0.1786,0.5146
7,10,189,13,72,0.7007,0.9356,0.122,0.8164,0.122,0.9356,0.1905,0.5466
8,9,190,23,62,0.7007,0.892,0.1268,0.8172,0.1268,0.892,0.1748,0.463
9,12,178,14,80,0.669,0.9271,0.1304,0.7911,0.1304,0.9271,0.2034,0.5083
10,6,200,12,66,0.7254,0.9434,0.0833,0.8368,0.0833,0.9434,0.1333,0.4349
11,6,187,17,74,0.6796,0.9167,0.075,0.8043,0.075,0.9167,0.1165,0.3999
12,7,183,23,71,0.669,0.8883,0.0897,0.7957,0.0897,0.8883,0.1296,0.4025
13,9,188,13,74,0.6937,0.9353,0.1084,0.8121,0.1084,0.9353,0.1714,0.442
14,9,182,10,83,0.6725,0.9479,0.0978,0.7965,0.0978,0.9479,0.1622,0.4776
15,12,182,10,80,0.6831,0.9479,0.1304,0.8018,0.1304,0.9479,0.2105,0.5502
16,8,177,27,72,0.6514,0.8676,0.1,0.7815,0.1,0.8676,0.1391,0.4765
17,4,183,13,84,0.6585,0.9337,0.0455,0.7905,0.0455,0.9337,0.0762,0.4177
18,2,199,15,68,0.7077,0.9299,0.0286,0.8274,0.0286,0.9299,0.046,0.4307
19,9,200,17,58,0.7359,0.9217,0.1343,0.8421,0.1343,0.9217,0.1935,0.4566
20,7,185,14,78,0.6761,0.9296,0.0824,0.8009,0.0824,0.9296,0.1321,0.4593
21,10,184,18,72,0.6831,0.9109,0.122,0.8035,0.122,0.9109,0.1818,0.4562
22,7,192,16,69,0.7007,0.9231,0.0921,0.8188,0.0921,0.9231,0.1414,0.4858
23,6,194,19,65,0.7042,0.9108,0.0845,0.822,0.0845,0.9108,0.125,0.483
24,10,178,16,80,0.662,0.9175,0.1111,0.7876,0.1111,0.9175,0.1724,0.4743
25,9,162,16,97,0.6021,0.9101,0.0849,0.7414,0.0849,0.9101,0.1374,0.4642
26,8,197,11,68,0.7218,0.9471,0.1053,0.833,0.1053,0.9471,0.1684,0.4574
27,10,193,21,60,0.7148,0.9019,0.1429,0.8266,0.1429,0.9019,0.198,0.5053
28,12,179,15,78,0.6725,0.9227,0.1333,0.7938,0.1333,0.9227,0.2051,0.4578
29,7,182,19,76,0.6655,0.9055,0.0843,0.793,0.0843,0.9055,0.1284,0.4596
30,7,180,21,76,0.6585,0.8955,0.0843,0.7877,0.0843,0.8955,0.1261,0.4443
31,4,192,11,77,0.6901,0.9458,0.0494,0.8136,0.0494,0.9458,0.0833,0.5027
32,7,179,13,85,0.6549,0.9323,0.0761,0.7851,0.0761,0.9323,0.125,0.4127
33,9,175,13,87,0.6479,0.9309,0.0938,0.7778,0.0938,0.9309,0.1525,0.4807
34,10,192,17,65,0.7113,0.9187,0.1333,0.824,0.1333,0.9187,0.1961,0.4691
35,6,178,21,79,0.6479,0.8945,0.0706,0.7807,0.0706,0.8945,0.1071,0.4676
36,7,193,15,69,0.7042,0.9279,0.0921,0.8213,0.0921,0.9279,0.1429,0.4953
37,7,193,12,72,0.7042,0.9415,0.0886,0.8213,0.0886,0.9415,0.1429,0.4654
38,6,188,14,76,0.6831,0.9307,0.0732,0.8069,0.0732,0.9307,0.1176,0.4691
39,8,185,12,79,0.6796,0.9391,0.092,0.8026,0.092,0.9391,0.1495,0.5198
40,12,192,11,69,0.7183,0.9458,0.1481,0.8276,0.1481,0.9458,0.2308,0.5045
41,10,181,14,79,0.6725,0.9282,0.1124,0.7956,0.1124,0.9282,0.177,0.4985
42,11,166,23,84,0.6232,0.8783,0.1158,0.7563,0.1158,0.8783,0.1705,0.4237
43,12,181,16,75,0.6796,0.9188,0.1379,0.7991,0.1379,0.9188,0.2087,0.5016
44,10,186,15,73,0.6901,0.9254,0.1205,0.8087,0.1205,0.9254,0.1852,0.5028
45,4,190,10,80,0.6831,0.95,0.0476,0.8085,0.0476,0.95,0.0816,0.4551
46,7,187,13,77,0.6831,0.935,0.0833,0.806,0.0833,0.935,0.1346,0.3978
47,5,187,15,77,0.6761,0.9257,0.061,0.8026,0.061,0.9257,0.098,0.4247
48,7,195,11,71,0.7113,0.9466,0.0897,0.8263,0.0897,0.9466,0.1458,0.4547
49,4,182,14,84,0.6549,0.9286,0.0455,0.7879,0.0455,0.9286,0.0755,0.4756
50,6,182,12,84,0.662,0.9381,0.0667,0.7913,0.0667,0.9381,0.1111,0.4297
51,9,199,13,63,0.7324,0.9387,0.125,0.8397,0.125,0.9387,0.1915,0.4093
52,6,184,15,79,0.669,0.9246,0.0706,0.7965,0.0706,0.9246,0.1132,0.4106
53,5,173,25,81,0.6268,0.8737,0.0581,0.7655,0.0581,0.8737,0.0862,0.3888
54,4,177,23,80,0.6373,0.885,0.0476,0.7746,0.0476,0.885,0.0721,0.393
55,7,184,18,75,0.6725,0.9109,0.0854,0.7983,0.0854,0.9109,0.1308,0.4734
