round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,10,189,6,79,0.7007,0.9692,0.1124,0.8164,0.1124,0.9692,0.1905,0.6831
2,6,187,16,75,0.6796,0.9212,0.0741,0.8043,0.0741,0.9212,0.1165,0.5796
3,11,195,7,71,0.7254,0.9653,0.1341,0.8333,0.1341,0.9653,0.22,0.6233
4,4,203,8,69,0.7289,0.9621,0.0548,0.8406,0.0548,0.9621,0.0941,0.5913
5,11,188,10,75,0.7007,0.9495,0.1279,0.8156,0.1279,0.9495,0.2056,0.6137
6,11,192,15,66,0.7148,0.9275,0.1429,0.8258,0.1429,0.9275,0.2136,0.6495
7,11,195,7,71,0.7254,0.9653,0.1341,0.8333,0.1341,0.9653,0.22,0.6676
8,9,202,11,62,0.743,0.9484,0.1268,0.847,0.1268,0.9484,0.1978,0.5822
9,15,182,10,77,0.6937,0.9479,0.163,0.8071,0.163,0.9479,0.2564,0.6402
10,7,205,7,65,0.7465,0.967,0.0972,0.8506,0.0972,0.967,0.1628,0.6226
11,7,195,9,73,0.7113,0.9559,0.0875,0.8263,0.0875,0.9559,0.1458,0.6427
12,7,190,16,71,0.6937,0.9223,0.0897,0.8137,0.0897,0.9223,0.1386,0.6311
13,10,193,8,73,0.7148,0.9602,0.1205,0.8266,0.1205,0.9602,0.198,0.601
14,9,187,5,83,0.6901,0.974,0.0978,0.8095,0.0978,0.974,0.1698,0.6249
15,13,188,4,79,0.7077,0.9792,0.1413,0.8192,0.1413,0.9792,0.2385,0.6027
16,9,190,14,71,0.7007,0.9314,0.1125,0.8172,0.1125,0.9314,0.1748,0.6487
17,6,188,8,82,0.6831,0.9592,0.0682,0.8069,0.0682,0.9592,0.1176,0.6288
18,3,204,10,67,0.7289,0.9533,0.0429,0.8412,0.0429,0.9533,0.0723,0.6011
19,9,208,9,58,0.7641,0.9585,0.1343,0.8613,0.1343,0.9585,0.2118,0.6428
20,9,191,8,76,0.7042,0.9598,0.1059,0.8197,0.1059,0.9598,0.1765,0.5879
21,10,194,8,72,0.7183,0.9604,0.122,0.8291,0.122,0.9604,0.2,0.5874
22,7,198,10,69,0.7218,0.9519,0.0921,0.8337,0.0921,0.9519,0.1505,0.6527
23,7,200,13,64,0.7289,0.939,0.0986,0.8386,0.0986,0.939,0.1538,0.6008
24,12,185,9,78,0.6937,0.9536,0.1333,0.8096,0.1333,0.9536,0.2162,0.6578
25,9,169,9,97,0.6268,0.9494,0.0849,0.7613,0.0849,0.9494,0.1452,0.6258
26,10,203,5,66,0.75,0.976,0.1316,0.8512,0.1316,0.976,0.2198,0.6524
27,10,200,14,60,0.7394,0.9346,0.1429,0.8439,0.1429,0.9346,0.2128,0.6762
28,12,185,9,78,0.6937,0.9536,0.1333,0.8096,0.1333,0.9536,0.2162,0.5666
29,7,191,10,76,0.6972,0.9502,0.0843,0.8162,0.0843,0.9502,0.14,0.6192
30,8,189,12,75,0.6937,0.9403,0.0964,0.8129,0.0964,0.9403,0.1553,0.5914
31,5,198,5,76,0.7148,0.9754,0.0617,0.8302,0.0617,0.9754,0.1099,0.626
32,9,187,5,83,0.6901,0.974,0.0978,0.8095,0.0978,0.974,0.1698,0.5773
33,9,180,8,87,0.6655,0.9574,0.0938,0.7912,0.0938,0.9574,0.1593,0.66
34,10,202,7,65,0.7465,0.9665,0.1333,0.8487,0.1333,0.9665,0.2174,0.5991
35,6,189,10,79,0.6866,0.9497,0.0706,0.8094,0.0706,0.9497,0.1188,0.6115
36,8,201,7,68,0.7359,0.9663,0.1053,0.8428,0.1053,0.9663,0.1758,0.6309
37,7,196,9,72,0.7148,0.9561,0.0886,0.8288,0.0886,0.9561,0.1474,0.6138
