round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,21,50,6,7,0.8452,0.8929,0.75,0.885,0.75,0.8929,0.7636,0.868
2,19,47,9,9,0.7857,0.8393,0.6786,0.8393,0.6786,0.8393,0.6786,0.8221
3,20,53,1,10,0.869,0.9815,0.6667,0.906,0.6667,0.9815,0.7843,0.8358
4,24,43,8,9,0.7976,0.8431,0.7273,0.835,0.7273,0.8431,0.7385,0.8717
5,25,46,5,8,0.8452,0.902,0.7576,0.8762,0.7576,0.902,0.7937,0.9014
6,18,52,3,11,0.8333,0.9455,0.6207,0.8814,0.6207,0.9455,0.72,0.8414
7,23,51,4,6,0.881,0.9273,0.7931,0.9107,0.7931,0.9273,0.8214,0.8828
8,19,48,7,10,0.7976,0.8727,0.6552,0.8496,0.6552,0.8727,0.6909,0.8345
9,28,43,4,9,0.8452,0.9149,0.7568,0.8687,0.7568,0.9149,0.8116,0.8557
10,18,44,8,14,0.7381,0.8462,0.5625,0.8,0.5625,0.8462,0.6207,0.735
11,23,48,7,6,0.8452,0.8727,0.7931,0.8807,0.7931,0.8727,0.7797,0.8646
12,23,44,11,6,0.7976,0.8,0.7931,0.8381,0.7931,0.8,0.7302,0.8257
13,16,48,7,13,0.7619,0.8727,0.5517,0.8276,0.5517,0.8727,0.6154,0.8389
14,16,55,3,10,0.8452,0.9483,0.6154,0.8943,0.6154,0.9483,0.7111,0.8322
15,25,41,8,10,0.7857,0.8367,0.7143,0.82,0.7143,0.8367,0.7353,0.8653
16,18,42,7,17,0.7143,0.8571,0.5143,0.7778,0.5143,0.8571,0.6,0.7808
17,17,47,4,16,0.7619,0.9216,0.5152,0.8246,0.5152,0.9216,0.6296,0.7986
18,23,47,4,10,0.8333,0.9216,0.697,0.8704,0.697,0.9216,0.7667,0.8824
19,20,44,10,10,0.7619,0.8148,0.6667,0.8148,0.6667,0.8148,0.6667,0.7877
20,25,47,5,7,0.8571,0.9038,0.7812,0.8868,0.7812,0.9038,0.8065,0.8732
21,23,44,5,12,0.7976,0.898,0.6571,0.8381,0.6571,0.898,0.7302,0.7848
22,20,49,6,9,0.8214,0.8909,0.6897,0.8673,0.6897,0.8909,0.7273,0.8301
23,14,57,4,9,0.8452,0.9344,0.6087,0.8976,0.6087,0.9344,0.6829,0.809
24,22,45,7,10,0.7976,0.8654,0.6875,0.8411,0.6875,0.8654,0.7213,0.8185
25,14,56,8,6,0.8333,0.875,0.7,0.8889,0.7,0.875,0.6667,0.8063
26,17,43,8,16,0.7143,0.8431,0.5152,0.7818,0.5152,0.8431,0.5862,0.7332
27,23,52,2,7,0.8929,0.963,0.7667,0.9204,0.7667,0.963,0.8364,0.9173
28,26,49,4,5,0.8929,0.9245,0.8387,0.9159,0.8387,0.9245,0.8525,0.8935
29,22,48,4,10,0.8333,0.9231,0.6875,0.8727,0.6875,0.9231,0.7586,0.8936
30,29,41,5,9,0.8333,0.8913,0.7632,0.8542,0.7632,0.8913,0.8056,0.8455
31,18,46,8,12,0.7619,0.8519,0.6,0.8214,0.6,0.8519,0.6429,0.8364
