round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,21,46,10,7,0.7976,0.8214,0.75,0.844,0.75,0.8214,0.7119,0.8699
2,18,42,14,10,0.7143,0.75,0.6429,0.7778,0.6429,0.75,0.6,0.824
3,19,43,11,11,0.7381,0.7963,0.6333,0.7963,0.6333,0.7963,0.6333,0.8735
4,26,42,9,7,0.8095,0.8235,0.7879,0.84,0.7879,0.8235,0.7647,0.8966
5,27,42,9,6,0.8214,0.8235,0.8182,0.8485,0.8182,0.8235,0.7826,0.9121
6,18,44,11,11,0.7381,0.8,0.6207,0.8,0.6207,0.8,0.6207,0.8426
7,25,43,12,4,0.8095,0.7818,0.8621,0.8431,0.8621,0.7818,0.7576,0.916
8,20,40,15,9,0.7143,0.7273,0.6897,0.7692,0.6897,0.7273,0.625,0.8382
9,26,35,12,11,0.7262,0.7447,0.7027,0.7527,0.7027,0.7447,0.6933,0.8545
10,19,39,13,13,0.6905,0.75,0.5938,0.75,0.5938,0.75,0.5938,0.8029
11,21,42,13,8,0.75,0.7636,0.7241,0.8,0.7241,0.7636,0.6667,0.8257
12,24,39,16,5,0.75,0.7091,0.8276,0.7879,0.8276,0.7091,0.6957,0.8652
13,18,45,10,11,0.75,0.8182,0.6207,0.8108,0.6207,0.8182,0.6316,0.8545
14,16,47,11,10,0.75,0.8103,0.6154,0.8174,0.6154,0.8103,0.6038,0.8541
15,27,40,9,8,0.7976,0.8163,0.7714,0.8247,0.7714,0.8163,0.7606,0.9143
16,20,37,12,15,0.6786,0.7551,0.5714,0.7327,0.5714,0.7551,0.597,0.8
17,20,41,10,13,0.7262,0.8039,0.6061,0.781,0.6061,0.8039,0.6349,0.8443
18,22,44,7,11,0.7857,0.8627,0.6667,0.8302,0.6667,0.8627,0.7097,0.9043
19,19,42,12,11,0.7262,0.7778,0.6333,0.785,0.6333,0.7778,0.623,0.7889
20,24,43,9,8,0.7976,0.8269,0.75,0.835,0.75,0.8269,0.7385,0.8924
21,22,38,11,13,0.7143,0.7755,0.6286,0.76,0.6286,0.7755,0.6471,0.8076
22,19,47,8,10,0.7857,0.8545,0.6552,0.8393,0.6552,0.8545,0.6786,0.8257
23,14,51,10,9,0.7738,0.8361,0.6087,0.843,0.6087,0.8361,0.5957,0.8432
24,23,40,12,9,0.75,0.7692,0.7188,0.7921,0.7188,0.7692,0.6866,0.8504
25,15,50,14,5,0.7738,0.7812,0.75,0.8403,0.75,0.7812,0.6122,0.8648
26,17,41,10,16,0.6905,0.8039,0.5152,0.7593,0.5152,0.8039,0.5667,0.7742
27,25,45,9,5,0.8333,0.8333,0.8333,0.8654,0.8333,0.8333,0.7812,0.9377
28,24,44,9,7,0.8095,0.8302,0.7742,0.8462,0.7742,0.8302,0.75,0.916
29,22,49,3,10,0.8452,0.9423,0.6875,0.8829,0.6875,0.9423,0.7719,0.9213
30,29,34,12,9,0.75,0.7391,0.7632,0.764,0.7632,0.7391,0.7342,0.8924
31,18,42,12,12,0.7143,0.7778,0.6,0.7778,0.6,0.7778,0.6,0.8037
32,24,44,8,8,0.8095,0.8462,0.75,0.8462,0.75,0.8462,0.75,0.8906
33,25,32,17,10,0.6786,0.6531,0.7143,0.7033,0.7143,0.6531,0.6494,0.8122
34,28,32,15,9,0.7143,0.6809,0.7568,0.7273,0.7568,0.6809,0.7,0.8286
35,22,38,10,14,0.7143,0.7917,0.6111,0.76,0.6111,0.7917,0.6471,0.8519
36,28,33,12,11,0.7262,0.7333,0.7179,0.7416,0.7179,0.7333,0.7089,0.8393
37,23,41,6,14,0.7619,0.8723,0.6216,0.8039,0.6216,0.8723,0.697,0.8769
38,18,43,13,10,0.7262,0.7679,0.6429,0.789,0.6429,0.7679,0.6102,0.8482
39,23,42,10,9,0.7738,0.8077,0.7188,0.8155,0.7188,0.8077,0.7077,0.8864
40,23,38,13,10,0.7262,0.7451,0.697,0.7677,0.697,0.7451,0.6667,0.8485
41,17,44,13,10,0.7262,0.7719,0.6296,0.7928,0.6296,0.7719,0.5965,0.8694
42,23,45,6,10,0.8095,0.8824,0.697,0.8491,0.697,0.8824,0.7419,0.8788
43,20,38,12,14,0.6905,0.76,0.5882,0.7451,0.5882,0.76,0.6061,0.7629
44,19,45,12,8,0.7619,0.7895,0.7037,0.8182,0.7037,0.7895,0.6552,0.8811
45,23,37,11,13,0.7143,0.7708,0.6389,0.7551,0.6389,0.7708,0.6571,0.8183
46,22,37,14,11,0.7024,0.7255,0.6667,0.7475,0.6667,0.7255,0.6377,0.7974
47,14,49,14,7,0.75,0.7778,0.6667,0.8235,0.6667,0.7778,0.5714,0.8156
48,19,36,14,15,0.6548,0.72,0.5588,0.7129,0.5588,0.72,0.5672,0.7959
49,24,43,13,4,0.7976,0.7679,0.8571,0.835,0.8571,0.7679,0.7385,0.9222
50,19,42,9,14,0.7262,0.8235,0.5758,0.785,0.5758,0.8235,0.623,0.82
51,24,41,11,8,0.7738,0.7885,0.75,0.8119,0.75,0.7885,0.7164,0.8846
52,23,41,9,11,0.7619,0.82,0.6765,0.8039,0.6765,0.82,0.697,0.9035
53,18,47,6,13,0.7738,0.8868,0.5806,0.8319,0.5806,0.8868,0.6545,0.8369
54,28,36,9,11,0.7619,0.8,0.7179,0.7826,0.7179,0.8,0.7368,0.8991
55,25,36,8,15,0.7262,0.8182,0.625,0.7579,0.625,0.8182,0.6849,0.8244
56,25,46,5,8,0.8452,0.902,0.7576,0.8762,0.7576,0.902,0.7937,0.8978
57,21,43,11,9,0.7619,0.7963,0.7,0.8113,0.7,0.7963,0.6774,0.8469
58,23,41,13,7,0.7619,0.7593,0.7667,0.8039,0.7667,0.7593,0.697,0.8716
59,21,38,12,13,0.7024,0.76,0.6176,0.7525,0.6176,0.76,0.6269,0.8053
60,23,41,13,7,0.7619,0.7593,0.7667,0.8039,0.7667,0.7593,0.697,0.8772
61,23,42,11,8,0.7738,0.7925,0.7419,0.8155,0.7419,0.7925,0.7077,0.8844
62,21,42,9,12,0.75,0.8235,0.6364,0.8,0.6364,0.8235,0.6667,0.8372
63,19,44,15,6,0.75,0.7458,0.76,0.8073,0.76,0.7458,0.6441,0.8997
