round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,22,47,9,6,0.8214,0.8393,0.7857,0.8624,0.7857,0.8393,0.7458,0.8763
2,19,45,11,9,0.7619,0.8036,0.6786,0.8182,0.6786,0.8036,0.6552,0.8374
3,19,49,5,11,0.8095,0.9074,0.6333,0.8596,0.6333,0.9074,0.7037,0.8852
4,29,45,6,4,0.881,0.8824,0.8788,0.9,0.8788,0.8824,0.8529,0.918
5,28,43,8,5,0.8452,0.8431,0.8485,0.8687,0.8485,0.8431,0.8116,0.9168
6,19,47,8,10,0.7857,0.8545,0.6552,0.8393,0.6552,0.8545,0.6786,0.8784
7,25,45,10,4,0.8333,0.8182,0.8621,0.8654,0.8621,0.8182,0.7813,0.9003
8,21,45,10,8,0.7857,0.8182,0.7241,0.8333,0.7241,0.8182,0.7,0.842
9,28,37,10,9,0.7738,0.7872,0.7568,0.7957,0.7568,0.7872,0.7467,0.8442
10,19,40,12,13,0.7024,0.7692,0.5938,0.7619,0.5938,0.7692,0.6032,0.7608
11,21,45,10,8,0.7857,0.8182,0.7241,0.8333,0.7241,0.8182,0.7,0.832
12,25,41,14,4,0.7857,0.7455,0.8621,0.82,0.8621,0.7455,0.7353,0.8489
13,18,45,10,11,0.75,0.8182,0.6207,0.8108,0.6207,0.8182,0.6316,0.8495
14,18,51,7,8,0.8214,0.8793,0.6923,0.8718,0.6923,0.8793,0.7059,0.8767
15,28,39,10,7,0.7976,0.7959,0.8,0.8211,0.8,0.7959,0.7671,0.9032
16,21,38,11,14,0.7024,0.7755,0.6,0.7525,0.6,0.7755,0.6269,0.8292
17,22,44,7,11,0.7857,0.8627,0.6667,0.8302,0.6667,0.8627,0.7097,0.8176
18,24,44,7,9,0.8095,0.8627,0.7273,0.8462,0.7273,0.8627,0.75,0.9031
19,19,46,8,11,0.7738,0.8519,0.6333,0.8288,0.6333,0.8519,0.6667,0.7988
20,25,46,6,7,0.8452,0.8846,0.7812,0.8762,0.7812,0.8846,0.7937,0.8894
21,22,41,8,13,0.75,0.8367,0.6286,0.7961,0.6286,0.8367,0.6769,0.821
22,19,46,9,10,0.7738,0.8364,0.6552,0.8288,0.6552,0.8364,0.6667,0.8282
23,15,54,7,8,0.8214,0.8852,0.6522,0.878,0.6522,0.8852,0.6667,0.8339
24,24,41,11,8,0.7738,0.7885,0.75,0.8119,0.75,0.7885,0.7164,0.8341
25,15,53,11,5,0.8095,0.8281,0.75,0.8689,0.75,0.8281,0.6522,0.8766
26,23,41,10,10,0.7619,0.8039,0.697,0.8039,0.697,0.8039,0.697,0.7903
27,25,46,8,5,0.8452,0.8519,0.8333,0.8762,0.8333,0.8519,0.7937,0.9259
28,24,43,10,7,0.7976,0.8113,0.7742,0.835,0.7742,0.8113,0.7385,0.9014
29,23,50,2,9,0.869,0.9615,0.7188,0.9009,0.7188,0.9615,0.807,0.9285
30,31,40,6,7,0.8452,0.8696,0.8158,0.8602,0.8158,0.8696,0.8267,0.8856
31,21,45,9,9,0.7857,0.8333,0.7,0.8333,0.7,0.8333,0.7,0.8463
32,24,45,7,8,0.8214,0.8654,0.75,0.8571,0.75,0.8654,0.7619,0.8984
33,26,39,10,9,0.7738,0.7959,0.7429,0.8041,0.7429,0.7959,0.7324,0.8344
34,29,33,14,8,0.7381,0.7021,0.7838,0.75,0.7838,0.7021,0.725,0.8453
35,25,42,6,11,0.7976,0.875,0.6944,0.8317,0.6944,0.875,0.7463,0.8796
36,28,36,9,11,0.7619,0.8,0.7179,0.7826,0.7179,0.8,0.7368,0.833
37,25,45,2,12,0.8333,0.9574,0.6757,0.8654,0.6757,0.9574,0.7813,0.9086
38,20,43,13,8,0.75,0.7679,0.7143,0.8037,0.7143,0.7679,0.6557,0.8157
39,23,47,5,9,0.8333,0.9038,0.7188,0.8704,0.7188,0.9038,0.7667,0.8924
40,27,40,11,6,0.7976,0.7843,0.8182,0.8247,0.8182,0.7843,0.7606,0.8532
41,18,48,9,9,0.7857,0.8421,0.6667,0.8421,0.6667,0.8421,0.6667,0.8772
42,23,46,5,10,0.8214,0.902,0.697,0.8598,0.697,0.902,0.7541,0.8853
43,20,38,12,14,0.6905,0.76,0.5882,0.7451,0.5882,0.76,0.6061,0.7653
44,19,47,10,8,0.7857,0.8246,0.7037,0.8393,0.7037,0.8246,0.6786,0.8674
45,23,41,7,13,0.7619,0.8542,0.6389,0.8039,0.6389,0.8542,0.697,0.809
46,23,39,12,10,0.7381,0.7647,0.697,0.78,0.697,0.7647,0.6765,0.8188
47,14,53,10,7,0.7976,0.8413,0.6667,0.8618,0.6667,0.8413,0.6222,0.8284
48,21,40,10,13,0.7262,0.8,0.6176,0.7767,0.6176,0.8,0.6462,0.8324
49,24,47,9,4,0.8452,0.8393,0.8571,0.8785,0.8571,0.8393,0.7869,0.9235
50,20,43,8,13,0.75,0.8431,0.6061,0.8037,0.6061,0.8431,0.6557,0.8158
51,25,43,9,7,0.8095,0.8269,0.7812,0.8431,0.7812,0.8269,0.7576,0.8774
52,25,45,5,9,0.8333,0.9,0.7353,0.8654,0.7353,0.9,0.7812,0.9235
53,18,47,6,13,0.7738,0.8868,0.5806,0.8319,0.5806,0.8868,0.6545,0.8558
54,29,38,7,10,0.7976,0.8444,0.7436,0.8172,0.7436,0.8444,0.7733,0.9214
55,26,38,6,14,0.7619,0.8636,0.65,0.7917,0.65,0.8636,0.7222,0.829
56,25,47,4,8,0.8571,0.9216,0.7576,0.8868,0.7576,0.9216,0.8065,0.8728
57,22,44,10,8,0.7857,0.8148,0.7333,0.8302,0.7333,0.8148,0.7097,0.8426
58,24,41,13,6,0.7738,0.7593,0.8,0.8119,0.8,0.7593,0.7164,0.8321
59,22,41,9,12,0.75,0.82,0.6471,0.7961,0.6471,0.82,0.6769,0.7829
