round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,27,27,1,1,0.9643,0.9643,0.9643,0.9643,0.9668
2,19,34,1,2,0.9464,0.9048,0.9714,0.9268,0.9238
3,17,36,2,1,0.9464,0.9444,0.9474,0.9189,0.9503
4,21,31,4,0,0.9286,1.0,0.8857,0.913,0.9755
5,24,27,5,0,0.9107,1.0,0.8438,0.9057,0.9831
6,16,36,2,2,0.9286,0.8889,0.9474,0.8889,0.9035
7,19,31,5,1,0.8929,0.95,0.8611,0.8636,0.9306
8,15,35,4,2,0.8929,0.8824,0.8974,0.8333,0.905
9,21,32,3,0,0.9464,1.0,0.9143,0.9333,0.9796
10,21,33,0,2,0.9643,0.913,1.0,0.9545,0.9341
11,18,33,4,1,0.9107,0.9474,0.8919,0.878,0.9118
12,18,38,0,0,1.0,1.0,1.0,1.0,1.0
13,20,36,0,0,1.0,1.0,1.0,1.0,1.0
14,18,35,2,1,0.9464,0.9474,0.9459,0.9231,0.9502
15,24,31,1,0,0.9821,1.0,0.9688,0.9796,1.0
16,16,35,5,0,0.9107,1.0,0.875,0.8649,0.9844
17,21,34,0,1,0.9821,0.9545,1.0,0.9767,0.9626
18,21,32,2,1,0.9464,0.9545,0.9412,0.9333,0.9519
19,13,42,1,0,0.9821,1.0,0.9767,0.963,1.0
20,23,31,1,1,0.9643,0.9583,0.9688,0.9583,0.9622
21,16,32,7,1,0.8571,0.9412,0.8205,0.8,0.9457
22,16,36,3,1,0.9286,0.9412,0.9231,0.8889,0.9457
23,21,25,5,5,0.8214,0.8077,0.8333,0.8077,0.7974
24,20,32,4,0,0.9286,1.0,0.8889,0.9091,0.9778
25,15,35,2,4,0.8929,0.7895,0.9459,0.8333,0.8336
26,15,38,2,1,0.9464,0.9375,0.95,0.9091,0.9516
27,16,37,1,2,0.9464,0.8889,0.9737,0.9143,0.902
28,23,31,2,0,0.9643,1.0,0.9394,0.9583,0.9947
29,16,38,1,1,0.9643,0.9412,0.9744,0.9412,0.9563
30,15,37,1,3,0.9286,0.8333,0.9737,0.8824,0.8611
31,18,35,1,2,0.9464,0.9,0.9722,0.9231,0.9111
32,22,33,1,0,0.9821,1.0,0.9706,0.9778,0.9947
33,24,30,1,1,0.9643,0.96,0.9677,0.96,0.9587
34,20,34,2,0,0.9643,1.0,0.9444,0.9524,0.9917
35,21,33,1,1,0.9643,0.9545,0.9706,0.9545,0.9639
36,15,34,3,4,0.875,0.7895,0.9189,0.8108,0.8236
37,15,39,1,1,0.9643,0.9375,0.975,0.9375,0.9547
38,21,32,3,0,0.9464,1.0,0.9143,0.9333,0.9918
39,24,32,0,0,1.0,1.0,1.0,1.0,1.0
40,23,26,6,1,0.875,0.9583,0.8125,0.8679,0.9336
41,21,31,3,1,0.9286,0.9545,0.9118,0.913,0.9599
42,18,35,3,0,0.9464,1.0,0.9211,0.9231,0.9912
43,20,32,2,2,0.9286,0.9091,0.9412,0.9091,0.9091
44,17,36,3,0,0.9464,1.0,0.9231,0.9189,0.994
45,22,33,0,1,0.9821,0.9565,1.0,0.9778,0.9697
46,19,33,4,0,0.9286,1.0,0.8919,0.9048,0.9687
47,19,34,3,0,0.9464,1.0,0.9189,0.9268,0.99
48,23,33,0,0,1.0,1.0,1.0,1.0,1.0
49,16,38,2,0,0.9643,1.0,0.95,0.9412,0.9875
50,22,30,3,1,0.9286,0.9565,0.9091,0.9167,0.9473
51,24,29,1,2,0.9464,0.9231,0.9667,0.9412,0.9436
52,25,27,4,0,0.9286,1.0,0.871,0.9259,0.9845
53,25,28,3,0,0.9464,1.0,0.9032,0.9434,0.9781
54,21,32,2,1,0.9464,0.9545,0.9412,0.9333,0.9479
55,24,31,0,1,0.9821,0.96,1.0,0.9796,0.9755
56,15,39,1,1,0.9643,0.9375,0.975,0.9375,0.9516
57,21,32,0,3,0.9464,0.875,1.0,0.9333,0.918
58,24,29,0,3,0.9464,0.8889,1.0,0.9412,0.9349
59,24,30,1,1,0.9643,0.96,0.9677,0.96,0.9626
60,20,34,1,1,0.9643,0.9524,0.9714,0.9524,0.9619
61,19,34,3,0,0.9464,1.0,0.9189,0.9268,0.9858
62,12,40,4,0,0.9286,1.0,0.9091,0.8571,0.9773
63,15,38,3,0,0.9464,1.0,0.9268,0.9091,0.9854
64,17,35,4,0,0.9286,1.0,0.8974,0.8947,0.9729
65,19,32,2,3,0.9107,0.8636,0.9412,0.8837,0.893
66,25,26,3,2,0.9107,0.9259,0.8966,0.9091,0.9464
67,20,33,3,0,0.9464,1.0,0.9167,0.9302,0.9833
68,22,31,2,1,0.9464,0.9565,0.9394,0.9362,0.9565
69,14,38,2,2,0.9286,0.875,0.95,0.875,0.9
70,18,36,2,0,0.9643,1.0,0.9474,0.9474,0.9825
71,21,31,2,2,0.9286,0.913,0.9394,0.913,0.9394
72,13,40,1,2,0.9464,0.8667,0.9756,0.8966,0.8911
73,23,29,3,1,0.9286,0.9583,0.9062,0.92,0.9388
74,24,30,1,1,0.9643,0.96,0.9677,0.96,0.9639
75,15,39,1,1,0.9643,0.9375,0.975,0.9375,0.9453
76,19,35,2,0,0.9643,1.0,0.9459,0.95,1.0
