round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,22,52,5,7,0.8605,0.9123,0.7586,0.8966,0.7586,0.9123,0.7857,0.85
2,26,49,9,2,0.8721,0.8448,0.9286,0.8991,0.9286,0.8448,0.8254,0.9113
3,16,59,4,7,0.8721,0.9365,0.6957,0.9147,0.6957,0.9365,0.7442,0.8254
4,19,56,6,5,0.8721,0.9032,0.7917,0.9106,0.7917,0.9032,0.7755,0.8931
5,17,60,7,2,0.8953,0.8955,0.8947,0.9302,0.8947,0.8955,0.7907,0.9269
6,20,53,7,6,0.8488,0.8833,0.7692,0.8908,0.7692,0.8833,0.7547,0.8929
7,17,60,4,5,0.8953,0.9375,0.7727,0.9302,0.7727,0.9375,0.7907,0.7585
8,24,56,5,1,0.9302,0.918,0.96,0.9492,0.96,0.918,0.8889,0.9672
9,23,51,6,6,0.8605,0.8947,0.7931,0.8947,0.7931,0.8947,0.7931,0.908
10,16,63,3,4,0.9186,0.9545,0.8,0.9474,0.8,0.9545,0.8205,0.9106
11,20,57,6,3,0.8953,0.9048,0.8696,0.9268,0.8696,0.9048,0.8163,0.9227
12,28,50,4,4,0.907,0.9259,0.875,0.9259,0.875,0.9259,0.875,0.9005
13,22,56,6,2,0.907,0.9032,0.9167,0.9333,0.9167,0.9032,0.8462,0.9583
14,24,54,2,6,0.907,0.9643,0.8,0.931,0.8,0.9643,0.8571,0.9631
15,25,51,6,4,0.8837,0.8947,0.8621,0.9107,0.8621,0.8947,0.8333,0.902
16,22,53,7,4,0.8721,0.8833,0.8462,0.906,0.8462,0.8833,0.8,0.8615
17,17,56,8,5,0.8488,0.875,0.7727,0.896,0.7727,0.875,0.7234,0.8658
18,28,49,4,5,0.8953,0.9245,0.8485,0.9159,0.8485,0.9245,0.8615,0.8999
19,28,52,3,3,0.9302,0.9455,0.9032,0.9455,0.9032,0.9455,0.9032,0.9308
20,19,59,5,3,0.907,0.9219,0.8636,0.9365,0.8636,0.9219,0.8261,0.9432
21,22,58,4,2,0.9302,0.9355,0.9167,0.9508,0.9167,0.9355,0.88,0.9328
22,20,55,7,4,0.8721,0.8871,0.8333,0.9091,0.8333,0.8871,0.7843,0.8784
23,20,58,6,2,0.907,0.9062,0.9091,0.9355,0.9091,0.9062,0.8333,0.9666
24,19,61,2,4,0.9302,0.9683,0.8261,0.9531,0.8261,0.9683,0.8636,0.922
