round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,22,50,7,7,0.8372,0.8772,0.7586,0.8772,0.7586,0.8772,0.7586,0.8851
2,26,49,9,2,0.8721,0.8448,0.9286,0.8991,0.9286,0.8448,0.8254,0.8984
3,16,59,4,7,0.8721,0.9365,0.6957,0.9147,0.6957,0.9365,0.7442,0.8882
4,19,54,8,5,0.8488,0.871,0.7917,0.8926,0.7917,0.871,0.7451,0.9254
5,17,60,7,2,0.8953,0.8955,0.8947,0.9302,0.8947,0.8955,0.7907,0.9442
6,20,53,7,6,0.8488,0.8833,0.7692,0.8908,0.7692,0.8833,0.7547,0.9224
7,17,59,5,5,0.8837,0.9219,0.7727,0.9219,0.7727,0.9219,0.7727,0.8878
8,24,54,7,1,0.907,0.8852,0.96,0.931,0.96,0.8852,0.8571,0.9685
9,23,51,6,6,0.8605,0.8947,0.7931,0.8947,0.7931,0.8947,0.7931,0.9068
10,16,61,5,4,0.8953,0.9242,0.8,0.9313,0.8,0.9242,0.7805,0.9341
11,20,57,6,3,0.8953,0.9048,0.8696,0.9268,0.8696,0.9048,0.8163,0.9213
12,28,49,5,4,0.8953,0.9074,0.875,0.9159,0.875,0.9074,0.8615,0.9404
13,22,56,6,2,0.907,0.9032,0.9167,0.9333,0.9167,0.9032,0.8462,0.9563
14,24,53,3,6,0.8953,0.9464,0.8,0.9217,0.8,0.9464,0.8421,0.9643
15,25,50,7,4,0.8721,0.8772,0.8621,0.9009,0.8621,0.8772,0.8197,0.9201
16,22,52,8,4,0.8605,0.8667,0.8462,0.8966,0.8462,0.8667,0.7857,0.909
17,17,54,10,5,0.8256,0.8438,0.7727,0.878,0.7727,0.8438,0.6939,0.902
18,28,48,5,5,0.8837,0.9057,0.8485,0.9057,0.8485,0.9057,0.8485,0.936
19,28,51,4,3,0.9186,0.9273,0.9032,0.9358,0.9032,0.9273,0.8889,0.9578
