round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,3,35,10,6,0.7037,0.7778,0.3333,0.814,0.3333,0.7778,0.2727,0.4716
2,4,36,9,5,0.7407,0.8,0.4444,0.8372,0.4444,0.8,0.3636,0.7136
3,0,41,10,3,0.7593,0.8039,0.0,0.8632,0.0,0.8039,0.0,0.4052
4,2,37,10,5,0.7222,0.7872,0.2857,0.8315,0.2857,0.7872,0.2105,0.3526
5,8,34,8,4,0.7778,0.8095,0.6667,0.85,0.6667,0.8095,0.5714,0.7222
6,2,42,3,7,0.8148,0.9333,0.2222,0.8936,0.2222,0.9333,0.2857,0.516
7,3,39,7,5,0.7778,0.8478,0.375,0.8667,0.375,0.8478,0.3333,0.587
8,5,43,1,5,0.8889,0.9773,0.5,0.9348,0.5,0.9773,0.625,0.7023
9,4,37,8,5,0.7593,0.8222,0.4444,0.8506,0.4444,0.8222,0.381,0.5852
10,4,35,7,8,0.7222,0.8333,0.3333,0.8235,0.3333,0.8333,0.3478,0.5813
11,3,41,5,5,0.8148,0.8913,0.375,0.8913,0.375,0.8913,0.375,0.5272
12,4,39,6,5,0.7963,0.8667,0.4444,0.8764,0.4444,0.8667,0.4211,0.6123
13,5,38,6,5,0.7963,0.8636,0.5,0.8736,0.5,0.8636,0.4762,0.7227
14,1,40,9,4,0.7593,0.8163,0.2,0.8602,0.2,0.8163,0.1333,0.3796
15,8,35,9,2,0.7963,0.7955,0.8,0.8642,0.8,0.7955,0.5926,0.9045
16,5,38,4,7,0.7963,0.9048,0.4167,0.8736,0.4167,0.9048,0.4762,0.627
17,6,34,10,4,0.7407,0.7727,0.6,0.8293,0.6,0.7727,0.4615,0.7159
18,2,30,14,8,0.5926,0.6818,0.2,0.7317,0.2,0.6818,0.1538,0.3705
19,2,40,5,7,0.7778,0.8889,0.2222,0.8696,0.2222,0.8889,0.25,0.5704
20,1,35,11,7,0.6667,0.7609,0.125,0.7955,0.125,0.7609,0.1,0.4728
21,3,34,12,5,0.6852,0.7391,0.375,0.8,0.375,0.7391,0.2609,0.5272
22,4,37,10,3,0.7593,0.7872,0.5714,0.8506,0.5714,0.7872,0.381,0.7386
23,1,36,13,4,0.6852,0.7347,0.2,0.809,0.2,0.7347,0.1053,0.3918
24,1,36,8,9,0.6852,0.8182,0.1,0.809,0.1,0.8182,0.1053,0.3932
25,3,41,6,4,0.8148,0.8723,0.4286,0.8913,0.4286,0.8723,0.375,0.7143
26,7,36,4,7,0.7963,0.9,0.5,0.8675,0.5,0.9,0.56,0.5964
27,6,37,5,6,0.7963,0.881,0.5,0.8706,0.5,0.881,0.5217,0.6091
28,2,39,5,8,0.7593,0.8864,0.2,0.8571,0.2,0.8864,0.2353,0.5045
29,2,38,11,3,0.7407,0.7755,0.4,0.8444,0.4,0.7755,0.2222,0.5102
30,6,34,11,3,0.7407,0.7556,0.6667,0.8293,0.6667,0.7556,0.4615,0.7605
31,4,38,7,5,0.7778,0.8444,0.4444,0.8636,0.4444,0.8444,0.4,0.6321
32,2,39,8,5,0.7593,0.8298,0.2857,0.8571,0.2857,0.8298,0.2353,0.5258
33,3,40,9,2,0.7963,0.8163,0.6,0.8791,0.6,0.8163,0.3529,0.6898
34,7,31,12,4,0.7037,0.7209,0.6364,0.7949,0.6364,0.7209,0.4667,0.685
35,2,35,12,5,0.6852,0.7447,0.2857,0.8046,0.2857,0.7447,0.1905,0.5957
36,2,41,7,4,0.7963,0.8542,0.3333,0.8817,0.3333,0.8542,0.2667,0.5104
37,2,41,8,3,0.7963,0.8367,0.4,0.8817,0.4,0.8367,0.2667,0.5837
38,0,36,11,7,0.6667,0.766,0.0,0.8,0.0,0.766,0.0,0.3161
39,6,37,8,3,0.7963,0.8222,0.6667,0.8706,0.6667,0.8222,0.5217,0.7457
40,1,42,7,4,0.7963,0.8571,0.2,0.8842,0.2,0.8571,0.1538,0.3918
41,2,36,11,5,0.7037,0.766,0.2857,0.8182,0.2857,0.766,0.2,0.5167
42,5,38,7,4,0.7963,0.8444,0.5556,0.8736,0.5556,0.8444,0.4762,0.6691
43,2,34,13,5,0.6667,0.7234,0.2857,0.7907,0.2857,0.7234,0.1818,0.5866
44,6,35,9,4,0.7593,0.7955,0.6,0.8434,0.6,0.7955,0.48,0.7591
45,2,34,7,11,0.6667,0.8293,0.1538,0.7907,0.1538,0.8293,0.1818,0.4822
46,3,40,8,3,0.7963,0.8333,0.5,0.8791,0.5,0.8333,0.3529,0.6944
47,3,38,9,4,0.7593,0.8085,0.4286,0.8539,0.4286,0.8085,0.3158,0.6353
48,4,37,8,5,0.7593,0.8222,0.4444,0.8506,0.4444,0.8222,0.381,0.6667
49,5,40,5,4,0.8333,0.8889,0.5556,0.8989,0.5556,0.8889,0.5263,0.7333
50,2,39,12,1,0.7593,0.7647,0.6667,0.8571,0.6667,0.7647,0.2353,0.7712
51,2,44,4,4,0.8519,0.9167,0.3333,0.9167,0.3333,0.9167,0.3333,0.6111
52,2,39,8,5,0.7593,0.8298,0.2857,0.8571,0.2857,0.8298,0.2353,0.5076
53,4,40,8,2,0.8148,0.8333,0.6667,0.8889,0.6667,0.8333,0.4444,0.7083
54,0,43,8,3,0.7963,0.8431,0.0,0.8866,0.0,0.8431,0.0,0.2222
55,4,30,14,6,0.6296,0.6818,0.4,0.75,0.4,0.6818,0.2857,0.4841
56,2,40,7,5,0.7778,0.8511,0.2857,0.8696,0.2857,0.8511,0.25,0.4316
57,2,38,6,8,0.7407,0.8636,0.2,0.8444,0.2,0.8636,0.2222,0.4136
58,4,41,5,4,0.8333,0.8913,0.5,0.9011,0.5,0.8913,0.4706,0.6141
59,1,42,6,5,0.7963,0.875,0.1667,0.8842,0.1667,0.875,0.1538,0.4722
60,4,36,10,4,0.7407,0.7826,0.5,0.8372,0.5,0.7826,0.3636,0.6658
61,5,35,10,4,0.7407,0.7778,0.5556,0.8333,0.5556,0.7778,0.4167,0.6815
62,4,33,9,8,0.6852,0.7857,0.3333,0.7952,0.3333,0.7857,0.32,0.5556
63,2,45,5,2,0.8704,0.9,0.5,0.9278,0.5,0.9,0.3636,0.68
64,3,41,7,3,0.8148,0.8542,0.5,0.8913,0.5,0.8542,0.375,0.6285
65,2,36,7,9,0.7037,0.8372,0.1818,0.8182,0.1818,0.8372,0.2,0.3827
66,1,41,7,5,0.7778,0.8542,0.1667,0.8723,0.1667,0.8542,0.1429,0.4861
67,1,41,8,4,0.7778,0.8367,0.2,0.8723,0.2,0.8367,0.1429,0.4449
68,2,35,10,7,0.6852,0.7778,0.2222,0.8046,0.2222,0.7778,0.1905,0.5136
69,3,35,11,5,0.7037,0.7609,0.375,0.814,0.375,0.7609,0.2727,0.5897
70,3,40,7,4,0.7963,0.8511,0.4286,0.8791,0.4286,0.8511,0.3529,0.5775
71,1,43,5,5,0.8148,0.8958,0.1667,0.8958,0.1667,0.8958,0.1667,0.4792
72,8,33,11,2,0.7593,0.75,0.8,0.8354,0.8,0.75,0.5517,0.8091
73,3,37,8,6,0.7407,0.8222,0.3333,0.8409,0.3333,0.8222,0.3,0.6173
74,5,38,10,1,0.7963,0.7917,0.8333,0.8736,0.8333,0.7917,0.4762,0.8715
75,4,33,11,6,0.6852,0.75,0.4,0.7952,0.4,0.75,0.32,0.6045
76,5,32,11,6,0.6852,0.7442,0.4545,0.7901,0.4545,0.7442,0.3704,0.6047
77,6,30,13,5,0.6667,0.6977,0.5455,0.7692,0.5455,0.6977,0.4,0.6385
78,2,34,7,11,0.6667,0.8293,0.1538,0.7907,0.1538,0.8293,0.1818,0.3302
79,2,44,4,4,0.8519,0.9167,0.3333,0.9167,0.3333,0.9167,0.3333,0.7014
80,2,35,16,1,0.6852,0.6863,0.6667,0.8046,0.6667,0.6863,0.1905,0.8627
81,6,37,7,4,0.7963,0.8409,0.6,0.8706,0.6,0.8409,0.5217,0.6909
82,1,41,7,5,0.7778,0.8542,0.1667,0.8723,0.1667,0.8542,0.1429,0.3715
83,2,37,11,4,0.7222,0.7708,0.3333,0.8315,0.3333,0.7708,0.2105,0.7153
84,8,38,5,3,0.8519,0.8837,0.7273,0.9048,0.7273,0.8837,0.6667,0.8224
85,4,40,5,5,0.8148,0.8889,0.4444,0.8889,0.4444,0.8889,0.4444,0.684
86,3,37,8,6,0.7407,0.8222,0.3333,0.8409,0.3333,0.8222,0.3,0.5877
87,2,37,9,6,0.7222,0.8043,0.25,0.8315,0.25,0.8043,0.2105,0.4538
88,2,41,8,3,0.7963,0.8367,0.4,0.8817,0.4,0.8367,0.2667,0.6082
89,5,39,6,4,0.8148,0.8667,0.5556,0.8864,0.5556,0.8667,0.5,0.6667
90,0,36,10,8,0.6667,0.7826,0.0,0.8,0.0,0.7826,0.0,0.2772
