round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,3,32,13,6,0.6481,0.7111,0.3333,0.7711,0.3333,0.7111,0.24,0.4938
2,4,34,11,5,0.7037,0.7556,0.4444,0.8095,0.4444,0.7556,0.3333,0.7012
3,0,38,13,3,0.7037,0.7451,0.0,0.8261,0.0,0.7451,0.0,0.4706
4,2,37,10,5,0.7222,0.7872,0.2857,0.8315,0.2857,0.7872,0.2105,0.459
5,8,31,11,4,0.7222,0.7381,0.6667,0.8052,0.6667,0.7381,0.5161,0.7024
6,2,40,5,7,0.7778,0.8889,0.2222,0.8696,0.2222,0.8889,0.25,0.5136
7,3,37,9,5,0.7407,0.8043,0.375,0.8409,0.375,0.8043,0.3,0.6196
8,5,38,6,5,0.7963,0.8636,0.5,0.8736,0.5,0.8636,0.4762,0.6886
9,4,35,10,5,0.7222,0.7778,0.4444,0.8235,0.4444,0.7778,0.3478,0.637
10,4,35,7,8,0.7222,0.8333,0.3333,0.8235,0.3333,0.8333,0.3478,0.5813
11,3,36,10,5,0.7222,0.7826,0.375,0.8276,0.375,0.7826,0.2857,0.538
12,4,33,12,5,0.6852,0.7333,0.4444,0.7952,0.4444,0.7333,0.32,0.6642
13,5,38,6,5,0.7963,0.8636,0.5,0.8736,0.5,0.8636,0.4762,0.7295
14,1,37,12,4,0.7037,0.7551,0.2,0.8222,0.2,0.7551,0.1111,0.4163
15,8,33,11,2,0.7593,0.75,0.8,0.8354,0.8,0.75,0.5517,0.8864
16,5,36,6,7,0.7593,0.8571,0.4167,0.8471,0.4167,0.8571,0.4348,0.6548
17,6,31,13,4,0.6852,0.7045,0.6,0.7848,0.6,0.7045,0.4138,0.7295
18,2,26,18,8,0.5185,0.5909,0.2,0.6667,0.2,0.5909,0.1333,0.3773
19,2,39,6,7,0.7593,0.8667,0.2222,0.8571,0.2222,0.8667,0.2353,0.5235
20,1,31,15,7,0.5926,0.6739,0.125,0.7381,0.125,0.6739,0.0833,0.5245
21,3,32,14,5,0.6481,0.6957,0.375,0.7711,0.375,0.6957,0.24,0.5978
22,4,34,13,3,0.7037,0.7234,0.5714,0.8095,0.5714,0.7234,0.3333,0.7477
23,1,36,13,4,0.6852,0.7347,0.2,0.809,0.2,0.7347,0.1053,0.4816
24,1,33,11,9,0.6296,0.75,0.1,0.7674,0.1,0.75,0.0909,0.3182
25,3,37,10,4,0.7407,0.7872,0.4286,0.8409,0.4286,0.7872,0.3,0.7295
26,7,33,7,7,0.7407,0.825,0.5,0.825,0.5,0.825,0.5,0.6143
27,6,34,8,6,0.7407,0.8095,0.5,0.8293,0.5,0.8095,0.4615,0.6369
28,2,35,9,8,0.6852,0.7955,0.2,0.8046,0.2,0.7955,0.1905,0.4977
29,2,34,15,3,0.6667,0.6939,0.4,0.7907,0.4,0.6939,0.1818,0.5388
30,6,31,14,3,0.6852,0.6889,0.6667,0.7848,0.6667,0.6889,0.4138,0.7753
31,4,36,9,5,0.7407,0.8,0.4444,0.8372,0.4444,0.8,0.3636,0.6543
32,2,37,10,5,0.7222,0.7872,0.2857,0.8315,0.2857,0.7872,0.2105,0.5319
33,3,38,11,2,0.7593,0.7755,0.6,0.8539,0.6,0.7755,0.3158,0.698
34,7,25,18,4,0.5926,0.5814,0.6364,0.6944,0.6364,0.5814,0.3889,0.7061
35,2,33,14,5,0.6481,0.7021,0.2857,0.7765,0.2857,0.7021,0.1739,0.6018
36,2,39,9,4,0.7593,0.8125,0.3333,0.8571,0.3333,0.8125,0.2353,0.6285
37,2,37,12,3,0.7222,0.7551,0.4,0.8315,0.4,0.7551,0.2105,0.6204
38,0,35,12,7,0.6481,0.7447,0.0,0.7865,0.0,0.7447,0.0,0.3313
39,6,32,13,3,0.7037,0.7111,0.6667,0.8,0.6667,0.7111,0.4286,0.7531
40,1,37,12,4,0.7037,0.7551,0.2,0.8222,0.2,0.7551,0.1111,0.4041
41,2,35,12,5,0.6852,0.7447,0.2857,0.8046,0.2857,0.7447,0.1905,0.6018
42,5,34,11,4,0.7222,0.7556,0.5556,0.8193,0.5556,0.7556,0.4,0.7284
43,2,34,13,5,0.6667,0.7234,0.2857,0.7907,0.2857,0.7234,0.1818,0.5957
44,6,32,12,4,0.7037,0.7273,0.6,0.8,0.6,0.7273,0.4286,0.7864
