round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,3,35,10,6,0.7037,0.7778,0.3333,0.814,0.3333,0.7778,0.2727,0.4049
2,4,37,8,5,0.7593,0.8222,0.4444,0.8506,0.4444,0.8222,0.381,0.6519
3,0,42,9,3,0.7778,0.8235,0.0,0.875,0.0,0.8235,0.0,0.3007
4,2,37,10,5,0.7222,0.7872,0.2857,0.8315,0.2857,0.7872,0.2105,0.3283
5,8,35,7,4,0.7963,0.8333,0.6667,0.8642,0.6667,0.8333,0.5926,0.7202
6,2,42,3,7,0.8148,0.9333,0.2222,0.8936,0.2222,0.9333,0.2857,0.5062
7,3,40,6,5,0.7963,0.8696,0.375,0.8791,0.375,0.8696,0.3529,0.5299
8,5,43,1,5,0.8889,0.9773,0.5,0.9348,0.5,0.9773,0.625,0.6591
9,4,38,7,5,0.7778,0.8444,0.4444,0.8636,0.4444,0.8444,0.4,0.5136
10,4,36,6,8,0.7407,0.8571,0.3333,0.8372,0.3333,0.8571,0.3636,0.5099
11,3,42,4,5,0.8333,0.913,0.375,0.9032,0.375,0.913,0.4,0.4891
12,4,40,5,5,0.8148,0.8889,0.4444,0.8889,0.4444,0.8889,0.4444,0.563
13,5,38,6,5,0.7963,0.8636,0.5,0.8736,0.5,0.8636,0.4762,0.6977
14,1,40,9,4,0.7593,0.8163,0.2,0.8602,0.2,0.8163,0.1333,0.4082
15,8,35,9,2,0.7963,0.7955,0.8,0.8642,0.8,0.7955,0.5926,0.8773
16,5,39,3,7,0.8148,0.9286,0.4167,0.8864,0.4167,0.9286,0.5,0.6111
17,6,36,8,4,0.7778,0.8182,0.6,0.8571,0.6,0.8182,0.5,0.6932
18,2,34,10,8,0.6667,0.7727,0.2,0.7907,0.2,0.7727,0.1818,0.2841
19,2,41,4,7,0.7963,0.9111,0.2222,0.8817,0.2222,0.9111,0.2667,0.479
20,1,36,10,7,0.6852,0.7826,0.125,0.809,0.125,0.7826,0.1053,0.356
21,3,35,11,5,0.7037,0.7609,0.375,0.814,0.375,0.7609,0.2727,0.4375
22,4,37,10,3,0.7593,0.7872,0.5714,0.8506,0.5714,0.7872,0.381,0.7082
23,1,37,12,4,0.7037,0.7551,0.2,0.8222,0.2,0.7551,0.1111,0.2776
24,1,36,8,9,0.6852,0.8182,0.1,0.809,0.1,0.8182,0.1053,0.2773
25,3,41,6,4,0.8148,0.8723,0.4286,0.8913,0.4286,0.8723,0.375,0.6505
26,7,37,3,7,0.8148,0.925,0.5,0.881,0.5,0.925,0.5833,0.5696
27,6,38,4,6,0.8148,0.9048,0.5,0.8837,0.5,0.9048,0.5455,0.5476
28,2,40,4,8,0.7778,0.9091,0.2,0.8696,0.2,0.9091,0.25,0.4205
29,2,40,9,3,0.7778,0.8163,0.4,0.8696,0.4,0.8163,0.25,0.4327
30,6,37,8,3,0.7963,0.8222,0.6667,0.8706,0.6667,0.8222,0.5217,0.7136
31,4,40,5,5,0.8148,0.8889,0.4444,0.8889,0.4444,0.8889,0.4444,0.5753
32,2,39,8,5,0.7593,0.8298,0.2857,0.8571,0.2857,0.8298,0.2353,0.4225
33,3,42,7,2,0.8333,0.8571,0.6,0.9032,0.6,0.8571,0.4,0.6816
34,7,33,10,4,0.7407,0.7674,0.6364,0.825,0.6364,0.7674,0.5,0.6956
35,2,38,9,5,0.7407,0.8085,0.2857,0.8444,0.2857,0.8085,0.2222,0.5866
36,2,42,6,4,0.8148,0.875,0.3333,0.8936,0.3333,0.875,0.2857,0.4653
37,2,43,6,3,0.8333,0.8776,0.4,0.9053,0.4,0.8776,0.3077,0.5878
38,0,38,9,7,0.7037,0.8085,0.0,0.8261,0.0,0.8085,0.0,0.2736
39,6,38,7,3,0.8148,0.8444,0.6667,0.8837,0.6667,0.8444,0.5455,0.7506
40,1,42,7,4,0.7963,0.8571,0.2,0.8842,0.2,0.8571,0.1538,0.3061
41,2,37,10,5,0.7222,0.7872,0.2857,0.8315,0.2857,0.7872,0.2105,0.459
42,5,40,5,4,0.8333,0.8889,0.5556,0.8989,0.5556,0.8889,0.5263,0.5827
43,2,34,13,5,0.6667,0.7234,0.2857,0.7907,0.2857,0.7234,0.1818,0.4742
44,6,35,9,4,0.7593,0.7955,0.6,0.8434,0.6,0.7955,0.48,0.7136
45,2,36,5,11,0.7037,0.878,0.1538,0.8182,0.1538,0.878,0.2,0.3265
46,3,42,6,3,0.8333,0.875,0.5,0.9032,0.5,0.875,0.4,0.7049
47,3,39,8,4,0.7778,0.8298,0.4286,0.8667,0.4286,0.8298,0.3333,0.6322
48,4,38,7,5,0.7778,0.8444,0.4444,0.8636,0.4444,0.8444,0.4,0.6099
49,5,41,4,4,0.8519,0.9111,0.5556,0.9111,0.5556,0.9111,0.5556,0.679
50,2,39,12,1,0.7593,0.7647,0.6667,0.8571,0.6667,0.7647,0.2353,0.817
51,2,45,3,4,0.8704,0.9375,0.3333,0.9278,0.3333,0.9375,0.3636,0.4792
