Dataset,Side,Model,Mean_Accuracy,SD_Accuracy,Mean_Sensitivity_Class0,SD_Sensitivity_Class0,Mean_Specificity_Class0,SD_Specificity_Class0,Mean_F1_Class0,SD_F1_Class0,Mean_Sensitivity_Class1,SD_Sensitivity_Class1,Mean_Specificity_Class1,SD_Specificity_Class1,Mean_F1_Class1,SD_F1_Class1,Mean_AUC,SD_AUC
All_Augment_tain,left,MLP,0.788,0.0414,0.812,0.0484,0.7438,0.0749,0.8306,0.0369,0.7438,0.0749,0.812,0.0484,0.7105,0.0611,0.8415,0.0449
All_Augment_tain,left,MobileNet,0.7986,0.0414,0.875,0.0418,0.6595,0.0811,0.8476,0.0345,0.6595,0.0811,0.875,0.0418,0.6959,0.066,0.8501,0.0435
All_Augment_tain,left,ResNet,0.8286,0.0384,0.875,0.0418,0.7438,0.0749,0.8673,0.0323,0.7438,0.0749,0.875,0.0418,0.7521,0.0592,0.8336,0.0468
All_Augment_tain,left,ResNet+AE,0.7673,0.0432,0.8123,0.0485,0.6845,0.0794,0.8171,0.0384,0.6845,0.0794,0.8123,0.0485,0.673,0.0648,0.8242,0.0467
All_Augment_tain,left,SVM,0.7877,0.0412,0.8442,0.0445,0.6845,0.0794,0.8359,0.0351,0.6845,0.0794,0.8442,0.0445,0.6927,0.0646,0.8613,0.0408
All_Augment_tain,right,MLP,0.873,0.0323,0.9338,0.0293,0.7047,0.0868,0.9147,0.0232,0.7047,0.0868,0.9338,0.0293,0.7433,0.0695,0.8545,0.0538
All_Augment_tain,right,MobileNet,0.8922,0.0308,0.9335,0.0297,0.7778,0.0821,0.9266,0.022,0.7778,0.0821,0.9335,0.0297,0.7898,0.0645,0.8702,0.0492
All_Augment_tain,right,ResNet,0.8625,0.0334,0.9468,0.0269,0.6299,0.0926,0.9094,0.0236,0.6299,0.0926,0.9468,0.0269,0.7047,0.0763,0.8622,0.0502
All_Augment_tain,right,ResNet+AE,0.8534,0.035,0.9208,0.0324,0.6675,0.0926,0.9015,0.0251,0.6675,0.0926,0.9208,0.0324,0.7035,0.0763,0.8434,0.0508
All_Augment_tain,right,SVM,0.8334,0.0366,0.8936,0.0366,0.6675,0.0926,0.8866,0.027,0.6675,0.0926,0.8936,0.0366,0.6763,0.0772,0.8556,0.0495
Ds005602,left,MLP,0.8092,0.045,0.8868,0.0444,0.6783,0.0874,0.8529,0.0378,0.6783,0.0874,0.8868,0.0444,0.7215,0.0708,0.8292,0.0504
Ds005602,left,MobileNet,0.7492,0.0482,0.7911,0.0562,0.6786,0.0874,0.7972,0.0437,0.6786,0.0874,0.7911,0.0562,0.6637,0.0715,0.8526,0.0463
Ds005602,left,ResNet,0.7861,0.0454,0.8301,0.0521,0.7119,0.0846,0.8287,0.0402,0.7119,0.0846,0.8301,0.0521,0.7082,0.0681,0.8541,0.0461
Ds005602,left,ResNet+AE,0.7263,0.0497,0.7352,0.0603,0.7116,0.0837,0.7699,0.0473,0.7116,0.0837,0.7352,0.0603,0.6551,0.0694,0.8307,0.0484
Ds005602,left,SVM,0.7633,0.0479,0.794,0.0557,0.7116,0.0837,0.8069,0.0436,0.7116,0.0837,0.794,0.0557,0.687,0.0689,0.8492,0.0428
Ds005602,right,MLP,0.9186,0.0276,0.9343,0.0309,0.8798,0.0634,0.9419,0.0204,0.8798,0.0634,0.9343,0.0309,0.8595,0.0505,0.9211,0.0338
Ds005602,right,MobileNet,0.8951,0.0305,0.9182,0.0342,0.8376,0.0714,0.9251,0.023,0.8376,0.0714,0.9182,0.0342,0.8187,0.0568,0.9098,0.042
Ds005602,right,ResNet,0.8831,0.0325,0.9013,0.0371,0.8376,0.0714,0.9158,0.025,0.8376,0.0714,0.9013,0.0371,0.8023,0.059,0.9335,0.025
Ds005602,right,ResNet+AE,0.8952,0.0314,0.9013,0.0371,0.8798,0.0634,0.9239,0.0241,0.8798,0.0634,0.9013,0.0371,0.8264,0.0551,0.9175,0.0314
Ds005602,right,SVM,0.9072,0.0293,0.9182,0.0342,0.8798,0.0634,0.9332,0.0221,0.8798,0.0634,0.9182,0.0342,0.8429,0.0527,0.9175,0.0345
