Dataset,Side,Model,Mean_Accuracy,SD_Accuracy,Mean_Sensitivity_Class0,SD_Sensitivity_Class0,Mean_Specificity_Class0,SD_Specificity_Class0,Mean_F1_Class0,SD_F1_Class0,Mean_Sensitivity_Class1,SD_Sensitivity_Class1,Mean_Specificity_Class1,SD_Specificity_Class1,Mean_F1_Class1,SD_F1_Class1,Mean_AUC,SD_AUC
All_Augment_tain,left,MLP,0.8667,0.0438,0.9762,0.0228,0.6561,0.1074,0.9052,0.0333,0.6561,0.1074,0.9762,0.0228,0.7654,0.0826,0.8952,0.053
All_Augment_tain,left,MobileNet,0.8518,0.0434,0.9536,0.0309,0.6561,0.1074,0.8935,0.0336,0.6561,0.1074,0.9536,0.0309,0.7459,0.0813,0.9011,0.0539
All_Augment_tain,left,PointNet,0.8508,0.0441,0.9305,0.0364,0.6977,0.1024,0.8905,0.0344,0.6977,0.1024,0.9305,0.0364,0.7564,0.0798,0.8237,0.0694
All_Augment_tain,left,ResNet+AE,0.8511,0.0446,0.9298,0.038,0.6996,0.1041,0.8904,0.0356,0.6996,0.1041,0.9298,0.038,0.7575,0.0782,0.8934,0.0548
All_Augment_tain,left,ResNet,0.8671,0.0428,0.9767,0.0221,0.6561,0.1074,0.9054,0.0324,0.6561,0.1074,0.9767,0.0221,0.7659,0.0811,0.8964,0.0535
All_Augment_tain,left,SqueezeNet,0.8363,0.0461,0.9298,0.038,0.6561,0.1074,0.8809,0.0366,0.6561,0.1074,0.9298,0.038,0.7268,0.0832,0.8777,0.0599
All_Augment_tain,left,SVM,0.8518,0.0434,0.9536,0.0309,0.6561,0.1074,0.8935,0.0336,0.6561,0.1074,0.9536,0.0309,0.7459,0.0813,0.9144,0.0375
All_Augment_tain,right,MLP,0.8512,0.0433,0.9392,0.0345,0.6064,0.1196,0.9019,0.0308,0.6064,0.1196,0.9392,0.0345,0.6758,0.1013,0.8487,0.0552
All_Augment_tain,right,MobileNet,0.8218,0.0463,0.9189,0.0394,0.5515,0.1203,0.8825,0.0333,0.5515,0.1203,0.9189,0.0394,0.6132,0.107,0.8778,0.0468
All_Augment_tain,right,PointNet,0.8502,0.0442,0.9198,0.0395,0.6564,0.1164,0.8994,0.032,0.6564,0.1164,0.9198,0.0395,0.6922,0.0968,0.8208,0.0739
All_Augment_tain,right,ResNet+AE,0.8496,0.0441,0.9189,0.0394,0.6573,0.1162,0.899,0.0318,0.6573,0.1162,0.9189,0.0394,0.6916,0.0969,0.8751,0.0497
All_Augment_tain,right,ResNet,0.8508,0.0439,0.9189,0.0394,0.6618,0.1131,0.8998,0.0316,0.6618,0.1131,0.9189,0.0394,0.6951,0.0957,0.8527,0.0626
All_Augment_tain,right,SqueezeNet,0.7784,0.0496,0.858,0.0501,0.5571,0.1179,0.8493,0.0378,0.5571,0.1179,0.858,0.0501,0.5641,0.1015,0.8472,0.0559
All_Augment_tain,right,SVM,0.852,0.0433,0.9598,0.0289,0.5515,0.1203,0.9043,0.0302,0.5515,0.1203,0.9598,0.0289,0.6556,0.1071,0.8505,0.0671
Ds005602,left,MLP,0.9464,0.0297,0.9452,0.037,0.948,0.0516,0.9574,0.024,0.948,0.0516,0.9452,0.037,0.9241,0.045,0.9559,0.0376
