Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,0,-3.0,0.06328199964154965,0.1263463002957302,0.014039116877024938,0.0161000520099499
PLS1,1,1,-2.9,0.061172599653497986,0.12213475695253916,0.013571146314457437,0.015563383609618233
PLS1,1,2,-2.8,0.059063199665446334,0.11792321360934818,0.013103175751889937,0.015026715209286568
PLS1,1,3,-2.7,0.05695379967739468,0.11371167026615718,0.012635205189322441,0.01449004680895491
PLS1,1,4,-2.6,0.05484439968934302,0.10950012692296617,0.012167234626754944,0.013953378408623244
PLS1,1,5,-2.5,0.05273499970129137,0.10528858357977516,0.011699264064187446,0.013416710008291581
PLS1,1,6,-2.4,0.05062559971323972,0.10107704023658416,0.011231293501619949,0.012880041607959919
PLS1,1,7,-2.3,0.04851619972518805,0.09686549689339315,0.010763322939052453,0.012343373207628253
PLS1,1,8,-2.2,0.04640679973713641,0.09265395355020217,0.010295352376484955,0.011806704807296592
PLS1,1,9,-2.1,0.04429739974908476,0.08844241020701116,0.009827381813917456,0.01127003640696493
PLS1,1,10,-2.0,0.042187999761033095,0.08423086686382013,0.009359411251349958,0.010733368006633265
PLS1,1,11,-1.9,0.040078599772981435,0.08001932352062911,0.00889144068878246,0.010196699606301601
PLS1,1,12,-1.8,0.03796919978492978,0.07580778017743811,0.008423470126214963,0.009660031205969937
PLS1,1,13,-1.7,0.03585979979687813,0.07159623683424712,0.007955499563647463,0.009123362805638274
PLS1,1,14,-1.6,0.03375039980882648,0.06738469349105611,0.007487529001079966,0.008586694405306614
PLS1,1,15,-1.5,0.031640999820774826,0.06317315014786509,0.007019558438512468,0.00805002600497495
PLS1,1,16,-1.4,0.029531599832723167,0.05896160680467412,0.00655158787594497,0.007513357604643286
PLS1,1,17,-1.3,0.02742219984467151,0.05475006346148309,0.006083617313377472,0.006976689204311622
PLS1,1,18,-1.2,0.02531279985661986,0.05053852011829208,0.005615646750809974,0.0064400208039799576
PLS1,1,19,-1.1,0.023203399868568203,0.04632697677510106,0.0051476761882424775,0.005903352403648297
PLS1,1,20,-1.0,0.021093999880516547,0.04211543343191005,0.004679705625674978,0.0053666840033166335
PLS1,1,21,-0.9,0.018984599892464895,0.037903890088719076,0.0042117350631074805,0.004830015602984969
PLS1,1,22,-0.8,0.01687519990441324,0.033692346745528054,0.0037437645005399837,0.004293347202653307
PLS1,1,23,-0.7,0.014765799916361582,0.029480803402337045,0.003275793937972485,0.003756678802321642
