Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,0,-3.0,0.056525542557098914,0.12783200168312572,0.0305862103873218,0.0009393843749991246
PLS1,1,1,-2.9,0.05464135780519563,0.12357093496035486,0.029566670041077745,0.0009080715624991538
PLS1,1,2,-2.8,0.05275717305329232,0.11930986823758401,0.028547129694833678,0.0008767587499991828
PLS1,1,3,-2.7,0.050872988301389026,0.11504880151481317,0.027527589348589624,0.0008454459374992122
PLS1,1,4,-2.6,0.048988803549485725,0.1107877347920423,0.02650804900234556,0.0008141331249992415
PLS1,1,5,-2.5,0.04710461879758243,0.10652666806927145,0.025488508656101503,0.0007828203124992705
PLS1,1,6,-2.4,0.04522043404567913,0.1022656013465006,0.02446896830985744,0.0007515074999992998
PLS1,1,7,-2.3,0.04333624929377583,0.09800453462372971,0.023449427963613375,0.0007201946874993289
PLS1,1,8,-2.2,0.041452064541872544,0.09374346790095886,0.02242988761736932,0.0006888818749993583
PLS1,1,9,-2.1,0.03956787978996924,0.08948240117818801,0.02141034727112526,0.0006575690624993874
PLS1,1,10,-2.0,0.03768369503806594,0.08522133445541717,0.0203908069248812,0.0006262562499994163
PLS1,1,11,-1.9,0.03579951028616265,0.0809602677326463,0.019371266578637143,0.0005949434374994455
PLS1,1,12,-1.8,0.033915325534259355,0.07669920100987546,0.018351726232393083,0.0005636306249994748
PLS1,1,13,-1.7,0.032031140782356055,0.07243813428710455,0.017332185886149022,0.000532317812499504
PLS1,1,14,-1.6,0.030146956030452754,0.0681770675643337,0.01631264553990496,0.0005010049999995331
PLS1,1,15,-1.5,0.028262771278549457,0.06391600084156286,0.0152931051936609,0.00046969218749956244
PLS1,1,16,-1.4,0.02637858652664616,0.05965493411879201,0.014273564847416842,0.0004383793749995913
PLS1,1,17,-1.3,0.02449440177474286,0.05539386739602116,0.01325402450117278,0.0004070665624996207
PLS1,1,18,-1.2,0.022610217022839565,0.0511328006732503,0.01223448415492872,0.0003757537499996499
