Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,0,-3.0,0.05330292236589164,0.118297476450996,0.00025635194298369784,0.03267872126024877
PLS1,1,1,-2.9,0.05152615828702857,0.11435422723596277,0.0002478068782175744,0.0315894305515738
PLS1,1,2,-2.8,0.04974939420816552,0.11041097802092956,0.00023926181345145095,0.030500139842898844
PLS1,1,3,-2.7,0.047972630129302474,0.10646772880589636,0.00023071674868532785,0.029410849134223885
PLS1,1,4,-2.6,0.04619586605043942,0.10252447959086318,0.0002221716839192048,0.02832155842554893
PLS1,1,5,-2.5,0.04441910197157636,0.09858123037582997,0.00021362661915308117,0.02723226771687397
PLS1,1,6,-2.4,0.0426423378927133,0.09463798116079677,0.00020508155438695808,0.02614297700819901
PLS1,1,7,-2.3,0.040865573813850246,0.09069473194576357,0.00019653648962083498,0.025053686299524047
PLS1,1,8,-2.2,0.039088809734987205,0.08675148273073041,0.00018799142485471164,0.02396439559084909
PLS1,1,9,-2.1,0.03731204565612414,0.0828082335156972,0.00017944636008858847,0.022875104882174136
PLS1,1,10,-2.0,0.035535281577261095,0.078864984300664,0.0001709012953224655,0.021785814173499174
PLS1,1,11,-1.9,0.03375851749839803,0.07492173508563081,0.00016235623055634198,0.02069652346482422
PLS1,1,12,-1.8,0.031981753419534985,0.07097848587059762,0.00015381116579021886,0.01960723275614926
PLS1,1,13,-1.7,0.030204989340671926,0.06703523665556438,0.0001452661010240954,0.018517942047474298
PLS1,1,14,-1.6,0.028428225261808878,0.06309198744053122,0.00013672103625797212,0.017428651338799343
PLS1,1,15,-1.5,0.02665146118294582,0.05914873822549799,0.0001281759714918489,0.01633936063012438
PLS1,1,16,-1.4,0.02487469710408276,0.05520548901046478,0.00011963090672572561,0.015250069921449422
PLS1,1,17,-1.3,0.023097933025219706,0.05126223979543159,0.00011108584195960243,0.014160779212774465
PLS1,1,18,-1.2,0.02132116894635665,0.04731899058039839,0.00010254077719347913,0.013071488504099504
PLS1,1,19,-1.1,0.019544404867493603,0.043375741365365185,9.39957124273558e-05,0.011982197795424547
PLS1,1,20,-1.0,0.017767640788630544,0.03943249215033199,8.545064766123252e-05,0.010892907086749587
PLS1,1,21,-0.9,0.015990876709767492,0.035489242935298794,7.690558289510941e-05,0.009803616378074632
PLS1,1,22,-0.8,0.014214112630904439,0.03154599372026559,6.836051812898617e-05,0.008714325669399671
PLS1,1,23,-0.7,0.01243734855204138,0.027602744505232393,5.9815453362862784e-05,0.007625034960724711
PLS1,1,24,-0.6,0.010660584473178325,0.023659495290199187,5.127038859673973e-05,0.006535744252049752
PLS1,1,25,-0.5,0.008883820394315272,0.019716246075165995,4.2725323830616336e-05,0.0054464535433747935
PLS1,1,26,-0.4,0.0071070563154522195,0.015772996860132792,3.418025906449314e-05,0.004357162834699836
PLS1,1,27,-0.3,0.005330292236589163,0.011829747645099593,2.5635194298369827e-05,0.003267872126024876
PLS1,1,28,-0.2,0.0035535281577261098,0.007886498430066396,1.7090129532246593e-05,0.002178581417349918
PLS1,1,29,-0.1,0.0017767640788630544,0.0039432492150332,8.545064766123165e-06,0.001089290708674959
PLS1,1,30,0.0,0.0,0.0,0.0,0.0
PLS1,1,31,0.1,0.0017767640788630544,0.0039432492150332,0.001089290708674959,8.545064766123166e-06
PLS1,1,32,0.2,0.0035535281577261098,0.007886498430066396,0.002178581417349918,1.7090129532246583e-05
PLS1,1,33,0.3,0.005330292236589163,0.011829747645099593,0.003267872126024876,2.5635194298369854e-05
PLS1,1,34,0.4,0.0071070563154522195,0.015772996860132792,0.004357162834699836,3.418025906449314e-05
PLS1,1,35,0.5,0.008883820394315272,0.019716246075165995,0.005446453543374794,4.2725323830616336e-05
PLS1,1,36,0.6,0.010660584473178325,0.02365949529019919,0.006535744252049752,5.127038859673969e-05
PLS1,1,37,0.7,0.01243734855204138,0.027602744505232393,0.00762503496072471,5.981545336286286e-05
PLS1,1,38,0.8,0.014214112630904439,0.03154599372026559,0.008714325669399671,6.836051812898612e-05
PLS1,1,39,0.9,0.015990876709767492,0.035489242935298794,0.009803616378074632,7.690558289510941e-05
PLS1,1,40,1.0,0.017767640788630544,0.03943249215033199,0.010892907086749587,8.545064766123255e-05
PLS1,1,41,1.1,0.019544404867493603,0.043375741365365185,0.011982197795424546,9.399571242735578e-05
PLS1,1,42,1.2,0.02132116894635665,0.04731899058039839,0.013071488504099504,0.00010254077719347917
PLS1,1,43,1.3,0.02309793302521971,0.05126223979543159,0.014160779212774465,0.00011108584195960238
PLS1,1,44,1.4,0.02487469710408276,0.05520548901046478,0.015250069921449422,0.00011963090672572555
PLS1,1,45,1.5,0.02665146118294582,0.05914873822549798,0.01633936063012438,0.00012817597149184887
PLS1,1,46,1.6,0.028428225261808878,0.06309198744053122,0.017428651338799343,0.00013672103625797218
PLS1,1,47,1.7,0.030204989340671926,0.06703523665556438,0.018517942047474298,0.0001452661010240954
PLS1,1,48,1.8,0.031981753419534985,0.07097848587059762,0.01960723275614926,0.0001538111657902188
PLS1,1,49,1.9,0.03375851749839803,0.07492173508563081,0.02069652346482422,0.00016235623055634203
