Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,0,-3.0,0.06501927704457486,0.13234738375375327,0.0141949834356362,0.016546108441986004
PLS1,1,1,-2.9,0.0628519678097557,0.12793580429529483,0.013721817321114996,0.015994571493919803
PLS1,1,2,-2.8,0.06068465857493654,0.12352422483683642,0.013248651206593789,0.015443034545853605
PLS1,1,3,-2.7,0.058517349340117375,0.11911264537837801,0.012775485092072584,0.014891497597787406
PLS1,1,4,-2.6,0.05635004010529822,0.1147010659199195,0.012302318977551375,0.014339960649721206
PLS1,1,5,-2.5,0.054182730870479055,0.11028948646146107,0.01182915286303017,0.013788423701655006
PLS1,1,6,-2.4,0.05201542163565989,0.10587790700300265,0.011355986748508963,0.013236886753588806
PLS1,1,7,-2.3,0.04984811240084073,0.1014663275445442,0.010882820633987756,0.012685349805522605
PLS1,1,8,-2.2,0.04768080316602157,0.09705474808608576,0.010409654519466549,0.012133812857456405
PLS1,1,9,-2.1,0.04551349393120241,0.0926431686276273,0.009936488404945345,0.011582275909390205
PLS1,1,10,-2.0,0.043346184696383246,0.08823158916916889,0.009463322290424136,0.011030738961324005
PLS1,1,11,-1.9,0.04117887546156408,0.08382000971071041,0.008990156175902929,0.010479202013257803
PLS1,1,12,-1.8,0.039011566226744926,0.07940843025225199,0.008516990061381725,0.009927665065191604
PLS1,1,13,-1.7,0.036844256991925756,0.07499685079379355,0.008043823946860516,0.009376128117125404
PLS1,1,14,-1.6,0.0346769477571066,0.07058527133533508,0.007570657832339309,0.008824591169059204
PLS1,1,15,-1.5,0.03250963852228743,0.06617369187687663,0.007097491717818102,0.008273054220993002
PLS1,1,16,-1.4,0.03034232928746827,0.061762112418418225,0.006624325603296894,0.007721517272926802
PLS1,1,17,-1.3,0.028175020052649106,0.05735053295995978,0.006151159488775688,0.007169980324860602
PLS1,1,18,-1.2,0.026007710817829946,0.05293895350150129,0.005677993374254482,0.006618443376794402
PLS1,1,19,-1.1,0.023840401583010786,0.04852737404304287,0.005204827259733274,0.006066906428728203
PLS1,1,20,-1.0,0.021673092348191623,0.04411579458458443,0.004731661145212068,0.005515369480662002
PLS1,1,21,-0.9,0.019505783113372463,0.03970421512612601,0.0042584950306908615,0.004963832532595802
PLS1,1,22,-0.8,0.017338473878553296,0.03529263566766753,0.0037853289161696546,0.004412295584529602
PLS1,1,23,-0.7,0.015171164643734133,0.030881056209209116,0.0033121628016484473,0.0038607586364634017
PLS1,1,24,-0.6,0.013003855408914975,0.026469476750750665,0.002838996687127242,0.0033092216883972014
PLS1,1,25,-0.5,0.010836546174095811,0.022057897292292204,0.002365830572606034,0.002757684740331001
PLS1,1,26,-0.4,0.008669236939276646,0.017646317833833764,0.001892664458084827,0.0022061477922648005
PLS1,1,27,-0.3,0.0065019277044574865,0.013234738375375348,0.0014194983435636204,0.0016546108441986007
PLS1,1,28,-0.2,0.004334618469638325,0.008823158916916903,0.0009463322290424135,0.0011030738961324007
PLS1,1,29,-0.1,0.0021673092348191625,0.004411579458458446,0.0004731661145212069,0.0005515369480662
PLS1,1,30,0.0,0.0,0.0,0.0,0.0
PLS1,1,31,0.1,0.0021673092348191625,0.004411579458458446,0.0005515369480662,0.00047316611452120693
PLS1,1,32,0.2,0.004334618469638325,0.008823158916916905,0.001103073896132401,0.0009463322290424135
PLS1,1,33,0.3,0.006501927704457488,0.013234738375375348,0.0016546108441986007,0.00141949834356362
PLS1,1,34,0.4,0.008669236939276646,0.017646317833833764,0.0022061477922648005,0.001892664458084827
PLS1,1,35,0.5,0.010836546174095811,0.022057897292292204,0.002757684740331001,0.002365830572606034
PLS1,1,36,0.6,0.013003855408914975,0.026469476750750665,0.0033092216883972014,0.0028389966871272413
PLS1,1,37,0.7,0.015171164643734135,0.030881056209209112,0.0038607586364634012,0.003312162801648447
PLS1,1,38,0.8,0.017338473878553296,0.03529263566766753,0.004412295584529602,0.0037853289161696546
PLS1,1,39,0.9,0.019505783113372463,0.03970421512612599,0.004963832532595803,0.0042584950306908615
PLS1,1,40,1.0,0.021673092348191623,0.04411579458458443,0.005515369480662002,0.004731661145212067
PLS1,1,41,1.1,0.023840401583010786,0.04852737404304287,0.006066906428728203,0.005204827259733275
PLS1,1,42,1.2,0.02600771081782995,0.05293895350150132,0.006618443376794402,0.005677993374254482
PLS1,1,43,1.3,0.02817502005264911,0.05735053295995975,0.007169980324860602,0.006151159488775689
PLS1,1,44,1.4,0.030342329287468273,0.061762112418418225,0.007721517272926802,0.006624325603296894
PLS1,1,45,1.5,0.032509638522287436,0.06617369187687663,0.008273054220993002,0.0070974917178181
PLS1,1,46,1.6,0.0346769477571066,0.07058527133533511,0.008824591169059204,0.007570657832339309
PLS1,1,47,1.7,0.036844256991925756,0.07499685079379355,0.009376128117125404,0.008043823946860516
PLS1,1,48,1.8,0.039011566226744926,0.07940843025225199,0.009927665065191604,0.008516990061381725
PLS1,1,49,1.9,0.04117887546156408,0.0838200097107104,0.010479202013257803,0.008990156175902929
PLS1,1,50,2.0,0.043346184696383246,0.08823158916916889,0.011030738961324005,0.009463322290424136
PLS1,1,51,2.1,0.04551349393120241,0.0926431686276273,0.011582275909390205,0.009936488404945343
PLS1,1,52,2.2,0.047680803166021565,0.09705474808608575,0.012133812857456407,0.010409654519466549
PLS1,1,53,2.3,0.04984811240084073,0.10146632754454421,0.012685349805522605,0.010882820633987756
PLS1,1,54,2.4,0.05201542163565989,0.10587790700300265,0.013236886753588806,0.011355986748508963
PLS1,1,55,2.5,0.054182730870479055,0.11028948646146107,0.013788423701655006,0.01182915286303017
PLS1,1,56,2.6,0.05635004010529822,0.1147010659199195,0.014339960649721206,0.012302318977551376
PLS1,1,57,2.7,0.05851734934011738,0.11911264537837798,0.014891497597787406,0.012775485092072584
PLS1,1,58,2.8,0.060684658574936545,0.1235242248368364,0.015443034545853603,0.013248651206593789
PLS1,1,59,2.9,0.0628519678097557,0.12793580429529483,0.015994571493919807,0.013721817321114996
PLS1,1,60,3.0,0.06501927704457487,0.13234738375375327,0.016546108441986004,0.014194983435636204
PLS3,2,0,-3.0,0.02756551155081981,0.07095957298391065,0.006326146658011616,0.007415580362775024
PLS3,2,1,-2.9,0.026646661165792486,0.068594253884447,0.006115275102744564,0.007168394350682523
PLS3,2,2,-2.8,0.025727810780765158,0.06622893478498333,0.00590440354747751,0.006921208338590024
PLS3,2,3,-2.7,0.024808960395737836,0.06386361568551961,0.005693531992210458,0.0066740223264975225
PLS3,2,4,-2.6,0.023890110010710505,0.06149829658605589,0.005482660436943402,0.006426836314405021
PLS3,2,5,-2.5,0.022971259625683176,0.059132977486592235,0.005271788881676348,0.0061796503023125214
PLS3,2,6,-2.4,0.022052409240655848,0.05676765838712856,0.0050609173264092935,0.00593246429022002
PLS3,2,7,-2.3,0.02113355885562852,0.05440233928766485,0.00485004577114224,0.005685278278127519
PLS3,2,8,-2.2,0.0202147084706012,0.05203702018820118,0.004639174215875187,0.005438092266035018
PLS3,2,9,-2.1,0.01929585808557387,0.049671701088737474,0.004428302660608132,0.0051909062539425175
PLS3,2,10,-2.0,0.01837700770054654,0.047306381989273796,0.004217431105341079,0.004943720241850016
PLS3,2,11,-1.9,0.017458157315519217,0.04494106288981009,0.004006559550074025,0.004696534229757516
PLS3,2,12,-1.8,0.01653930693049189,0.04257574379034641,0.003795687994806971,0.004449348217665015
PLS3,2,13,-1.7,0.01562045654546456,0.04021042469088271,0.003584816439539917,0.004202162205572514
PLS3,2,14,-1.6,0.014701606160437234,0.037845105591419036,0.0033739448842728626,0.003954976193480013
PLS3,2,15,-1.5,0.013782755775409904,0.03547978649195532,0.0031630733290058085,0.0037077901813875117
PLS3,2,16,-1.4,0.012863905390382579,0.03311446739249167,0.002952201773738755,0.003460604169295011
PLS3,2,17,-1.3,0.011945055005355252,0.030749148293027946,0.0027413302184717014,0.003213418157202511
PLS3,2,18,-1.2,0.011026204620327926,0.02838382919356429,0.0025304586632046468,0.002966232145110009
PLS3,2,19,-1.1,0.0101073542353006,0.026018510094100562,0.002319587107937594,0.0027190461330175095
PLS3,2,20,-1.0,0.009188503850273269,0.02365319099463691,0.0021087155526705393,0.002471860120925008
PLS3,2,21,-0.9,0.008269653465245943,0.021287871895173182,0.0018978439974034853,0.0022246741088325075
PLS3,2,22,-0.8,0.007350803080218617,0.018922552795709528,0.0016869724421364315,0.0019774880967400065
PLS3,2,23,-0.7,0.00643195269519129,0.0165572336962458,0.0014761008868693776,0.001730302084647506
