Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,All_Augment_tain,left,MLP,MobileNet,0.8667,0.8518,1.5443058914399425e-65,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,PointNet,0.8667,0.8508,3.1915729000345634e-50,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,ResNet+AE,0.8667,0.8511,4.054129139492461e-46,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,ResNet,0.8667,0.8671,0.6288023873214912,No
Accuracy,All_Augment_tain,left,MLP,SqueezeNet,0.8667,0.8363,1.9375374499608074e-162,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,SVM,0.8667,0.8518,1.5443058914399425e-65,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MobileNet,PointNet,0.8518,0.8508,0.35257834890894835,No
Accuracy,All_Augment_tain,left,MobileNet,ResNet+AE,0.8518,0.8511,0.23359089709568198,No
Accuracy,All_Augment_tain,left,MobileNet,ResNet,0.8518,0.8671,1.4465770302154882e-160,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MobileNet,SqueezeNet,0.8518,0.8363,7.621804519461786e-165,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MobileNet,SVM,0.8518,0.8518,1.0,No
Accuracy,All_Augment_tain,left,PointNet,ResNet+AE,0.8508,0.8511,0.8532580162377699,No
Accuracy,All_Augment_tain,left,PointNet,ResNet,0.8508,0.8671,9.503942759034864e-52,Yes (p<0.01)
Accuracy,All_Augment_tain,left,PointNet,SqueezeNet,0.8508,0.8363,6.230243169976519e-32,Yes (p<0.01)
Accuracy,All_Augment_tain,left,PointNet,SVM,0.8508,0.8518,0.35257834890894835,No
Accuracy,All_Augment_tain,left,ResNet+AE,ResNet,0.8511,0.8671,5.564270774374305e-72,Yes (p<0.01)
Accuracy,All_Augment_tain,left,ResNet+AE,SqueezeNet,0.8511,0.8363,2.676760009915104e-158,Yes (p<0.01)
Accuracy,All_Augment_tain,left,ResNet+AE,SVM,0.8511,0.8518,0.23359089709568198,No
Accuracy,All_Augment_tain,left,ResNet,SqueezeNet,0.8671,0.8363,1.4542962715703613e-255,Yes (p<0.01)
Accuracy,All_Augment_tain,left,ResNet,SVM,0.8671,0.8518,1.4465770302154882e-160,Yes (p<0.01)
Accuracy,All_Augment_tain,left,SqueezeNet,SVM,0.8363,0.8518,7.621804519461786e-165,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,MobileNet,0.8512,0.8218,1.1681652064621827e-239,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,PointNet,0.8512,0.8502,0.432470869729339,No
Accuracy,All_Augment_tain,right,MLP,ResNet+AE,0.8512,0.8496,0.012562876763997807,Yes (p<0.05)
Accuracy,All_Augment_tain,right,MLP,ResNet,0.8512,0.8508,0.7240359167892956,No
Accuracy,All_Augment_tain,right,MLP,SqueezeNet,0.8512,0.7784,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,SVM,0.8512,0.852,0.24258482718744664,No
Accuracy,All_Augment_tain,right,MobileNet,PointNet,0.8218,0.8502,3.7691460530857607e-85,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,ResNet+AE,0.8218,0.8496,2.902677990691805e-251,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,ResNet,0.8218,0.8508,9.360282952841762e-243,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,SqueezeNet,0.8218,0.7784,1.9698052482435197e-227,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,SVM,0.8218,0.852,1.883499130919379e-248,Yes (p<0.01)
Accuracy,All_Augment_tain,right,PointNet,ResNet+AE,0.8502,0.8496,0.6574726552493952,No
Accuracy,All_Augment_tain,right,PointNet,ResNet,0.8502,0.8508,0.6069470139300804,No
Accuracy,All_Augment_tain,right,PointNet,SqueezeNet,0.8502,0.7784,3.2572479052439473e-290,Yes (p<0.01)
Accuracy,All_Augment_tain,right,PointNet,SVM,0.8502,0.852,0.116092351392402,No
Accuracy,All_Augment_tain,right,ResNet+AE,ResNet,0.8496,0.8508,0.052074766133971245,No
Accuracy,All_Augment_tain,right,ResNet+AE,SqueezeNet,0.8496,0.7784,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,right,ResNet+AE,SVM,0.8496,0.852,0.008239079210904214,Yes (p<0.01)
Accuracy,All_Augment_tain,right,ResNet,SqueezeNet,0.8508,0.7784,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,right,ResNet,SVM,0.8508,0.852,0.24033518055471967,No
Accuracy,All_Augment_tain,right,SqueezeNet,SVM,0.7784,0.852,0.0,Yes (p<0.01)
Accuracy,Ds005602,left,MLP,MobileNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MLP,PointNet,0.9464,0.911,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,MLP,ResNet+AE,0.9464,0.9295,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,MLP,ResNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MLP,SqueezeNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MLP,SVM,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MobileNet,PointNet,0.9464,0.911,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,MobileNet,ResNet+AE,0.9464,0.9295,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,MobileNet,ResNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MobileNet,SqueezeNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MobileNet,SVM,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,PointNet,ResNet+AE,0.911,0.9295,9.36999299555348e-43,Yes (p<0.01)
Accuracy,Ds005602,left,PointNet,ResNet,0.911,0.9464,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,PointNet,SqueezeNet,0.911,0.9464,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,PointNet,SVM,0.911,0.9464,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,ResNet,0.9295,0.9464,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,SqueezeNet,0.9295,0.9464,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,SVM,0.9295,0.9464,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet,SqueezeNet,0.9464,0.9464,1.0,No
