Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,All_Augment_tain,left,MLP,MobileNet,0.788,0.7986,4.4329443005635866e-33,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,ResNet+AE,0.788,0.7673,1.3510650117037053e-146,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,ResNet,0.788,0.8286,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MLP,SVM,0.788,0.7877,0.7571290421127603,No
Accuracy,All_Augment_tain,left,MobileNet,ResNet+AE,0.7986,0.7673,3.9616361034998814e-197,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MobileNet,ResNet,0.7986,0.8286,2.27605427197843e-300,Yes (p<0.01)
Accuracy,All_Augment_tain,left,MobileNet,SVM,0.7986,0.7877,2.457439470253997e-44,Yes (p<0.01)
Accuracy,All_Augment_tain,left,ResNet+AE,ResNet,0.7673,0.8286,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,left,ResNet+AE,SVM,0.7673,0.7877,1.1872933267154936e-170,Yes (p<0.01)
Accuracy,All_Augment_tain,left,ResNet,SVM,0.8286,0.7877,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,MobileNet,0.873,0.8922,5.095638849303026e-104,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,ResNet+AE,0.873,0.8534,7.636700730415161e-91,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,ResNet,0.873,0.8625,2.151732849978537e-34,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MLP,SVM,0.873,0.8334,2.3500227619080693e-211,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,ResNet+AE,0.8922,0.8534,1.2305451958471477e-280,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,ResNet,0.8922,0.8625,1.3131460436534342e-233,Yes (p<0.01)
Accuracy,All_Augment_tain,right,MobileNet,SVM,0.8922,0.8334,0.0,Yes (p<0.01)
Accuracy,All_Augment_tain,right,ResNet+AE,ResNet,0.8534,0.8625,1.0197963297810422e-32,Yes (p<0.01)
Accuracy,All_Augment_tain,right,ResNet+AE,SVM,0.8534,0.8334,8.151125438023085e-236,Yes (p<0.01)
Accuracy,All_Augment_tain,right,ResNet,SVM,0.8625,0.8334,4.150134895955318e-215,Yes (p<0.01)
Accuracy,Ds005602,left,MLP,MobileNet,0.8092,0.7492,3.6856070873390245e-300,Yes (p<0.01)
