Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Left,PointNet,1,26,34,8,6,0.8108,0.8125,0.8095,0.7879,0.8356
Dataset_1,Left,PointNet,2,18,47,7,2,0.8784,0.9,0.8704,0.8,0.9667
Dataset_1,Left,PointNet,3,23,38,8,5,0.8243,0.8214,0.8261,0.7797,0.8509
Dataset_1,Left,PointNet,4,19,48,4,3,0.9054,0.8636,0.9231,0.8444,0.8907
Dataset_1,Left,PointNet,5,22,43,3,6,0.8784,0.7857,0.9348,0.8302,0.8781
Dataset_1,Left,PointNet,6,19,41,7,7,0.8108,0.7308,0.8542,0.7308,0.8333
Dataset_1,Left,PointNet,7,18,44,5,7,0.8378,0.72,0.898,0.75,0.9045
Dataset_1,Left,PointNet,8,16,47,3,8,0.8514,0.6667,0.94,0.7442,0.7817
Dataset_1,Left,PointNet,9,26,38,3,7,0.8649,0.7879,0.9268,0.8387,0.8655
Dataset_1,Left,PointNet,10,16,47,4,7,0.8514,0.6957,0.9216,0.7442,0.7818
Dataset_1,Left,PointNet,11,21,43,6,4,0.8649,0.84,0.8776,0.8077,0.8343
Dataset_1,Left,PointNet,12,23,38,8,5,0.8243,0.8214,0.8261,0.7797,0.8245
Dataset_1,Left,PointNet,13,19,45,7,3,0.8649,0.8636,0.8654,0.7917,0.9336
Dataset_1,Left,PointNet,14,28,37,3,6,0.8784,0.8235,0.925,0.8615,0.9287
Dataset_1,Left,PointNet,15,14,49,7,4,0.8514,0.7778,0.875,0.7179,0.9187
Dataset_1,Left,PointNet,16,24,41,5,4,0.8784,0.8571,0.8913,0.8421,0.8921
Dataset_1,Left,PointNet,17,22,46,5,1,0.9189,0.9565,0.902,0.88,0.9582
Dataset_1,Left,PointNet,18,23,36,8,7,0.7973,0.7667,0.8182,0.7541,0.8182
Dataset_1,Left,PointNet,19,16,45,5,8,0.8243,0.6667,0.9,0.7111,0.7825
Dataset_1,Left,PointNet,20,14,44,7,9,0.7838,0.6087,0.8627,0.6364,0.7144
Dataset_1,Left,PointNet,21,17,48,5,4,0.8784,0.8095,0.9057,0.7907,0.8661
Dataset_1,Left,PointNet,22,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.8007
Dataset_1,Left,PointNet,23,19,45,2,8,0.8649,0.7037,0.9574,0.7917,0.7762
