Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Right,PointNet,1,8,51,0,16,0.7867,0.3333,1.0,0.5,0.8709
Dataset_1,Right,PointNet,2,7,51,2,15,0.7733,0.3182,0.9623,0.4516,0.7015
Dataset_1,Right,PointNet,3,9,58,1,7,0.8933,0.5625,0.9831,0.6923,0.9364
Dataset_1,Right,PointNet,4,12,54,5,4,0.88,0.75,0.9153,0.7273,0.8633
Dataset_1,Right,PointNet,5,13,54,1,7,0.8933,0.65,0.9818,0.7647,0.8373
Dataset_1,Right,PointNet,6,7,54,3,11,0.8133,0.3889,0.9474,0.5,0.7632
Dataset_1,Right,PointNet,7,16,54,0,5,0.9333,0.7619,1.0,0.8649,0.9744
Dataset_1,Right,PointNet,8,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.9257
Dataset_1,Right,PointNet,9,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.8327
Dataset_1,Right,PointNet,10,11,56,0,8,0.8933,0.5789,1.0,0.7333,0.891
Dataset_1,Right,PointNet,11,15,51,1,8,0.88,0.6522,0.9808,0.7692,0.8645
Dataset_1,Right,PointNet,12,4,63,1,7,0.8933,0.3636,0.9844,0.5,0.7741
Dataset_1,Right,PointNet,13,7,63,2,3,0.9333,0.7,0.9692,0.7368,0.8754
Dataset_1,Right,PointNet,14,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.8668
Dataset_1,Right,PointNet,15,8,58,2,7,0.88,0.5333,0.9667,0.64,0.8244
Dataset_1,Right,PointNet,16,15,56,0,4,0.9467,0.7895,1.0,0.8824,0.9962
Dataset_1,Right,PointNet,17,15,55,0,5,0.9333,0.75,1.0,0.8571,0.9173
Dataset_1,Right,PointNet,18,11,54,0,10,0.8667,0.5238,1.0,0.6875,0.8607
Dataset_1,Right,PointNet,19,12,56,0,7,0.9067,0.6316,1.0,0.7742,0.9154
Dataset_1,Right,PointNet,20,11,56,2,6,0.8933,0.6471,0.9655,0.7333,0.716
Dataset_1,Right,PointNet,21,13,51,1,10,0.8533,0.5652,0.9808,0.7027,0.9256
Dataset_1,Right,PointNet,22,15,49,3,8,0.8533,0.6522,0.9423,0.7317,0.8679
Dataset_1,Right,PointNet,23,9,54,2,10,0.84,0.4737,0.9643,0.6,0.8759
Dataset_1,Right,PointNet,24,10,52,3,10,0.8267,0.5,0.9455,0.6061,0.8382
Dataset_1,Right,PointNet,25,12,46,4,13,0.7733,0.48,0.92,0.5854,0.7464
Dataset_1,Right,PointNet,26,10,53,0,12,0.84,0.4545,1.0,0.625,0.8568
Dataset_1,Right,PointNet,27,12,55,1,7,0.8933,0.6316,0.9821,0.75,0.9671
Dataset_1,Right,PointNet,28,12,53,1,9,0.8667,0.5714,0.9815,0.7059,0.8907
Dataset_1,Right,PointNet,29,14,53,4,4,0.8933,0.7778,0.9298,0.7778,0.8713
Dataset_1,Right,PointNet,30,9,56,2,8,0.8667,0.5294,0.9655,0.6429,0.8671
Dataset_1,Right,PointNet,31,10,52,3,10,0.8267,0.5,0.9455,0.6061,0.7682
Dataset_1,Right,PointNet,32,12,51,1,11,0.84,0.5217,0.9808,0.6667,0.939
Dataset_1,Right,PointNet,33,10,52,1,12,0.8267,0.4545,0.9811,0.6061,0.8542
Dataset_1,Right,PointNet,34,9,55,3,8,0.8533,0.5294,0.9483,0.6207,0.93
Dataset_1,Right,PointNet,35,11,51,1,12,0.8267,0.4783,0.9808,0.6286,0.8963
Dataset_1,Right,PointNet,36,9,58,2,6,0.8933,0.6,0.9667,0.6923,0.7444
Dataset_1,Right,PointNet,37,7,60,1,7,0.8933,0.5,0.9836,0.6364,0.9321
Dataset_1,Right,PointNet,38,7,59,3,6,0.88,0.5385,0.9516,0.6087,0.8722
Dataset_1,Right,PointNet,39,6,57,5,7,0.84,0.4615,0.9194,0.5,0.8375
Dataset_1,Right,PointNet,40,8,58,1,8,0.88,0.5,0.9831,0.64,0.9142
Dataset_1,Right,PointNet,41,11,52,3,9,0.84,0.55,0.9455,0.6471,0.7155
Dataset_1,Right,PointNet,42,8,53,2,12,0.8133,0.4,0.9636,0.5333,0.8264
Dataset_1,Right,PointNet,43,11,51,2,11,0.8267,0.5,0.9623,0.6286,0.8576
Dataset_1,Right,PointNet,44,9,55,1,10,0.8533,0.4737,0.9821,0.6207,0.9117
Dataset_1,Right,PointNet,45,8,49,2,16,0.76,0.3333,0.9608,0.4706,0.585
Dataset_1,Right,PointNet,46,12,51,3,9,0.84,0.5714,0.9444,0.6667,0.866
Dataset_1,Right,PointNet,47,5,60,2,8,0.8667,0.3846,0.9677,0.5,0.8797
Dataset_1,Right,PointNet,48,13,54,1,7,0.8933,0.65,0.9818,0.7647,0.9473
Dataset_1,Right,PointNet,49,9,48,2,16,0.76,0.36,0.96,0.5,0.8272
Dataset_1,Right,PointNet,50,15,48,5,7,0.84,0.6818,0.9057,0.7143,0.8225
Dataset_1,Right,PointNet,51,12,49,5,9,0.8133,0.5714,0.9074,0.6316,0.9048
Dataset_1,Right,PointNet,52,9,57,1,8,0.88,0.5294,0.9828,0.6667,0.8682
Dataset_1,Right,PointNet,53,9,55,3,8,0.8533,0.5294,0.9483,0.6207,0.9544
Dataset_1,Right,PointNet,54,8,57,3,7,0.8667,0.5333,0.95,0.6154,0.76
Dataset_1,Right,PointNet,55,9,56,3,7,0.8667,0.5625,0.9492,0.6429,0.8538
Dataset_1,Right,PointNet,56,11,54,1,9,0.8667,0.55,0.9818,0.6875,0.8473
Dataset_1,Right,PointNet,57,10,63,1,1,0.9733,0.9091,0.9844,0.9091,0.9801
Dataset_1,Right,PointNet,58,14,56,1,4,0.9333,0.7778,0.9825,0.8485,0.9055
Dataset_1,Right,PointNet,59,10,54,1,10,0.8533,0.5,0.9818,0.6452,0.7527
Dataset_1,Right,PointNet,60,8,60,1,6,0.9067,0.5714,0.9836,0.6957,0.9215
Dataset_1,Right,PointNet,61,17,50,0,8,0.8933,0.68,1.0,0.8095,0.9208
Dataset_1,Right,PointNet,62,10,53,0,12,0.84,0.4545,1.0,0.625,0.7067
Dataset_1,Right,PointNet,63,10,55,2,8,0.8667,0.5556,0.9649,0.6667,0.8665
Dataset_1,Right,PointNet,64,13,47,2,13,0.8,0.5,0.9592,0.6341,0.792
Dataset_1,Right,PointNet,65,15,53,2,5,0.9067,0.75,0.9636,0.8108,0.9082
Dataset_1,Right,PointNet,66,16,49,4,6,0.8667,0.7273,0.9245,0.7619,0.9142
Dataset_1,Right,PointNet,67,14,50,2,9,0.8533,0.6087,0.9615,0.7179,0.964
Dataset_1,Right,PointNet,68,12,48,0,15,0.8,0.4444,1.0,0.6154,0.8256
Dataset_1,Right,PointNet,69,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.8827
Dataset_1,Right,PointNet,70,7,56,3,9,0.84,0.4375,0.9492,0.5385,0.9449
Dataset_1,Right,PointNet,71,10,52,1,12,0.8267,0.4545,0.9811,0.6061,0.7719
Dataset_1,Right,PointNet,72,12,52,5,6,0.8533,0.6667,0.9123,0.6857,0.8158
Dataset_1,Right,PointNet,73,11,50,0,14,0.8133,0.44,1.0,0.6111,0.7592
Dataset_1,Right,PointNet,74,9,59,2,5,0.9067,0.6429,0.9672,0.72,0.7482
Dataset_1,Right,PointNet,75,13,55,0,7,0.9067,0.65,1.0,0.7879,0.9473
Dataset_1,Right,PointNet,76,9,56,3,7,0.8667,0.5625,0.9492,0.6429,0.8612
Dataset_1,Right,PointNet,77,13,53,2,7,0.88,0.65,0.9636,0.7429,0.8873
Dataset_1,Right,PointNet,78,10,58,0,7,0.9067,0.5882,1.0,0.7407,0.8225
Dataset_1,Right,PointNet,79,12,54,2,7,0.88,0.6316,0.9643,0.7273,0.9239
Dataset_1,Right,PointNet,80,7,54,2,12,0.8133,0.3684,0.9643,0.5,0.8656
Dataset_1,Right,PointNet,81,14,55,1,5,0.92,0.7368,0.9821,0.8235,0.9643
Dataset_1,Right,PointNet,82,8,56,0,11,0.8533,0.4211,1.0,0.5926,0.8383
Dataset_1,Right,PointNet,83,12,55,2,6,0.8933,0.6667,0.9649,0.75,0.8226
Dataset_1,Right,PointNet,84,16,51,2,6,0.8933,0.7273,0.9623,0.8,0.8473
Dataset_1,Right,PointNet,85,10,52,3,10,0.8267,0.5,0.9455,0.6061,0.8418
Dataset_1,Right,PointNet,86,10,48,2,15,0.7733,0.4,0.96,0.5405,0.7632
Dataset_1,Right,PointNet,87,11,55,2,7,0.88,0.6111,0.9649,0.7097,0.8041
Dataset_1,Right,PointNet,88,8,57,2,8,0.8667,0.5,0.9661,0.6154,0.8008
Dataset_1,Right,PointNet,89,13,51,3,8,0.8533,0.619,0.9444,0.7027,0.8298
Dataset_1,Right,PointNet,90,12,50,0,13,0.8267,0.48,1.0,0.6486,0.8752
Dataset_1,Right,PointNet,91,7,57,4,7,0.8533,0.5,0.9344,0.56,0.781
Dataset_1,Right,PointNet,92,7,54,3,11,0.8133,0.3889,0.9474,0.5,0.653
Dataset_1,Right,PointNet,93,9,54,2,10,0.84,0.4737,0.9643,0.6,0.8148
Dataset_1,Right,PointNet,94,8,58,1,8,0.88,0.5,0.9831,0.64,0.8591
Dataset_1,Right,PointNet,95,12,51,3,9,0.84,0.5714,0.9444,0.6667,0.7963
Dataset_1,Right,PointNet,96,13,42,0,20,0.7333,0.3939,1.0,0.5652,0.7482
Dataset_1,Right,PointNet,97,13,51,1,10,0.8533,0.5652,0.9808,0.7027,0.8236
Dataset_1,Right,PointNet,98,8,54,0,13,0.8267,0.381,1.0,0.5517,0.7734
Dataset_1,Right,PointNet,99,6,58,2,9,0.8533,0.4,0.9667,0.5217,0.7922
Dataset_1,Right,PointNet,100,13,45,2,15,0.7733,0.4643,0.9574,0.6047,0.8123
Dataset_1,Right,PointNet,101,6,63,1,5,0.92,0.5455,0.9844,0.6667,0.8835
Dataset_1,Right,PointNet,102,13,49,0,13,0.8267,0.5,1.0,0.6667,0.8854
Dataset_1,Right,PointNet,103,11,52,2,10,0.84,0.5238,0.963,0.6471,0.7593
Dataset_1,Right,PointNet,104,7,48,7,13,0.7333,0.35,0.8727,0.4118,0.7118
Dataset_1,Right,PointNet,105,13,51,4,7,0.8533,0.65,0.9273,0.7027,0.8418
Dataset_1,Right,PointNet,106,5,55,4,11,0.8,0.3125,0.9322,0.4,0.768
Dataset_1,Right,PointNet,107,13,48,1,13,0.8133,0.5,0.9796,0.65,0.8619
Dataset_1,Right,PointNet,108,12,55,2,6,0.8933,0.6667,0.9649,0.75,0.9386
Dataset_1,Right,PointNet,109,9,52,3,11,0.8133,0.45,0.9455,0.5625,0.8582
Dataset_1,Right,PointNet,110,10,54,2,9,0.8533,0.5263,0.9643,0.6452,0.8957
Dataset_1,Right,PointNet,111,10,58,3,4,0.9067,0.7143,0.9508,0.7407,0.9567
Dataset_1,Right,PointNet,112,15,45,4,11,0.8,0.5769,0.9184,0.6667,0.7724
Dataset_1,Right,PointNet,113,13,47,0,15,0.8,0.4643,1.0,0.6341,0.7515
Dataset_1,Right,PointNet,114,13,47,5,10,0.8,0.5652,0.9038,0.6341,0.7575
Dataset_1,Right,PointNet,115,6,52,6,11,0.7733,0.3529,0.8966,0.4138,0.6684
Dataset_1,Right,PointNet,116,12,50,4,9,0.8267,0.5714,0.9259,0.6486,0.6958
Dataset_1,Right,PointNet,117,7,57,3,8,0.8533,0.4667,0.95,0.56,0.7922
Dataset_1,Right,PointNet,118,13,53,2,7,0.88,0.65,0.9636,0.7429,0.8373
Dataset_1,Right,PointNet,119,10,58,2,5,0.9067,0.6667,0.9667,0.7407,0.8822
Dataset_1,Right,PointNet,120,10,56,1,8,0.88,0.5556,0.9825,0.6897,0.8265
Dataset_1,Right,PointNet,121,9,61,1,4,0.9333,0.6923,0.9839,0.7826,0.8747
Dataset_1,Right,PointNet,122,11,52,3,9,0.84,0.55,0.9455,0.6471,0.7936
